"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"evm.TU.chromosome_13.1471",538.284469024305,2.17327100714308,0.144505949910377,15.0393185089677,4.05705108648269e-51,3.87164385183043e-47
"evm.TU.chromosome_14.829",785.695671843309,-2.60710844604144,0.186089917942634,-14.0099392533729,1.35520845968036e-44,6.46637716536485e-41
"evm.TU.chromosome_11.1412",46.1945720553928,-2.67800072308265,0.224655106261181,-11.9204979029911,9.25537525027342e-33,2.94413486711198e-29
"evm.TU.chromosome_1.1627",100.439012281376,1.83381449640937,0.155420095274052,11.7990823077016,3.94591114188221e-32,9.41395750674548e-29
"evm.TU.chromosome_11.655",221.24749993023,1.92040714768789,0.165530413101998,11.6015366101005,4.04744836626079e-31,7.72495995184535e-28
"evm.TU.chromosome_1.676",119.409041005546,2.20142315061035,0.194374612641989,11.3256722196796,9.79247465030307e-30,1.5574930931307e-26
"evm.TU.chromosome_11.2852",144.210569981624,2.91195994464439,0.259997175357666,11.1999676174887,4.07882566998222e-29,5.56060476694862e-26
"evm.TU.chromosome_12.1447",103.771295774651,1.86773444776173,0.168994155013085,11.0520653665041,2.14228684386235e-28,2.5554804188723e-25
"evm.TU.chromosome_2.2047",57.1080108631872,3.9080500392095,0.354630982375671,11.0200468470902,3.058998344146e-28,3.24355791090947e-25
"evm.TU.chromosome_1.422",210.246919089859,-2.22939275609272,0.202591900722944,-11.0043528301832,3.64120886741833e-28,3.47480562217731e-25
"evm.TU.chromosome_13.2582",24.7689586712834,3.0557445526336,0.277976573751749,10.9928132122478,4.13822809592579e-28,3.59010097449271e-25
"evm.TU.chromosome_14.4764",93.2305240027275,2.21809933589676,0.202512311657575,10.9529110489209,6.43458303581871e-28,5.11710215923483e-25
"evm.TU.chromosome_10.1663",25.6749131037693,3.09695561530773,0.289510728267985,10.6972050183959,1.04894530195666e-26,7.70006539736336e-24
"evm.TU.chromosome_10.3117",71.3262095315987,1.40524636510741,0.134940791506817,10.4137996332741,2.14486190601322e-25,1.46202979779172e-22
"evm.TU.chromosome_12.2419",259.273914189799,-2.69679464767707,0.259331143021653,-10.3990389131625,2.50446408948259e-25,1.59334005372882e-22
"evm.TU.chromosome_10.2488_evm.TU.chromosome_10.2489",46.2073360783869,2.20166643015071,0.216401320502383,10.1739972059296,2.59054471964855e-24,1.54509801622538e-21
"evm.TU.chromosome_12.221",124.903407482051,-0.962400068059501,0.0952032171302742,-10.1089027983432,5.04460507185513e-24,2.83180389415962e-21
"evm.TU.chromosome_14.6567",200.853754025293,1.5738876101757,0.157783529787981,9.9749803562551,1.96140260838233e-23,1.03987028287736e-20
"evm.TU.chromosome_14.1313",32.8819035382329,1.83704293268047,0.184630842917415,9.94981609601478,2.52649667470662e-23,1.2689661982487e-20
"evm.TU.chromosome_13.2916",33.4966356663918,5.16990850014247,0.521160996395559,9.91998352888735,3.40812411723196e-23,1.62618642253723e-20
"evm.TU.chromosome_13.2105",38.9003793049493,4.13584810906924,0.417479362672746,9.90671271171613,3.89242745350227e-23,1.76883024708439e-20
"evm.TU.chromosome_10.1588",312.147186490888,1.59703574649919,0.161838077254948,9.86810875158466,5.72335105982999e-23,2.48263359836171e-20
"evm.TU.chromosome_10.526",65.4232860446311,3.3337235691579,0.339162540414562,9.82927998204949,8.42187349112231e-23,3.49434516199045e-20
"evm.TU.chromosome_12.1836",38.7620799007747,-4.13840641443685,0.423159964487028,-9.77976831871038,1.37524984441942e-22,5.46833719387273e-20
"evm.TU.chromosome_1.653",47.4473885318341,2.50721187792092,0.26164238288759,9.58259074944331,9.46406033815926e-22,3.61262111228215e-19
"evm.TU.chromosome_12.2420",271.811893997943,-2.41392704128467,0.253238443226644,-9.53222982469627,1.53940538049878e-21,5.65020982542301e-19
"evm.TU.chromosome_10.1267",73.9038646626186,-1.4461875415163,0.152467557987804,-9.48521482604177,2.41884326993499e-21,8.54926715740357e-19
"evm.TU.chromosome_13.487",43.7111029417718,3.4851590489077,0.36963523913103,9.42864391690821,4.15424890828119e-21,1.41585704756169e-18
"evm.TU.chromosome_1.1515",28.2446806501783,3.15293584805425,0.335793925463017,9.38949638146893,6.02878252540697e-21,1.98388522896409e-18
"evm.TU.chromosome_1.75",59.9370826634591,1.6753384806833,0.178794714716135,9.37017899742263,7.24096232760451e-21,2.303350116411e-18
"evm.TU.chromosome_13.1617",359.931441429078,-2.29394840239997,0.248928066522787,-9.21530639129431,3.10390578201185e-20,9.55502350894809e-18
"evm.TU.chromosome_11.355",60.1717439741895,1.8111906815037,0.197294158623859,9.18015360483495,4.30476932861438e-20,1.28376292821772e-17
"evm.TU.chromosome_12.3663",31.2069412483041,-1.87163425537067,0.208658802759536,-8.96983127775149,2.96968982974752e-19,8.58780304402441e-17
"evm.TU.chromosome_11.1996",57.3412690357261,1.93819173941963,0.217031791118962,8.93045083131276,4.24276205145281e-19,1.19084347814747e-16
"evm.TU.chromosome_2.1994",29.4595490748627,2.2051636715711,0.24703446163942,8.92654270556725,4.39529889249049e-19,1.19840963802962e-16
"evm.TU.chromosome_14.262",197.177816301329,1.39804218340665,0.157076127302146,8.90041158652595,5.56399719957011e-19,1.47492292431938e-16
