"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
2650 0.024269604688675 3 11 "GO:0000109" "nucleotide-excision repair complex" 0.27363007064368
707 0.24094892949198 3 42 "GO:0000118" "histone deacetylase complex" 0.685480376950446
203 0.670310108922895 3 67 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.910717524021038
-92 0.56193315601086 2 640 "GO:0000139" "Golgi membrane" 0.866517214486312
509 0.387111036784268 3 44 "GO:0000152" "nuclear ubiquitin ligase complex" 0.799425636862697
129 0.90131281432112 3 14 "GO:0000176" "nuclear exosome (RNase complex)" 0.964785547724016
397 0.693418735003576 3 15 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.924723750693731
-106 0.896664565046345 2 23 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.964785547724016
280 0.555116680099822 2 68 "GO:0000228" "nuclear chromosome" 0.859456299176011
-1379 0.202441537352133 2 13 "GO:0000242" "pericentriolar material" 0.644903580067873
-682 0.528658206373215 2 13 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.856581221541742
-570 0.535196269303222 3 18 "GO:0000324;GO:0000322" "storage vacuole" 0.856581221541742
-2266 0.0245149802791028 2 15 "GO:0000407" "phagophore assembly site" 0.27363007064368
-966 0.322196968881417 6 16 "GO:0000421" "autophagosome membrane" 0.764251484437888
-199 0.715399014796057 2 51 "GO:0000502;GO:1905369" "endopeptidase complex" 0.930025883151707
985 0.0906170308225005 3 45 "GO:0000775" "chromosome, centromeric region" 0.485363480818917
284 0.599872954895795 2 52 "GO:0000776" "kinetochore" 0.888521403200127
833 0.113795125327114 3 55 "GO:0000781" "chromosome, telomeric region" 0.528980951057457
434 0.300978686884716 2 87 "GO:0000785" "chromatin" 0.758688725301549
526 0.220505596005826 2 83 "GO:0000786;GO:0044815" "DNA packaging complex" 0.666130576995506
726 0.343172668144075 2 26 "GO:0000792" "heterochromatin" 0.780204527575418
812 0.183118663063605 3 41 "GO:0000794;GO:0000793" "condensed chromosome" 0.597663366563422
2503 0.0425132278223634 3 10 "GO:0000795;GO:0099086" "synaptonemal complex" 0.395113940779894
1220 0.299624922591034 3 11 "GO:0000812" "Swr1 complex" 0.758688725301549
5 0.979207106521726 2 366 "GO:0000922" "spindle pole" 0.995110828726907
491 0.087052306645084 2 187 "GO:0000932" "P-body" 0.484295854085108
-1085 0.141378044976977 2 28 "GO:0000943" "retrotransposon nucleocapsid" 0.556077718541763
-1050 0.372215116657734 2 11 "GO:0000974" "Prp19 complex" 0.794385834865546
-195 0.709134559198182 2 56 "GO:0001527" "microfibril" 0.926927728485093
677 0.169392241366692 2 63 "GO:0001650" "fibrillar center" 0.581397886497291
1061 0.124080454899812 2 32 "GO:0001669" "acrosomal vesicle" 0.532345177473387
46 0.940816187004202 2 40 "GO:0001725;GO:0097517;GO:0032432" "actin filament bundle" 0.97566123096732
496 0.265730666643515 4 77 "GO:0001726" "ruffle" 0.74015033850445
-624 0.29489672293967 2 43 "GO:0001750" "photoreceptor outer segment" 0.758688725301549
263 0.752356648489573 2 22 "GO:0001891" "phagocytic cup" 0.943180521010764
207 0.786807185051127 2 26 "GO:0001917" "photoreceptor inner segment" 0.96004913405321
0 0.999812119470796 2 19 "GO:0002102" "podosome" 0.999812119470796
1173 0.278424038551045 3 13 "GO:0002116" "semaphorin receptor complex" 0.758688725301549
64 0.752112751497205 2 376 "GO:0005581" "collagen trimer" 0.943180521010764
2109 0.00263970215258891 3 31 "GO:0005583" "fibrillar collagen trimer" 0.070216077258865
3594 0.00225132475661821 2 11 "GO:0005584" "collagen type I trimer" 0.0665391539178271
-294 0.778378659665965 3 14 "GO:0005593;GO:0030934" "FACIT collagen trimer" 0.956327137043434
-119 0.5958703531578 2 308 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 0.888521403200127
113 0.916895427678535 2 13 "GO:0005614" "interstitial matrix" 0.969758185934355
-336 0.00457379272119918 2 1191 "GO:0005615" "extracellular space" 0.105793814246868
-1 0.998158764853593 3 54 "GO:0005618" "cell wall" 0.999812119470796
34 0.816686776109192 2 749 "GO:0005622" "intracellular anatomical structure" 0.9610996245286
129 0.826438849029823 -1 44 "GO:0005623" "obsolete cell" 0.9610996245286
909 0.002240498572956 2 174 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 0.0665391539178271
1729 0.0534395101002996 2 19 "GO:0005637" "nuclear inner membrane" 0.416492252054983
454 0.531242833889505 4 29 "GO:0005639;GO:0031229" "intrinsic component of nuclear inner membrane" 0.856581221541742
-2108 0.00428091234429531 2 28 "GO:0005641" "nuclear envelope lumen" 0.10352024396205
987 0.0712921970947543 3 51 "GO:0005643" "nuclear pore" 0.451517248266777
151 0.164635598748737 2 1445 "GO:0005654" "nucleoplasm" 0.574208925130973
75 0.881474954320625 2 60 "GO:0005657" "replication fork" 0.9610996245286
1113 0.269121694553384 2 15 "GO:0005665" "RNA polymerase II, core complex" 0.742899666979607
1383 0.156215195255706 2 16 "GO:0005666" "RNA polymerase III complex" 0.574208925130973
197 0.500834582551086 2 180 "GO:0005667" "transcription regulator complex" 0.856085725713289
893 0.306349885553348 2 20 "GO:0005669" "transcription factor TFIID complex" 0.758688725301549
71 0.947354305273673 -1 13 "GO:0005671" "obsolete Ada2/Gcn5/Ada3 transcription activator complex" 0.980530136975864
-777 0.490235173610753 2 12 "GO:0005675;GO:0032806" "carboxy-terminal domain protein kinase complex" 0.856085725713289
