"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-2835 0.0159646180361227 3 11 "GO:0000109" "nucleotide-excision repair complex" 0.091324481669003
-1903 0.00159578091013422 2 42 "GO:0000118" "histone deacetylase complex" 0.0155118419593508
-1469 0.00209990796290544 2 67 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.0177325561312015
59 0.708481004707533 2 640 "GO:0000139" "Golgi membrane" 0.870466269063297
-925 0.116096981617395 3 44 "GO:0000152" "nuclear ubiquitin ligase complex" 0.378570263208145
-634 0.543041136679523 3 14 "GO:0000176" "nuclear exosome (RNase complex)" 0.795210413982342
293 0.771169906105918 4 15 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.89187476097467
160 0.844407955462819 2 23 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.933002137913628
-1078 0.023036889063489 2 68 "GO:0000228" "nuclear chromosome" 0.120153186095845
-923 0.39392997341946 2 13 "GO:0000242" "pericentriolar material" 0.688896944271169
1157 0.285185021082007 2 13 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.597316658329243
860 0.349831633433163 2 18 "GO:0000324;GO:0000322" "storage vacuole" 0.671078105246132
1740 0.0840989902208492 2 15 "GO:0000407" "phagophore assembly site" 0.305978913989876
2167 0.0263303646121332 2 16 "GO:0000421" "autophagosome membrane" 0.129701425681989
601 0.271624994731882 2 51 "GO:0000502;GO:1905369" "endopeptidase complex" 0.580339346174142
-1993 0.000622210776260304 2 45 "GO:0000775" "chromosome, centromeric region" 0.00919489258251338
-1896 0.000465362738331795 3 52 "GO:0000776" "kinetochore" 0.00773665552476609
-1716 0.00112909311545645 3 55 "GO:0000781" "chromosome, telomeric region" 0.0121377563844468
-1211 0.00387472651473581 2 87 "GO:0000785" "chromatin" 0.0294479215119922
-1056 0.0139131210590241 2 83 "GO:0000786;GO:0044815" "DNA packaging complex" 0.0831660719483238
-2528 0.000961521243102144 3 26 "GO:0000792" "heterochromatin" 0.0111202022028335
-2118 0.00051501304244323 5 41 "GO:0000794;GO:0000793" "condensed chromosome" 0.00805843936999407
-2280 0.0645714060337837 3 10 "GO:0000795;GO:0099086" "synaptonemal complex" 0.254459170444244
-2445 0.0376675075398206 4 11 "GO:0000812" "Swr1 complex" 0.172750982855039
80 0.698426155617132 2 366 "GO:0000922" "spindle pole" 0.862094465866158
-229 0.425297937250594 4 187 "GO:0000932" "P-body" 0.691922026352648
945 0.200038688559187 2 28 "GO:0000943" "retrotransposon nucleocapsid" 0.496143340524968
-926 0.43140338722891 2 11 "GO:0000974" "Prp19 complex" 0.694362593905139
120 0.817554200450017 2 56 "GO:0001527" "microfibril" 0.915660704504019
-935 0.0575969774466085 2 63 "GO:0001650" "fibrillar center" 0.233905282454929
-1058 0.125340362464747 4 32 "GO:0001669" "acrosomal vesicle" 0.39456256113163
-98 0.873361684650137 2 40 "GO:0001725;GO:0097517;GO:0032432" "actin filament bundle" 0.9475698845869
-486 0.275184163133471 3 77 "GO:0001726" "ruffle" 0.583976998771955
14 0.980970552906193 2 43 "GO:0001750" "photoreceptor outer segment" 0.992160331076226
512 0.538550023665087 2 22 "GO:0001891" "phagocytic cup" 0.791460255773001
-387 0.61308050746007 2 26 "GO:0001917" "photoreceptor inner segment" 0.836304692227583
225 0.801826040398015 3 19 "GO:0002102" "podosome" 0.90567187577865
-1231 0.255309114597367 2 13 "GO:0002116" "semaphorin receptor complex" 0.570180818714994
375 0.0660657133932418 2 375 "GO:0005581" "collagen trimer" 0.258433525920622
-1154 0.0999805174647161 3 31 "GO:0005583" "fibrillar collagen trimer" 0.340959200584801
-2458 0.0366266331730849 4 11 "GO:0005584" "collagen type I trimer" 0.170924288141063
1233 0.237143023705602 3 14 "GO:0005593;GO:0030934" "FACIT collagen trimer" 0.546147569746235
612 0.00647270165382953 3 308 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 0.0453089115768067
-198 0.854711237749038 5 13 "GO:0005614" "interstitial matrix" 0.937081264814538
607 2.9366101065728e-07 2 1190 "GO:0005615" "extracellular space" 1.46513192240886e-05
425 0.424531357664359 3 54 "GO:0005618" "cell wall" 0.691922026352648
162 0.268498293468633 2 748 "GO:0005622" "intracellular anatomical structure" 0.580339346174142
-188 0.749643179387686 -1 44 "GO:0005623" "obsolete cell" 0.884641794218465
