"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
911 0.436639112614903 3 17 "GO:0000030" "mannosyltransferase activity" 0.784874292445218
-575 0.430079929867288 2 44 "GO:0000049" "tRNA binding" 0.783186064716205
-451 0.70882396091489 7 16 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 0.906263324794341
-1775 0.118708385517071 2 18 "GO:0000099" "sulfur amino acid transmembrane transporter activity" 0.531476121959678
-2055 0.0792069917480387 2 17 "GO:0000146" "microfilament motor activity" 0.421293021596166
204 0.684225518542893 3 93 "GO:0000149" "SNARE binding" 0.903905511375045
-710 0.480381524334723 3 23 "GO:0000175" "3'-5'-exoribonuclease activity" 0.812301895381205
-452 0.53504618014759 4 44 "GO:0000217" "DNA secondary structure binding" 0.844376155901378
-231 0.500218625585053 2 200 "GO:0000287" "magnesium ion binding" 0.827245186040931
-4627 0.000126116868039574 2 16 "GO:0000339" "RNA cap binding" 0.00617972653393913
-1038 0.361455307921356 5 18 "GO:0000400" "four-way junction DNA binding" 0.736628245747807
53 0.965814459355231 5 15 "GO:0000403" "Y-form DNA binding" 0.995500708196548
-1051 1.49249828049621e-05 2 405 "GO:0000976;GO:0001067;GO:1990837;GO:0003690" "double-stranded DNA binding" 0.00151532566880556
-640 0.0490957589368906 2 223 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 0.363886213296954
-678 0.100087400789975 2 138 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 0.477014258693354
-1277 0.305723509170432 2 15 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.699152964397688
-298 0.371975325600449 3 211 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.738940391003271
-745 0.361271000121017 3 35 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "basal transcription machinery binding" 0.736628245747807
-1200 0.092204095704775 2 46 "GO:0001046" "core promoter sequence-specific DNA binding" 0.462068252338702
-2925 0.0552615553336267 -1 10 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.369328112357871
-209 0.886093654423694 2 11 "GO:0001221" "transcription coregulator binding" 0.974140227454639
-298 0.782233862158076 4 20 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 0.932637016965478
-346 0.598808756337195 4 54 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.867240267798696
