"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-450 0.700651816322642 4 17 "GO:0000030" "mannosyltransferase activity" 0.843815609109083
1663 0.0223948897409891 5 44 "GO:0000049" "tRNA binding" 0.147330168113745
-588 0.62618670820166 5 16 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 0.820648850867554
-928 0.414863321631863 2 18 "GO:0000099" "sulfur amino acid transmembrane transporter activity" 0.693231530148513
-2629 0.0247295321847975 2 17 "GO:0000146" "microfilament motor activity" 0.154044064354117
901 0.0723352283657159 2 93 "GO:0000149" "SNARE binding" 0.264728927047973
-294 0.770062522925233 5 23 "GO:0000175" "3'-5'-exoribonuclease activity" 0.893515184066904
-2155 0.00308112982165281 2 44 "GO:0000217" "DNA secondary structure binding" 0.0357573224039181
-212 0.536886798863259 5 200 "GO:0000287" "magnesium ion binding" 0.772493105225678
-427 0.723608544316423 3 16 "GO:0000339" "RNA cap binding" 0.86129923898392
-569 0.616804061454675 3 18 "GO:0000400" "four-way junction DNA binding" 0.813185623621859
-870 0.485225031176455 6 15 "GO:0000403" "Y-form DNA binding" 0.735341026628236
193 0.425431069625762 3 405 "GO:0000976;GO:0001067;GO:1990837;GO:0003690" "double-stranded DNA binding" 0.699127645442922
636 0.0505369552984835 6 223 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 0.227951125881875
452 0.273476877678612 2 138 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 0.564743465705582
-186 0.881132282173348 2 15 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.951222018307952
860 0.0101084552631555 3 211 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.0865597819621665
1142 0.161776572674886 3 35 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.428489300598347
916 0.198623656847939 2 46 "GO:0001046" "core promoter sequence-specific DNA binding" 0.467162840906353
-1189 0.436030916601174 -1 10 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.707214053547838
447 0.75844579001889 2 11 "GO:0001221" "transcription coregulator binding" 0.887200512992919
1706 0.113915711386643 3 20 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity" 0.348866866121594
279 0.670997582256242 3 54 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 0.837176695153964
-1412 0.0837588577490492 2 35 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 0.283390681170646
-330 0.593670204822473 2 61 "GO:0001530" "lipopolysaccharide binding" 0.802809455992718
697 0.127336638498195 3 112 "GO:0001540" "amyloid-beta binding" 0.36252940566021
1404 0.00389652976292909 6 99 "GO:0001594" "trace-amine receptor activity" 0.041991422473787
1481 0.234738970511277 2 15 "GO:0001601" "peptide YY receptor activity" 0.516775111657155
1930 0.050195461720491 4 24 "GO:0001602" "pancreatic polypeptide receptor activity" 0.227951125881875
1317 0.000717918678994959 2 155 "GO:0001609" "G protein-coupled adenosine receptor activity" 0.0119472504693123
-1416 0.179005974458357 3 21 "GO:0001618;GO:0140272" "virus receptor activity" 0.447261386607
1319 0.259715412381541 2 17 "GO:0001640;GO:0098988" "G protein-coupled glutamate receptor activity" 0.544106873445414
