"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-2423 0.0394996418017113 3 11 "GO:0000109" "nucleotide-excision repair complex" 0.160071728923237
292 0.628243204935516 2 42 "GO:0000118" "histone deacetylase complex" 0.786412670648693
1801 0.000163487098618521 4 67 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.00223013170423213
176 0.264004877859557 5 640 "GO:0000139" "Golgi membrane" 0.498051755394625
8 0.989715006676889 3 44 "GO:0000152" "nuclear ubiquitin ligase complex" 0.989715006676889
2336 0.025131520184814 3 14 "GO:0000176" "nuclear exosome (RNase complex)" 0.11831830741877
332 0.741712416613019 3 15 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.850234415469705
1580 0.0522044362981346 3 23 "GO:0000178;GO:1905354" "exoribonuclease complex" 0.180342598120829
-670 0.157911017350616 2 68 "GO:0000228" "nuclear chromosome" 0.376720453948555
-935 0.387658688728148 2 13 "GO:0000242" "pericentriolar material" 0.608361128033554
-1703 0.115672493617184 2 13 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.312374449768233
-283 0.758283289545476 5 18 "GO:0000324;GO:0000322" "storage vacuole" 0.861628962157007
1890 0.0606656579089754 2 15 "GO:0000407" "phagophore assembly site" 0.205567707054617
2232 0.0221569025515383 3 16 "GO:0000421" "autophagosome membrane" 0.106193442859625
4435 5.30893966748971e-16 2 51 "GO:0000502;GO:1905369" "endopeptidase complex" 9.41451967701509e-14
-1595 0.00616649848479175 2 45 "GO:0000775" "chromosome, centromeric region" 0.0415262935937875
-994 0.0665875825792388 2 52 "GO:0000776" "kinetochore" 0.217328797129786
-522 0.322313615583226 3 55 "GO:0000781" "chromosome, telomeric region" 0.544351884096115
-859 0.0406223313953234 2 87 "GO:0000785" "chromatin" 0.160071728923237
-1494 0.000503438792796999 3 83 "GO:0000786;GO:0044815" "DNA packaging complex" 0.00569849867591497
-973 0.203826689301302 3 26 "GO:0000792" "heterochromatin" 0.428599994894437
-1333 0.028864196633429 2 41 "GO:0000794;GO:0000793" "condensed chromosome" 0.127964605074869
-3357 0.00651560332338007 3 10 "GO:0000795;GO:0099086" "synaptonemal complex" 0.0428301559067664
491 0.676689317441493 4 11 "GO:0000812" "Swr1 complex" 0.816323621040531
-264 0.201924196550518 2 366 "GO:0000922" "spindle pole" 0.427741400595593
-663 0.0209414306259454 5 187 "GO:0000932" "P-body" 0.101280373572754
902 0.221607943149776 2 28 "GO:0000943" "retrotransposon nucleocapsid" 0.450583049984379
3668 0.00182505639653185 2 11 "GO:0000974" "Prp19 complex" 0.0173380357670526
-966 0.0643963947581387 2 56 "GO:0001527" "microfibril" 0.212539658685878
513 0.297276193138908 2 63 "GO:0001650" "fibrillar center" 0.521515083653538
-1799 0.00915890739888211 4 32 "GO:0001669" "acrosomal vesicle" 0.0529623775674487
-1884 0.00228948137598597 2 40 "GO:0001725;GO:0097517;GO:0032432" "actin filament bundle" 0.0206441371529582
299 0.502289508039517 2 77 "GO:0001726" "ruffle" 0.693209737110047
-1243 0.0369836888536889 2 43 "GO:0001750" "photoreceptor outer segment" 0.154432665529962
-347 0.676670893183378 2 22 "GO:0001891" "phagocytic cup" 0.816323621040531
-935 0.221903682511104 2 26 "GO:0001917" "photoreceptor inner segment" 0.450583049984379
-695 0.437595768161867 2 19 "GO:0002102" "podosome" 0.636068165743479
-258 0.811589862913005 2 13 "GO:0002116" "semaphorin receptor complex" 0.893925066396933
-1129 3.11931144028325e-08 2 376 "GO:0005581" "collagen trimer" 1.38289473852557e-06
-1891 0.00702508189651099 3 31 "GO:0005583" "fibrillar collagen trimer" 0.0439687478699276
-5143 1.23888548934838e-05 2 11 "GO:0005584" "collagen type I trimer" 0.000244106326049384
-1130 0.278506097322701 3 14 "GO:0005593;GO:0030934" "FACIT collagen trimer" 0.509158913318477
-496 0.0274599255891814 2 308 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 0.126130634852285
-1555 0.150775536052351 2 13 "GO:0005614" "interstitial matrix" 0.366659232438072
-582 8.6276387844468e-07 2 1191 "GO:0005615" "extracellular space" 2.29495191666285e-05
-958 0.0715395272181055 3 54 "GO:0005618" "cell wall" 0.230558460626642
375 0.0106571314082805 2 749 "GO:0005622" "intracellular anatomical structure" 0.0578529990735227
-190 0.747001106192198 -1 44 "GO:0005623" "obsolete cell" 0.852799546124999
-458 0.123724282401897 3 174 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 0.324228609415492
-723 0.419541523491842 2 19 "GO:0005637" "nuclear inner membrane" 0.623312983664908
103 0.886635431628845 3 29 "GO:0005639;GO:0031229" "integral component of nuclear inner membrane" 0.939838749087606
1101 0.135684353149026 2 28 "GO:0005641" "nuclear envelope lumen" 0.340490923940009
-57 0.916588879946804 3 51 "GO:0005643" "nuclear pore" 0.954256916109001
572 1.40638936624609e-07 2 1445 "GO:0005654" "nucleoplasm" 5.34427959173514e-06
