"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
676 0.565544337067795 2 11 "GO:0000109" "nucleotide-excision repair complex" 0.791762071894913
1416 0.0188399947573755 2 42 "GO:0000118" "histone deacetylase complex" 0.103781866533663
620 0.194602373407949 4 67 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.441789518997172
-416 0.00838789193346861 5 640 "GO:0000139" "Golgi membrane" 0.0557794813575663
621 0.2919230240443 2 44 "GO:0000152" "nuclear ubiquitin ligase complex" 0.543017653117369
1081 0.300111153346219 3 14 "GO:0000176" "nuclear exosome (RNase complex)" 0.548821789130963
696 0.489739499272217 4 15 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.727769311767652
1745 0.0320272264184542 3 23 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.149460389952786
2001 2.44688722219915e-05 3 68 "GO:0000228" "nuclear chromosome" 0.000542393334254145
2484 0.0217375262216684 2 13 "GO:0000242" "pericentriolar material" 0.11449865296958
849 0.432905121407402 2 13 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.677369189966876
-56 0.95146828596055 4 18 "GO:0000324;GO:0000322" "storage vacuole" 0.975300824915246
1718 0.0881943452576343 2 15 "GO:0000407" "phagophore assembly site" 0.275306958841796
-448 0.646117315593878 6 16 "GO:0000421" "autophagosome membrane" 0.835316036285691
-1593 0.00360309826547711 3 51 "GO:0000502;GO:1905369" "endopeptidase complex" 0.0309169076973197
2531 1.38383894890285e-05 3 45 "GO:0000775" "chromosome, centromeric region" 0.000334637418552871
637 0.239787227405787 2 52 "GO:0000776" "kinetochore" 0.48876170490375
1669 0.00154458440402819 2 55 "GO:0000781" "chromosome, telomeric region" 0.0162048094548422
1855 9.75040930318263e-06 2 87 "GO:0000785" "chromatin" 0.00024701036901396
-979 0.022658573896248 2 83 "GO:0000786;GO:0044815" "DNA packaging complex" 0.118180012870627
2857 0.000190330192459609 3 26 "GO:0000792" "heterochromatin" 0.00306835340571248
1689 0.00561784521828285 2 41 "GO:0000794;GO:0000793" "condensed chromosome" 0.0420942768468518
3836 0.00187956015149601 3 10 "GO:0000795;GO:0099086" "synaptonemal complex" 0.0181804727381069
-591 0.61547023215854 2 11 "GO:0000812" "Swr1 complex" 0.815618578989952
577 0.00526326430609199 2 366 "GO:0000922" "spindle pole" 0.0400008087262991
525 0.067369250308017 3 187 "GO:0000932" "P-body" 0.238607122437431
534 0.468925028491728 2 28 "GO:0000943" "retrotransposon nucleocapsid" 0.710735370819371
1468 0.212099468617195 2 11 "GO:0000974" "Prp19 complex" 0.461689775156451
651 0.212620291190471 3 56 "GO:0001527" "microfibril" 0.461689775156451
1155 0.0190541456310548 2 63 "GO:0001650" "fibrillar center" 0.103781866533663
804 0.243970284102034 2 32 "GO:0001669" "acrosomal vesicle" 0.495390042527794
-892 0.148808672443033 3 40 "GO:0001725;GO:0097517;GO:0032432" "actin filament bundle" 0.388069675194576
-226 0.612487379895704 2 77 "GO:0001726" "ruffle" 0.815618578989952
