"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
737 0.531086598949346 3 11 "GO:0000109" "nucleotide-excision repair complex" 0.759510942583473
-933 0.121720034978482 3 42 "GO:0000118" "histone deacetylase complex" 0.378684553266388
-1926 5.57353723279559e-05 4 67 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.00247093483987271
190 0.229487749099614 3 640 "GO:0000139" "Golgi membrane" 0.519521202216998
44 0.940909641264888 2 44 "GO:0000152" "nuclear ubiquitin ligase complex" 0.980646611402597
-1592 0.126938129416572 2 14 "GO:0000176" "nuclear exosome (RNase complex)" 0.38943404399818
-594 0.555349712616727 2 15 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.785219499987122
-956 0.240280466660879 4 23 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.524797161778297
-801 0.0911104120395529 2 68 "GO:0000228" "nuclear chromosome" 0.318886442138435
-2155 0.0464573234510159 2 13 "GO:0000242" "pericentriolar material" 0.224684509781277
-179 0.868784619600021 2 13 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.94535071704688
355 0.699956181360817 2 18 "GO:0000324;GO:0000322" "storage vacuole" 0.852120568613169
-175 0.861887544671546 2 15 "GO:0000407" "phagophore assembly site" 0.94152807754674
1242 0.203192263439515 6 16 "GO:0000421" "autophagosome membrane" 0.498148774883972
-822 0.133322976786394 3 51 "GO:0000502;GO:1905369" "endopeptidase complex" 0.400722167516167
-2206 0.000152650020457255 2 45 "GO:0000775" "chromosome, centromeric region" 0.00442426530003738
-1348 0.0128972915553584 2 52 "GO:0000776" "kinetochore" 0.0914847880993423
-1308 0.0130736679438069 3 55 "GO:0000781" "chromosome, telomeric region" 0.0915156756066483
-990 0.0183088419827976 2 87 "GO:0000785" "chromatin" 0.118784194327419
978 0.022746346998186 3 83 "GO:0000786;GO:0044815" "DNA packaging complex" 0.139092604632586
-2811 0.000241421779767845 2 26 "GO:0000792" "heterochromatin" 0.00583801758347698
-982 0.107402426843472 7 41 "GO:0000794;GO:0000793" "condensed chromosome" 0.352704265930414
-1918 0.120138855387721 3 10 "GO:0000795;GO:0099086" "synaptonemal complex" 0.378188586190932
-25 0.983189585606638 3 11 "GO:0000812" "Swr1 complex" 0.992517760043134
257 0.212987875012743 2 366 "GO:0000922" "spindle pole" 0.51295329493788
377 0.189512224694286 2 187 "GO:0000932" "P-body" 0.482394753767273
-791 0.283991898209575 2 28 "GO:0000943" "retrotransposon nucleocapsid" 0.554678896072222
-3396 0.00389966842014322 2 11 "GO:0000974" "Prp19 complex" 0.0461027466559154
-581 0.266413786546586 2 56 "GO:0001527" "microfibril" 0.545123594010707
-1184 0.016279312339303 2 63 "GO:0001650" "fibrillar center" 0.106920915611225
-591 0.391629718492722 2 32 "GO:0001669" "acrosomal vesicle" 0.65517927747839
1230 0.0464270833254972 3 40 "GO:0001725;GO:0097517;GO:0032432" "actin filament bundle" 0.224684509781277
747 0.0940528944833335 4 77 "GO:0001726" "ruffle" 0.324909999124243
-821 0.168093765233432 2 43 "GO:0001750" "photoreceptor outer segment" 0.453938492914649
-194 0.815604567712143 2 22 "GO:0001891" "phagocytic cup" 0.92775100994253
596 0.436095598120923 2 26 "GO:0001917" "photoreceptor inner segment" 0.690484697024795
-165 0.853923501051283 2 19 "GO:0002102" "podosome" 0.937980803232612
76 0.944170755419657 3 13 "GO:0002116" "semaphorin receptor complex" 0.980646611402597
86 0.674481159491587 2 376 "GO:0005581" "collagen trimer" 0.84269932200656
1304 0.0630232821561217 2 31 "GO:0005583" "fibrillar collagen trimer" 0.274822836943088
3183 0.00683362291396297 4 11 "GO:0005584" "collagen type I trimer" 0.0662379601702191
