"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1424 0.22619712084848 2 11 "GO:0000109" "nucleotide-excision repair complex" 0.509901984285557
-179 0.7671444164315 2 42 "GO:0000118" "histone deacetylase complex" 0.916532518444399
899 0.0599117121752039 4 67 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 0.209768608656667
-109 0.490224616492865 5 640 "GO:0000139" "Golgi membrane" 0.736721740040125
99 0.867194514574278 2 44 "GO:0000152" "nuclear ubiquitin ligase complex" 0.93794585732024
2866 0.00600458395222559 2 14 "GO:0000176" "nuclear exosome (RNase complex)" 0.0367176857768277
811 0.421030140162463 5 15 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.702156848170628
1841 0.0237326321974718 3 23 "GO:0000178;GO:1905354" "exoribonuclease complex" 0.103618889684583
-185 0.69705426039018 2 68 "GO:0000228" "nuclear chromosome" 0.882935396494228
-1497 0.166574234120287 2 13 "GO:0000242" "pericentriolar material" 0.424007141397094
-1721 0.1118118827497 6 13 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.330466231238002
-678 0.460994635576074 2 18 "GO:0000324;GO:0000322" "storage vacuole" 0.719660079466952
1910 0.0580571552752829 2 15 "GO:0000407" "phagophore assembly site" 0.207291319506379
2938 0.00260453432297036 2 16 "GO:0000421" "autophagosome membrane" 0.0192898624550299
4744 4.37097316235113e-18 2 51 "GO:0000502;GO:1905369" "endopeptidase complex" 7.75119240790267e-16
-1748 0.00269454971726992 2 45 "GO:0000775" "chromosome, centromeric region" 0.0193716276971297
-1151 0.0336577155934139 2 52 "GO:0000776" "kinetochore" 0.134630862373656
-1029 0.0508810329652928 2 55 "GO:0000781" "chromosome, telomeric region" 0.185402120120108
-1166 0.00544860879694162 2 87 "GO:0000785" "chromatin" 0.0341018809408581
-1855 1.55793190915546e-05 2 83 "GO:0000786;GO:0044815" "DNA packaging complex" 0.000306970287285446
-1847 0.0158385898405845 2 26 "GO:0000792" "heterochromatin" 0.0794917905206694
-1496 0.0141756322883356 2 41 "GO:0000794;GO:0000793" "condensed chromosome" 0.0718232035942337
-2097 0.0891961107030319 2 10 "GO:0000795;GO:0099086" "synaptonemal complex" 0.280783023041497
115 0.921886665181515 2 11 "GO:0000812" "Swr1 complex" 0.966018469612297
-382 0.0645931755194306 2 366 "GO:0000922" "spindle pole" 0.221700447589271
-671 0.0194301684792167 2 187 "GO:0000932" "P-body" 0.0913923464696205
307 0.677201013086765 2 28 "GO:0000943" "retrotransposon nucleocapsid" 0.870219659328886
2982 0.0112523685726169 2 11 "GO:0000974" "Prp19 complex" 0.0575601930830018
-1027 0.0492777481114031 2 56 "GO:0001527" "microfibril" 0.180798358588044
621 0.207366107667565 2 63 "GO:0001650" "fibrillar center" 0.483854251224318
-1614 0.0193571004228699 7 32 "GO:0001669" "acrosomal vesicle" 0.0913923464696205
-1430 0.0205859013299149 3 40 "GO:0001725;GO:0097517;GO:0032432" "actin filament bundle" 0.0928110127755485
-105 0.813329088068715 2 77 "GO:0001726" "ruffle" 0.925959845222935
-1559 0.00888081553752992 2 43 "GO:0001750" "photoreceptor outer segment" 0.049214519437145
603 0.468603507105497 2 22 "GO:0001891" "phagocytic cup" 0.722748643026535
-1146 0.134533231647094 2 26 "GO:0001917" "photoreceptor inner segment" 0.365161628756398
-214 0.811520103759755 2 19 "GO:0002102" "podosome" 0.925959845222935
-74 0.945324217945158 2 13 "GO:0002116" "semaphorin receptor complex" 0.978278062037442
-841 3.77800449053275e-05 2 376 "GO:0005581" "collagen trimer" 0.000609060117867704
-1203 0.0862558345031098 2 31 "GO:0005583" "fibrillar collagen trimer" 0.274779065602721
-4771 5.01590064729835e-05 2 11 "GO:0005584" "collagen type I trimer" 0.000762416898389349
