"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-597 0.60993197862512 2 17 "GO:0000030" "mannosyltransferase activity" 0.868861934948645
583 0.423637396418406 2 44 "GO:0000049" "tRNA binding" 0.772000379423624
787 0.514242471079553 7 16 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 0.83528887567618
-1688 0.137941694656655 2 18 "GO:0000099" "sulfur amino acid transmembrane transporter activity" 0.51611801521072
-2796 0.0169312301626533 2 17 "GO:0000146" "microfilament motor activity" 0.164102692345717
-188 0.707848563631393 3 93 "GO:0000149" "SNARE binding" 0.917675231091479
-763 0.448536881357439 2 23 "GO:0000175" "3'-5'-exoribonuclease activity" 0.788295245269172
481 0.50862927911606 3 44 "GO:0000217" "DNA secondary structure binding" 0.829471568201245
-92 0.788293866073224 2 200 "GO:0000287" "magnesium ion binding" 0.947025586758779
-4586 0.000144411853780864 2 16 "GO:0000339" "RNA cap binding" 0.00670375026498537
1074 0.345099970392271 2 18 "GO:0000400" "four-way junction DNA binding" 0.729231904041485
2501 0.0447971040541199 4 15 "GO:0000403" "Y-form DNA binding" 0.297075532148374
-846 0.000487407251397082 3 405 "GO:0000976;GO:0001067;GO:1990837;GO:0003690" "double-stranded DNA binding" 0.0159219702123047
-894 0.00600239486758242 4 223 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 0.086669757120282
-1231 0.00284501918183196 5 138 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 0.0597454028184712
-1726 0.166026104786184 5 15 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.565386194677275
-234 0.483462847435931 2 211 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.812217583692364
-543 0.505923948462528 2 35 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.829471568201245
-1256 0.0779625220967404 2 46 "GO:0001046" "core promoter sequence-specific DNA binding" 0.396504884718827
-3548 0.0200768548658854 -1 10 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.184456104080322
1039 0.475301857366432 2 11 "GO:0001221" "transcription coregulator binding" 0.806452749310352
482 0.655209561225685 2 20 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 0.896769367880742
-819 0.21322451318589 2 54 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.631087317550184
319 0.695750792559463 5 35 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 0.917675231091479
-610 0.324506209260013 3 61 "GO:0001530" "lipopolysaccharide binding" 0.711698134369513
466 0.308223402705484 2 112 "GO:0001540" "amyloid-beta binding" 0.700652168005765
204 0.674467233162608 2 99 "GO:0001594" "trace-amine receptor activity" 0.902701213428559
1556 0.211836363927191 3 15 "GO:0001601" "peptide YY receptor activity" 0.630784822502955
