"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-105 0.928806307600656 2 17 "GO:0000030" "mannosyltransferase activity" 0.979912874765285
254 0.727152021918705 3 44 "GO:0000049" "tRNA binding" 0.891157104602465
134 0.911743817076873 2 16 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 0.966536113776204
-1640 0.149435067668154 3 18 "GO:0000099" "sulfur amino acid transmembrane transporter activity" 0.399347813858281
-1304 0.265260816892596 2 17 "GO:0000146" "microfilament motor activity" 0.565257996938511
2 0.996731849192497 3 93 "GO:0000149" "SNARE binding" 0.999917251996084
-368 0.714678333952056 4 23 "GO:0000175" "3'-5'-exoribonuclease activity" 0.88970360618534
723 0.3204131653747 3 44 "GO:0000217" "DNA secondary structure binding" 0.633015240833128
-166 0.628857988320853 2 200 "GO:0000287" "magnesium ion binding" 0.852001145466962
-1139 0.345335072065136 3 16 "GO:0000339" "RNA cap binding" 0.653617024809978
1509 0.184597507778245 2 18 "GO:0000400" "four-way junction DNA binding" 0.457793753162716
1365 0.273289056852278 4 15 "GO:0000403" "Y-form DNA binding" 0.572543819818787
1122 3.8904794019755e-06 2 404 "GO:0000976;GO:0001067;GO:1990837;GO:0003690" "double-stranded DNA binding" 0.000169136196475286
671 0.0394220780564386 3 222 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 0.187947420787994
335 0.416914382160296 7 138 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 0.711254323143871
-230 0.853732353554619 2 15 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.950062600616383
203 0.543657244719332 2 210 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.802081339232435
1943 0.0172924709635076 3 35 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.115545146892528
491 0.490644276770639 6 46 "GO:0001046" "core promoter sequence-specific DNA binding" 0.759207459845094
345 0.820930498697525 -1 10 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.930952575626095
2150 0.139454325670708 4 11 "GO:0001221" "transcription coregulator binding" 0.384370985129889
1970 0.0679414697732163 3 20 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 0.257446125011771
315 0.634581243857136 3 53 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.854265452197753
-298 0.714882636516998 2 35 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 0.88970360618534
-133 0.82988782447544 3 61 "GO:0001530" "lipopolysaccharide binding" 0.932434472850112
-38 0.934315339230623 2 112 "GO:0001540" "amyloid-beta binding" 0.98242366133
12 0.980251109833667 3 99 "GO:0001594" "trace-amine receptor activity" 0.999917251996084
445 0.720839889208399 2 15 "GO:0001601" "peptide YY receptor activity" 0.891157104602465
765 0.437569265011143 2 24 "GO:0001602" "pancreatic polypeptide receptor activity" 0.723762271164884
284 0.466332609014169 5 155 "GO:0001609" "G protein-coupled adenosine receptor activity" 0.739307510399102
-2432 0.0209322268678125 3 21 "GO:0001618;GO:0140272" "virus receptor activity" 0.131873029267219
2668 0.022634355610246 2 17 "GO:0001640;GO:0098988" "G protein-coupled glutamate receptor activity" 0.135806133661476
-36 0.893587384552434 2 335 "GO:0001664" "G protein-coupled receptor binding" 0.95845573712702
2703 0.043399932630093 3 13 "GO:0001671;GO:0140677" "molecular function activator activity" 0.201416955182321
708 0.491749535214333 6 22 "GO:0001733;GO:0050694" "galactosylceramide sulfotransferase activity" 0.75925709036681
-1088 0.382471013741473 2 15 "GO:0001784" "phosphotyrosine residue binding" 0.681256867735882
184 0.781825002171633 2 53 "GO:0001786" "phosphatidylserine binding" 0.915849959475687
-1101 0.0584054536410617 3 69 "GO:0001965" "G-protein alpha-subunit binding" 0.235196907382681
470 0.725436184579117 3 13 "GO:0001968" "fibronectin binding" 0.891157104602465
-182 0.659289725909941 4 137 "GO:0002020" "protease binding" 0.867900803362042
1271 0.0682583228613942 3 48 "GO:0002039" "p53 binding" 0.257446125011771
1092 0.365469209741363 3 16 "GO:0002162" "dystroglycan binding" 0.668763159734195
1320 0.0123861764940038 2 84 "GO:0003678" "DNA helicase activity" 0.0937901067485738
-758 0.493493482821928 4 19 "GO:0003680" "minor groove of adenine-thymine-rich DNA binding" 0.759618240574067
808 0.000696314733263209 2 420 "GO:0003682" "chromatin binding" 0.0109669570488955
1772 0.00450999715276668 2 60 "GO:0003684" "damaged DNA binding" 0.0491088578856816
1561 0.00185761734187887 2 93 "GO:0003697" "single-stranded DNA binding" 0.0256002889927682
798 1.7739135466117e-05 2 703 "GO:0003700;GO:0140110" "transcription regulator activity" 0.000605520866629267
-1343 0.182170503753041 3 23 "GO:0003707" "steroid hormone receptor activity" 0.456461319063018
1220 0.000664556007188943 2 183 "GO:0003712" "transcription coregulator activity" 0.0106570617880118
467 0.315433825040946 2 108 "GO:0003713" "transcription coactivator activity" 0.629440347706141
1800 0.00390106050238385 2 60 "GO:0003714" "transcription corepressor activity" 0.0446848748454877
1163 6.14910347130747e-17 2 1304 "GO:0003723" "RNA binding" 5.42350926169319e-14
2642 0.00377692580808652 3 28 "GO:0003725" "double-stranded RNA binding" 0.0443007846353368
1216 0.0513233710055805 3 60 "GO:0003727" "single-stranded RNA binding" 0.216483878265277
1053 0.0131210753214574 3 130 "GO:0003729" "mRNA binding" 0.0980744782502155
1102 0.176969523512528 4 35 "GO:0003730" "mRNA 3'-UTR binding" 0.451118843173554
2552 6.04618279709256e-10 2 138 "GO:0003735" "structural constituent of ribosome" 1.06654664540713e-07
-1207 0.074264581700312 2 51 "GO:0003743" "translation initiation factor activity" 0.268333013421238
998 0.456079891728776 2 13 "GO:0003746" "translation elongation factor activity" 0.735592987973491
1088 0.135237721700607 2 44 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.378518015016687
-2889 0.0074307286204678 2 20 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 0.0682310239913602
-48 0.903445955713432 1 153 "GO:0003774" "cytoskeletal motor activity" 0.962366344129525
484 0.305044696977719 2 105 "GO:0003777" "microtubule motor activity" 0.616511451753018
379 0.104157175264972 4 440 "GO:0003779" "actin binding" 0.337744958028328
-2219 0.0310595230342886 2 22 "GO:0003823" "antigen binding" 0.165027104314714
-354 0.791248907150687 2 13 "GO:0003846" "2-acylglycerol O-acyltransferase activity" 0.917591793103912
-3858 0.0114575409869531 2 10 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 0.0889761850951638
-629 0.680095814126816 5 10 "GO:0003884" "D-amino-acid oxidase activity" 0.881121342577593
650 0.116504442693127 2 137 "GO:0003887" "DNA-directed DNA polymerase activity" 0.356794855747701
88 0.894778692879141 6 53 "GO:0003899;GO:0034062;GO:0097747" "5'-3' RNA polymerase activity" 0.95845573712702
1839 0.228154887184255 4 10 "GO:0003906" "DNA-(apurinic or apyrimidinic site) endonuclease activity" 0.517251630693589
-295 0.312000938575984 2 277 "GO:0003924" "GTPase activity" 0.624917591291488
1247 0.060261103799102 3 53 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.238322853557623
-1366 0.370507233671499 2 10 "GO:0003951" "NAD+ kinase activity" 0.66964627069316
5088 0.000259233906536811 2 12 "GO:0003968" "RNA-directed 5'-3' RNA polymerase activity" 0.00531730943175505
369 0.691637935287024 2 27 "GO:0003993" "acid phosphatase activity" 0.886203545462188
-1834 0.128422636928611 3 16 "GO:0003995" "acyl-CoA dehydrogenase activity" 0.372001867228647
-3770 3.59194556585925e-05 2 28 "GO:0004033;GO:0008106;GO:0052650" "aldo-keto reductase (NADP) activity" 0.00100912967729442
-2945 0.042958161965591 6 11 "GO:0004035" "alkaline phosphatase activity" 0.201416955182321
-198 0.87798993546584 2 14 "GO:0004051" "arachidonate 5-lipoxygenase activity" 0.957485752468918
-160 0.882384345499157 2 20 "GO:0004062" "aryl sulfotransferase activity" 0.958451961490464
-2692 0.001357922314361 5 33 "GO:0004065;GO:0003943" "arylsulfatase activity" 0.0202997878180746
-610 0.613222548379974 5 16 "GO:0004089" "carbonate dehydratase activity" 0.842464622540712
-698 0.539613071238901 5 18 "GO:0004104;GO:0003990" "cholinesterase activity" 0.798554914148843
337 0.786611357475898 2 15 "GO:0004114;GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 0.915849959475687
3028 0.0236719382110794 4 13 "GO:0004129;GO:0016675" "cytochrome-c oxidase activity" 0.137013929138439
-347 0.81138127993863 2 11 "GO:0004144" "diacylglycerol O-acyltransferase activity" 0.929262345531056
-2689 0.00162824430266365 5 32 "GO:0004177;GO:0070006" "aminopeptidase activity" 0.0235219972957182
-2843 3.1634577842288e-05 2 50 "GO:0004180" "carboxypeptidase activity" 0.000930056588563267
-2525 0.00765722644488562 2 26 "GO:0004181" "metallocarboxypeptidase activity" 0.0689150380039706
-2822 0.0644218272889343 6 10 "GO:0004185" "serine-type carboxypeptidase activity" 0.251416157826726
70 0.845090031185977 2 185 "GO:0004190;GO:0070001" "aspartic-type peptidase activity" 0.944701403683183
185 0.71845978409555 5 89 "GO:0004197" "cysteine-type endopeptidase activity" 0.891157104602465
378 0.777566002581653 2 13 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.915849959475687
-1551 1.11486515215163e-07 3 277 "GO:0004252;GO:0008236;GO:0017171" "serine hydrolase activity" 8.93919149270671e-06
-2865 0.0175554224104812 4 16 "GO:0004298" "threonine-type endopeptidase activity" 0.116420169669507
-3709 0.00012190657673748 2 25 "GO:0004303" "estradiol 17-beta-dehydrogenase activity" 0.00275696412006301
-3015 0.01244154477277 2 16 "GO:0004312" "fatty acid synthase activity" 0.0937901067485738
-616 0.456641037002106 3 34 "GO:0004364" "glutathione transferase activity" 0.735592987973491
-3292 0.000187501951610874 3 30 "GO:0004383" "guanylate cyclase activity" 0.00402930287817158
2102 1.07044026500181e-07 2 150 "GO:0004386" "helicase activity" 8.93919149270671e-06
2308 0.0324725397014343 2 20 "GO:0004407;GO:0033558" "protein deacetylase activity" 0.168475176568618
-2113 0.146431691890656 2 11 "GO:0004438;GO:0052744" "phosphatidylinositol-3-phosphatase activity" 0.395020844381472
-636 0.0515437805393517 2 221 "GO:0004497" "monooxygenase activity" 0.216483878265277
-2070 0.174809921622037 2 10 "GO:0004499" "N,N-dimethylaniline monooxygenase activity" 0.448204508344874
-115 0.896399295147373 2 30 "GO:0004500;GO:0016715" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen" 0.95845573712702
71 0.942253009037378 5 24 "GO:0004503;GO:0016716" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen" 0.984676722714416
494 0.0244250897510131 2 497 "GO:0004518" "nuclease activity" 0.138986639744475
615 0.0159321857392884 4 366 "GO:0004519" "endonuclease activity" 0.108093752477326
1337 0.00951547226988727 2 88 "GO:0004520;GO:0004536" "deoxyribonuclease activity" 0.0796378862850469
706 0.208695012165997 2 74 "GO:0004523" "RNA-DNA hybrid ribonuclease activity" 0.486955028387326
-67 0.956021041689657 2 16 "GO:0004526;GO:0004549" "tRNA-specific ribonuclease activity" 0.9900665252797
-64 0.895582355489608 5 98 "GO:0004527" "exonuclease activity" 0.95845573712702
-654 0.638608366376584 7 12 "GO:0004535" "poly(A)-specific ribonuclease activity" 0.854265452197753
284 0.467877385203694 3 153 "GO:0004540" "ribonuclease activity" 0.739307510399102
2610 0.0361741894965615 2 15 "GO:0004550" "nucleoside diphosphate kinase activity" 0.180320311654176
-1330 0.217739267510682 2 20 "GO:0004551" "nucleotide diphosphatase activity" 0.497274599225721
