delta.rank	pval	level	nseqs	term	name	p.adj	goDivision
-1291	7.34668512288719e-6	2	294	GO:0006518	peptide metabolic process	0.0135496855992923	BP
-1572	7.71622186747855e-6	2	196	GO:0006412;GO:0043043	peptide biosynthetic process	0.0135496855992923	BP
1221	2.22291797535154e-5	5	294	GO:0051276	chromosome organization	0.0208333885753207	BP
-1289	2.67333210338854e-5	3	258	GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	0.0208333885753207	BP
-712	2.96602912518803e-5	2	868	GO:1901566	organonitrogen compound biosynthetic process	0.0208333885753207	BP
-964	6.06251726299828e-5	2	425	GO:0098609	cell-cell adhesion	0.0330414681967902	BP
-3130	6.58571404833517e-5	2	39	GO:0043094	cellular metabolic compound salvage	0.0330414681967902	BP
-4029	7.92261104476747e-5	4	23	GO:0002181	cytoplasmic translation	0.0347802624865292	BP
-1462	2.13684498611089e-4	2	155	GO:1903034	regulation of response to wounding	0.0833844399024605	BP
790	3.42005129952938e-4	2	507	GO:0007017	microtubule-based process	0.110576710816046	BP
553	3.49595585677519e-4	4	1068	GO:0006259	DNA metabolic process	0.110576710816046	BP
5023	3.77824752218837e-4	2	12	GO:0031054	pre-miRNA processing	0.110576710816046	BP
675	4.3268256822067e-4	2	677	GO:0006974	cellular response to DNA damage stimulus	0.116890859968538	BP
-1002	5.11921932540505e-4	2	293	GO:0043604	amide biosynthetic process	0.128419273363018	BP
3154	6.54941301111309e-4	2	28	GO:0045910	negative regulation of DNA recombination	0.153343589966861	BP
-2716	7.45405182169808e-4	2	37	GO:0033238	regulation of cellular amine metabolic process	0.163616437486273	BP
1333	8.26724630694157e-4	2	152	GO:0060964;GO:0060147;GO:0060966	regulation of posttranscriptional gene silencing	0.170791582529287	BP
2069	8.88147688166624e-4	3	62	GO:0002702;GO:0002700	regulation of production of molecular mediator of immune response	0.173287482268955	BP
995	9.55798681554295e-4	3	268	GO:0051052	regulation of DNA metabolic process	0.176671840506247	BP
-1767	0.00110586620193947	2	82	GO:1903035	negative regulation of response to wounding	0.194190105060571	BP
-1521	0.00121846807482312	-1	109	GO:0055114	obsolete oxidation-reduction process	0.203774279941848	BP
4935	0.00142862486868471	5	10	GO:0021904	dorsal/ventral neural tube patterning	0.228060479037305	BP
-3148	0.00163705627502884	3	24	GO:0061418	regulation of transcription from RNA polymerase II promoter in response to hypoxia	0.24596635067843	BP
2245	0.00168086344427173	3	47	GO:2001252	positive regulation of chromosome organization	0.24596635067843	BP
4228	0.00184461340674808	3	13	GO:0045191;GO:0002637	regulation of immunoglobulin production	0.25913129137997	BP
-1505	0.00195673381357271	2	102	GO:0061041	regulation of wound healing	0.260147402661084	BP
-3302	0.00199999426874979	5	21	GO:0046503	glycerolipid catabolic process	0.260147402661084	BP
2832	0.00221144462293494	2	28	GO:0007098	centrosome cycle	0.261465242999412	BP
-672	0.00230893287286395	2	508	GO:0043603	cellular amide metabolic process	0.261465242999412	BP
-4703	0.0023778907362058	3	10	GO:1902074	response to salt	0.261465242999412	BP
-490	0.00245071540105317	2	971	GO:0050877	nervous system process	0.261465242999412	BP
-3691	0.00255965862441795	2	16	GO:0030521	androgen receptor signaling pathway	0.261465242999412	BP
-1651	0.00260495009707626	3	80	GO:0006690	icosanoid metabolic process	0.261465242999412	BP
1343	0.00261978977722809	3	121	GO:0051053	negative regulation of DNA metabolic process	0.261465242999412	BP
1400	0.00278354583706237	2	110	GO:0000723;GO:0032200	telomere organization	0.261465242999412	BP
-2373	0.00282472473946492	2	38	GO:0022904;GO:0022900	electron transport chain	0.261465242999412	BP
-392	0.00288384069459307	2	1516	GO:0003008	system process	0.261465242999412	BP
1176	0.00290255529632056	2	155	GO:0033044	regulation of chromosome organization	0.261465242999412	BP
-4207	0.00290351494219165	2	12	GO:0001759;GO:2000544;GO:1904847	organ induction	0.261465242999412	BP
-2964	0.00302285278685204	5	24	GO:0009119	ribonucleoside metabolic process	0.262160804878574	BP
-2447	0.00312590141472894	2	35	GO:0019369	arachidonic acid metabolic process	0.262160804878574	BP
-2557	0.00314593946309871	3	32	GO:0007297;GO:0007298	ovarian follicle cell migration	0.262160804878574	BP
-4557	0.00323888971502854	6	10	GO:0032225	regulation of synaptic transmission, dopaminergic	0.262160804878574	BP
532	0.00328447477638305	2	766	GO:0022402	cell cycle process	0.262160804878574	BP
-4136	0.00342167327706883	2	12	GO:0098780	response to mitochondrial depolarisation	0.263700575596726	BP
-1388	0.00345393692410291	2	107	GO:0006605	protein targeting	0.263700575596726	BP
1213	0.00359434983362279	2	139	GO:1903046	meiotic cell cycle process	0.263749899234111	BP
