name	term	lev	seq	value
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_1.1629	13.4412629628423
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_1.676	115.05949381156
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_1.675	-0.822211331670463
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_1.1523	2.26483633042638
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_1.1045	1.04856488253847
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_1.621	15.7693658741016
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_1.1515	60.2375498908799
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_1.414	5.0834153901544
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_1.653	71.1437739420114
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_1.856	15.5610202238562
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_1.1475	4.95455132607124
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_1.1894	2.4677716545694
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_1.1336	-4.37255170863232
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_1.394	-2.15922701910573
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_1.1459	6.47940432974423
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_1.1367	-0.709374057936797
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_1.1366	-1.56045985301495
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_1.1053	0.00306501729429167
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_1.1602	2.80049039451185
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_2.328	0.946938247563382
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_2.621	27.138498331899
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_2.1466	1.54063127990216
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_2.1461	13.8712099513536
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_2.1460	2.29625803337741
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_2.2059	-1.74326974612502
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_2.2061	3.68511622982466
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_2.2062	0.215006023945341
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_2.902	17.0313903699814
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_2.1483	-0.147971249603268
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_2.769	5.37345641794348
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_2.1748	2.43647896194196
"ribonucleoprotein complex"	GO:1990904	2	evm.TU.chromosome_2.786	-5.86667474435555
