"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1676 0.0461049480677538 2 34 "GO:0000002" "mitochondrial genome maintenance" 0.215170788295754
-122 0.934139128758865 1 11 "GO:0000003" "reproduction" 0.969066055083194
-1404 0.341454196019836 2 11 "GO:0000012" "single strand break repair" 0.620199525207266
-2093 0.00115160686311229 6 58 "GO:0000018" "regulation of DNA recombination" 0.0211022521605734
-723 0.624194762418638 2 11 "GO:0000019" "regulation of mitotic recombination" 0.824200004081173
4714 4.43036642210084e-05 2 18 "GO:0000027" "ribosomal large subunit assembly" 0.00207399445966244
-1969 0.0879764111893753 2 18 "GO:0000038" "very long-chain fatty acid metabolic process" 0.304256588632705
165 0.742222574773648 7 96 "GO:0000041" "transition metal ion transport" 0.883670213642007
2143 0.0184960290026464 2 29 "GO:0000045;GO:1905037" "autophagosome organization" 0.124883765054407
4426 0.00174070316146959 2 12 "GO:0000054;GO:0033750" "ribosomal subunit export from nucleus" 0.0275297693690078
1335 0.275345024051407 -1 16 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.555449475750709
1799 0.119083785630813 2 18 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.352532184949228
-4039 0.00202593604913592 5 14 "GO:0000076" "DNA replication checkpoint signaling" 0.0310078742666479
-27 0.973282249601785 2 37 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.989057591418775
-1331 6.17727991866343e-05 2 220 "GO:0000082;GO:0044843;GO:0035278;GO:0035195;GO:0040033;GO:0035194;GO:0016441;GO:0010586;GO:0021915;GO:0072089" "G1/S transition of mitotic cell cycle" 0.00267758392523794
-1890 0.00148735679623452 5 68 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.0254134842966669
-135 0.820688753516451 2 68 "GO:0000096" "sulfur amino acid metabolic process" 0.922650724814684
-261 0.730092411575608 2 42 "GO:0000097" "sulfur amino acid biosynthetic process" 0.877277475673717
570 0.699371280485904 5 11 "GO:0000098" "sulfur amino acid catabolic process" 0.860810778205841
-1681 0.156887788021885 2 17 "GO:0000101" "sulfur amino acid transport" 0.413045892283627
613 0.664678657860051 2 12 "GO:0000105" "histidine biosynthetic process" 0.843704543653882
178 0.474428571309191 2 395 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.720466571741596
-126 0.902044133463627 2 23 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.955954407663989
1822 0.0810483715618579 4 22 "GO:0000154" "rRNA modification" 0.289482027012902
-225 0.542220173284237 4 177 "GO:0000165" "MAPK cascade" 0.765474478649359
1929 0.00985317805990908 6 43 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.0856299707137148
1154 0.434278984801456 -1 11 "GO:0000185" "obsolete activation of MAPKKK activity" 0.692125971692198
-958 0.318584513380589 -1 26 "GO:0000186" "obsolete activation of MAPKK activity" 0.596603495628282
227 0.649194835784931 -1 97 "GO:0000187" "obsolete activation of MAPK activity" 0.836141991357628
443 0.0977214826467404 4 341 "GO:0000209" "protein polyubiquitination" 0.318866287706975
-3091 0.0458765653289149 4 10 "GO:0000212" "meiotic spindle organization" 0.214885141488428
-1303 5.88337775683771e-05 2 231 "GO:0000226" "microtubule cytoskeleton organization" 0.00258206741303215
5677 2.91213413410617e-05 2 13 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.00152604521564877
3578 0.00464912783926228 2 15 "GO:0000245" "spliceosomal complex assembly" 0.0533434243256532
118 0.933322224110299 2 12 "GO:0000266" "mitochondrial fission" 0.968922036916398
-3170 4.8082195992538e-06 2 50 "GO:0000272" "polysaccharide catabolic process" 0.000422041475324502
-1741 0.000816492150706953 3 89 "GO:0000278" "mitotic cell cycle" 0.0167643505329363
-1697 0.000396796858331569 4 105 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 0.0108840138250167
119 0.938875042213806 2 10 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.969066055083194
-510 0.67669199900986 2 16 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.850898386912817
1849 0.0835855103560952 2 21 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.29346872686025
-488 0.297236350139039 2 110 "GO:0000302" "response to reactive oxygen species" 0.5753014472647
3456 0.000547309240828043 3 24 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.0133444635038004
4998 1.88660621595893e-10 2 39 "GO:0000387" "spliceosomal snRNP assembly" 5.09528801863985e-08
3270 6.28648166700855e-14 3 127 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 2.61893449251908e-11
1645 0.0756555297465321 2 28 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 0.279762967524701
1574 0.286377470855567 2 11 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.564554351585567
