"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
107 0.898467974513723 6 34 "GO:0000002" "mitochondrial genome maintenance" 0.967627045159114
2678 0.0696466836056846 1 11 "GO:0000003" "reproduction" 0.3773603489808
295 0.841657453727913 6 11 "GO:0000012" "single strand break repair" 0.95605180948181
-1373 0.0329738373077742 2 58 "GO:0000018" "regulation of DNA recombination" 0.26782421418413
-2307 0.118167304228189 2 11 "GO:0000019" "regulation of mitotic recombination" 0.474697259891501
-2256 0.0506183087317317 7 18 "GO:0000027" "ribosomal large subunit assembly" 0.322718791518868
157 0.89175240898058 2 18 "GO:0000038" "very long-chain fatty acid metabolic process" 0.966260910329808
-184 0.713157760664765 2 96 "GO:0000041" "transition metal ion transport" 0.901006440336088
-275 0.762634876912794 6 29 "GO:0000045;GO:1905037" "autophagosome organization" 0.925412601067151
-917 0.51632688860355 3 12 "GO:0000054;GO:0033750" "ribosome localization" 0.810399859183941
-275 0.822042034403396 -1 16 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.952797994849118
-3022 0.0088419549142143 5 18 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.136158349578098
-1846 0.158339166842467 2 14 "GO:0000076" "DNA replication checkpoint signaling" 0.525672293070902
1029 0.20147016069098 2 37 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.5854464160043
576 0.0830489842303847 2 220 "GO:0000082;GO:0044843;GO:0035278;GO:0035195;GO:0040033;GO:0035194;GO:0016441;GO:0010586;GO:0021915;GO:0072089" "G1/S transition of mitotic cell cycle" 0.412305467109213
-1792 0.0025915117971264 2 68 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.0784379131009551
-26 0.965287639862258 2 68 "GO:0000096" "sulfur amino acid metabolic process" 0.988659540127301
839 0.267317536451628 3 42 "GO:0000097" "sulfur amino acid biosynthetic process" 0.64196434369471
-2353 0.110998021027996 3 11 "GO:0000098" "sulfur amino acid catabolic process" 0.466723415364424
-495 0.677050905113452 2 17 "GO:0000101" "sulfur amino acid transport" 0.882377775743627
-1944 0.168930439106254 2 12 "GO:0000105" "histidine biosynthetic process" 0.53584587042105
-189 0.447338528927477 4 395 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.775964455833305
-213 0.834654223789191 2 23 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.955139131340344
-1952 0.0615911911900442 2 22 "GO:0000154" "rRNA modification" 0.354983731726792
344 0.352858350902161 2 177 "GO:0000165" "MAPK cascade" 0.713799790878186
-622 0.404988719218221 8 43 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.744458321034122
1526 0.301384380039719 -1 11 "GO:0000185" "obsolete activation of MAPKKK activity" 0.671847973536161
-731 0.446747804640038 -1 26 "GO:0000186" "obsolete activation of MAPKK activity" 0.775964455833305
-446 0.371389555276611 -1 97 "GO:0000187" "obsolete activation of MAPK activity" 0.727352062680884
-287 0.284015653350184 8 341 "GO:0000209" "protein polyubiquitination" 0.656038788758221
1657 0.28445155625941 5 10 "GO:0000212" "meiotic spindle organization" 0.656182594222134
-324 0.317715295559227 2 231 "GO:0000226" "microtubule cytoskeleton organization" 0.68729976351136
-390 0.77421984136346 6 13 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.928793171010221
-202 0.872974319545776 2 15 "GO:0000245" "spliceosomal complex assembly" 0.964627420390033
1944 0.168976130758171 4 12 "GO:0000266" "mitochondrial fission" 0.53584587042105
1528 0.0275453021040801 3 50 "GO:0000272" "polysaccharide catabolic process" 0.241778889218563
-595 0.252837397512435 3 89 "GO:0000278" "mitotic cell cycle" 0.629583051536283
615 0.199448009102146 2 105 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 0.582823116192013
1090 0.481308070854773 7 10 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.794959279723324
-168 0.89056573403308 2 16 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.966260910329808
-1704 0.110853289470946 2 21 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.466723415364424
-845 0.0710012457105529 4 110 "GO:0000302" "response to reactive oxygen species" 0.380851394742436
-1092 0.274899833572139 2 24 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.648661546142736
-770 0.326562254102238 2 39 "GO:0000387" "spliceosomal snRNP assembly" 0.693623759318184
