"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
417 0.741147041390613 2 42 "GO:0000118" "histone deacetylase complex" 0.85956333996631
3695 0.000218827241324078 4 67 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.00184587749691105
63 0.847264328586963 5 640 "GO:0000139" "Golgi membrane" 0.920174315319966
284 0.817655360914821 2 44 "GO:0000152" "nuclear ubiquitin ligase complex" 0.905084176502392
4796 0.00491094637369865 4 23 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.0253155827151226
-783 0.430230685651475 4 68 "GO:0000228" "nuclear chromosome" 0.603311995971034
10324 2.0158773682609e-19 3 51 "GO:0000502;GO:1905369" "endopeptidase complex" 2.4593703892783e-17
-3855 0.00157028022191354 2 45 "GO:0000775" "chromosome, centromeric region" 0.00990900967621303
-2626 0.0206281241920312 2 52 "GO:0000776" "kinetochore" 0.0705597519091908
-2491 0.0239351927777618 2 55 "GO:0000781" "chromosome, telomeric region" 0.0782167906844716
-2377 0.00675258399020019 2 87 "GO:0000785" "chromatin" 0.0308184733174056
-3504 9.60838067905199e-05 2 83 "GO:0000786;GO:0044815" "DNA packaging complex" 0.000950450629333251
-2787 0.0822819602950228 3 26 "GO:0000792" "heterochromatin" 0.210595786489359
-3057 0.0167012777139488 7 41 "GO:0000794;GO:0000793" "condensed chromosome" 0.0623741596255639
-975 0.0233494548056387 2 366 "GO:0000922" "spindle pole" 0.0770228871516265
-1761 0.00331337402048725 2 187 "GO:0000932" "P-body" 0.018374165022702
1487 0.336053105523493 2 28 "GO:0000943" "retrotransposon nucleocapsid" 0.519741030730743
-3047 0.00531826621137706 2 56 "GO:0001527" "microfibril" 0.0270345199078334
1317 0.201585370971149 2 63 "GO:0001650" "fibrillar center" 0.403464037695779
-4544 0.00167176820483463 2 32 "GO:0001669" "acrosomal vesicle" 0.0102420362142186
-4259 0.000992166812039363 2 40 "GO:0001725;GO:0097517;GO:0032432" "actin filament bundle" 0.00685156704163032
359 0.700576897937131 4 77 "GO:0001726" "ruffle" 0.846637237556875
-2960 0.0176692792232356 2 43 "GO:0001750" "photoreceptor outer segment" 0.0643095265918253
-798 0.647292127898369 2 22 "GO:0001891" "phagocytic cup" 0.802061780515445
-2890 0.0715623641504195 2 26 "GO:0001917" "photoreceptor inner segment" 0.192364533768448
-1628 1.37553744969608e-17 2 1975 "GO:0005576" "extracellular region" 1.25861676647191e-15
-2756 8.85433643766759e-11 2 375 "GO:0005581" "collagen trimer" 4.05085892023292e-09
-3688 0.0120486106086934 3 31 "GO:0005583" "fibrillar collagen trimer" 0.0474171127180837
-1447 0.00200649896839993 3 308 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 0.0116568035307044
-1370 1.50509371994727e-08 2 1190 "GO:0005615" "extracellular space" 3.24037824412177e-07
-2590 0.0200060220687204 2 54 "GO:0005618" "cell wall" 0.069735276925254
952 0.00167902233019977 2 748 "GO:0005622" "intracellular anatomical structure" 0.0102420362142186
-638 0.604946121251523 -1 44 "GO:0005623" "obsolete cell" 0.769372270052083
-598 0.336147225983145 4 174 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 0.519741030730743
359 0.812942233442865 2 29 "GO:0005639;GO:0031229" "integral component of nuclear inner membrane" 0.904367347842215
