"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-2286 0.0519788633965093 2 11 "GO:0000109" "nucleotide-excision repair complex" 0.188113981815938
195 0.746001117058054 2 42 "GO:0000118" "histone deacetylase complex" 0.850485419717869
1582 0.000928986388676573 3 67 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.00772219935587401
85 0.590229086873892 5 640 "GO:0000139" "Golgi membrane" 0.79093671087383
216 0.713763973379093 3 44 "GO:0000152" "nuclear ubiquitin ligase complex" 0.841537666139992
2762 0.00808977951503261 3 14 "GO:0000176" "nuclear exosome (RNase complex)" 0.0457847095957165
701 0.486899584661006 2 15 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.707733822512719
2003 0.0138514741694029 3 23 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.0657945023046638
-397 0.401869150941359 6 68 "GO:0000228" "nuclear chromosome" 0.634744511501593
-1319 0.223073390158531 2 13 "GO:0000242" "pericentriolar material" 0.467224580961963
-1811 0.0943219478321675 2 13 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.278773756926184
-448 0.6265348327083 7 18 "GO:0000324;GO:0000322" "storage vacuole" 0.797407968901473
2058 0.0411455183943794 2 15 "GO:0000407" "phagophore assembly site" 0.159581480918727
2802 0.00407773975403379 6 16 "GO:0000421" "autophagosome membrane" 0.0264555798676339
4745 4.24958029835806e-18 2 51 "GO:0000502;GO:1905369" "endopeptidase complex" 7.53592239575496e-16
-1772 0.00234424774930478 3 45 "GO:0000775" "chromosome, centromeric region" 0.0161966208133785
-1191 0.0279200050265694 2 52 "GO:0000776" "kinetochore" 0.113385058581183
-963 0.0675397971673646 2 55 "GO:0000781" "chromosome, telomeric region" 0.221797358599
-1059 0.0115646113029427 2 87 "GO:0000785" "chromatin" 0.0591574347419761
-1614 0.000170593656897011 2 83 "GO:0000786;GO:0044815" "DNA packaging complex" 0.00189074636394187
-1269 0.0974105339954967 3 26 "GO:0000792" "heterochromatin" 0.286311624782344
-1401 0.0216724726385278 2 41 "GO:0000794;GO:0000793" "condensed chromosome" 0.0945061921614491
-3138 0.010971344682067 3 10 "GO:0000795;GO:0099086" "synaptonemal complex" 0.057223091871173
451 0.701329490702567 2 11 "GO:0000812" "Swr1 complex" 0.840698155503086
-342 0.0980303376774564 2 366 "GO:0000922" "spindle pole" 0.286550217826411
-695 0.0155465029931702 2 187 "GO:0000932" "P-body" 0.0728146440052754
713 0.333636934000312 2 28 "GO:0000943" "retrotransposon nucleocapsid" 0.57628197690963
3711 0.00161017024525048 2 11 "GO:0000974" "Prp19 complex" 0.0123069287694341
-1172 0.0248861876725441 4 56 "GO:0001527" "microfibril" 0.104247652297586
663 0.178276114503585 2 63 "GO:0001650" "fibrillar center" 0.410575294008256
-1949 0.00474694681741549 3 32 "GO:0001669" "acrosomal vesicle" 0.0297103024337064
-1829 0.00306464523117118 3 40 "GO:0001725;GO:0097517;GO:0032432" "actin filament bundle" 0.0206378640883933
167 0.707414135714403 4 77 "GO:0001726" "ruffle" 0.841537666139992
-1338 0.0247007300994903 2 43 "GO:0001750" "photoreceptor outer segment" 0.104247652297586
-173 0.835715777289001 2 22 "GO:0001891" "phagocytic cup" 0.90334099585794
-1177 0.12416597298738 2 26 "GO:0001917" "photoreceptor inner segment" 0.337021926680031
-601 0.502001788118701 3 19 "GO:0002102" "podosome" 0.717916535696637
-120 0.911934838014521 3 13 "GO:0002116" "semaphorin receptor complex" 0.945779574189399
-1109 5.61742830452044e-08 2 375 "GO:0005581" "collagen trimer" 2.13462275571777e-06
-1621 0.0207738478860688 3 31 "GO:0005583" "fibrillar collagen trimer" 0.092097392294905
-4989 2.2276925074206e-05 4 11 "GO:0005584" "collagen type I trimer" 0.000343774987987714
-952 0.361457749019869 2 14 "GO:0005593;GO:0030934" "FACIT collagen trimer" 0.600923507745532
-543 0.0157285153198395 5 308 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 0.0728146440052754
-1951 0.0713861477062861 5 13 "GO:0005614" "interstitial matrix" 0.227409763950564
-530 7.4973822278098e-06 2 1190 "GO:0005615" "extracellular space" 0.000137538184317063
-1031 0.052448465071815 3 54 "GO:0005618" "cell wall" 0.18853096904193
494 0.00076688517040549 2 748 "GO:0005622" "intracellular anatomical structure" 0.00679971517759535
-185 0.75318625967586 -1 44 "GO:0005623" "obsolete cell" 0.852542744994803
-205 0.490158486154917 4 174 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 0.708704494179129
-755 0.399332416268918 5 19 "GO:0005637" "nuclear inner membrane" 0.634744511501593
243 0.73708227803248 4 29 "GO:0005639;GO:0031229" "intrinsic component of nuclear inner membrane" 0.850406609243504
1093 0.138348755194709 3 28 "GO:0005641" "nuclear envelope lumen" 0.36079185178228
-16 0.977257545281674 2 51 "GO:0005643" "nuclear pore" 0.985532289731316
447 3.83135564478084e-05 2 1445 "GO:0005654" "nucleoplasm" 0.000522636205903438
-152 0.762518727378569 2 60 "GO:0005657" "replication fork" 0.854020974663997
1622 0.107452590976326 6 15 "GO:0005665" "RNA polymerase II, core complex" 0.305694002135858
2974 0.00230111930424177 2 16 "GO:0005666" "RNA polymerase III complex" 0.0161966208133785
126 0.667163289505233 2 180 "GO:0005667" "transcription regulator complex" 0.819750681868584
856 0.326687721117455 2 20 "GO:0005669" "transcription factor TFIID complex" 0.573590322226027
-1733 0.109371123200192 -1 13 "GO:0005671" "obsolete Ada2/Gcn5/Ada3 transcription activator complex" 0.307859457896837
92 0.934874318350954 2 12 "GO:0005675;GO:0032806" "carboxy-terminal domain protein kinase complex" 0.960058782955814
-334 0.709045283032269 2 19 "GO:0005680" "anaphase-promoting complex" 0.841537666139992
2332 1.3413793172132e-15 2 181 "GO:0005681" "spliceosomal complex" 1.78403449189356e-13
1556 0.0290487026974992 3 30 "GO:0005682" "U5 snRNP" 0.11532768533634
3087 7.70246009592026e-05 3 25 "GO:0005684" "U2-type spliceosomal complex" 0.000952955528146414
3484 0.00054401377024101 3 15 "GO:0005685" "U1 snRNP" 0.0052620968321494
4959 8.59330298918922e-07 3 15 "GO:0005686" "U2 snRNP" 2.07801690465848e-05
3649 1.15870147599764e-05 4 22 "GO:0005689" "U12-type spliceosomal complex" 0.000205476395076915
-307 0.248160257949777 2 219 "GO:0005694" "chromosome" 0.500080519807884
1152 0.166203149106043 2 22 "GO:0005700;GO:0035059" "polytene chromosome" 0.396502579930112
653 8.10980762006485e-05 2 579 "GO:0005730" "nucleolus" 0.000980549466789659
3772 0.000110443894887673 3 16 "GO:0005732" "sno(s)RNA-containing ribonucleoprotein complex" 0.00130569226844982
1315 0.286567881816731 6 10 "GO:0005736" "RNA polymerase I complex" 0.536752518591671
244 0.0637752472027212 5 946 "GO:0005739" "mitochondrion" 0.213386361709734
-324 0.349922466308939 2 128 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 0.58893593853752
679 0.00356927855880711 2 286 "GO:0005743;GO:0019866" "organelle inner membrane" 0.0237357024160673
2378 0.00103963135449851 4 29 "GO:0005747;GO:0045271;GO:0030964" "mitochondrial respiratory chain complex I" 0.00850898277835704
776 0.17787797180332 3 46 "GO:0005758" "mitochondrial intermembrane space" 0.410575294008256
