"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
201 0.709352200800292 2 19 "GO:0000118" "histone deacetylase complex" 0.953632428890459
-124 0.761360539633906 4 33 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.962717568481267
-193 0.117967971514226 2 380 "GO:0000139" "Golgi membrane" 0.561177942815178
173 0.702155261009438 3 27 "GO:0000152" "nuclear ubiquitin ligase complex" 0.953428213945926
-1139 0.0929114917580747 3 12 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.509757643969977
-70 0.866607329236584 4 32 "GO:0000228" "nuclear chromosome" 0.968189671778271
-733 0.323388340607849 3 10 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.769813065470379
521 0.424075187409207 2 13 "GO:0000324;GO:0000322" "storage vacuole" 0.833442685638957
71 0.864915019660368 2 32 "GO:0000502;GO:1905369" "endopeptidase complex" 0.968189671778271
431 0.358971520000331 3 25 "GO:0000775" "chromosome, centromeric region" 0.77490556316695
62 0.894826745374211 3 25 "GO:0000776" "kinetochore" 0.968799089658479
-278 0.530845945716242 3 28 "GO:0000781" "chromosome, telomeric region" 0.901771773894537
-129 0.676315194955921 2 58 "GO:0000785" "chromatin" 0.952214451180881
-710 0.0664410772064383 2 37 "GO:0000786;GO:0044815" "DNA packaging complex" 0.458509609954388
550 0.348880798144211 3 16 "GO:0000792" "heterochromatin" 0.769813065470379
447 0.361237759950411 6 23 "GO:0000793" "condensed chromosome" 0.77490556316695
871 0.126227491700672 2 17 "GO:0000794" "condensed nuclear chromosome" 0.561177942815178
381 0.0151865715330977 2 230 "GO:0000922" "spindle pole" 0.256906168434903
406 0.0917715690525293 2 96 "GO:0000932" "P-body" 0.509757643969977
-1 0.998008272804354 2 19 "GO:0000943" "retrotransposon nucleocapsid" 0.998008272804354
40 0.928706801323355 2 27 "GO:0001527" "microfibril" 0.976787030108118
-731 0.043933641827025 2 42 "GO:0001650" "fibrillar center" 0.405387695040276
-614 0.345594906045182 2 13 "GO:0001669" "acrosomal vesicle" 0.769813065470379
559 0.4097888061034 3 12 "GO:0001725;GO:0097517" "contractile actin filament bundle" 0.816039648363471
103 0.751861994053941 2 52 "GO:0001726" "ruffle" 0.962717568481267
-1070 0.025728245265572 2 24 "GO:0001750" "photoreceptor outer segment" 0.330713368239431
142 0.786947411782902 2 20 "GO:0001891" "phagocytic cup" 0.962717568481267
902 0.150655222801434 2 14 "GO:0001917" "photoreceptor inner segment" 0.582533528165545
-160 0.779309520419079 3 17 "GO:0002102" "podosome" 0.962717568481267
36 0.800833639921782 2 275 "GO:0005581" "collagen trimer" 0.962717568481267
38 0.944082165966395 3 19 "GO:0005583" "fibrillar collagen trimer" 0.979232654323747
342 0.628825889112718 2 11 "GO:0005593" "FACIT collagen trimer" 0.923395237445076
-21 0.916498722214066 5 140 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 0.976575035387941
-126 0.166069395618714 2 729 "GO:0005615" "extracellular space" 0.601407894498907
-319 0.410029774054552 3 37 "GO:0005618" "cell wall" 0.816039648363471
-77 0.490937303482814 2 466 "GO:0005622" "intracellular anatomical structure" 0.876543469789545
197 0.646697882336531 -1 30 "GO:0005623" "obsolete cell" 0.931061490172452
159 0.544569705728654 4 81 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 0.909291652124454
79 0.906933036991211 2 12 "GO:0005637" "nuclear inner membrane" 0.975457337271161
-225 0.701678136733212 3 16 "GO:0005639;GO:0031229" "integral component of nuclear inner membrane" 0.953428213945926
-107 0.842863077841264 3 19 "GO:0005641" "nuclear envelope lumen" 0.968189671778271
68 0.87588076908628 2 29 "GO:0005643" "nuclear pore" 0.968189671778271
42 0.620976967263755 2 842 "GO:0005654" "nucleoplasm" 0.918578349238402
335 0.392601372120406 2 36 "GO:0005657" "replication fork" 0.805031096368105
