"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
11544 4.84828956967533e-19 4 70 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 1.05681817586181e-18
4713 7.51843186808868e-30 2 692 "GO:0000139" "Golgi membrane" 2.75202977813057e-29
7539 2.75288247373002e-09 4 73 "GO:0000228" "nuclear chromosome" 3.81470857074017e-09
8268 1.50163591937425e-08 4 55 "GO:0000428;GO:0030880" "RNA polymerase complex" 2.03718439411612e-08
12659 1.75834914885692e-17 2 53 "GO:0000776" "kinetochore" 3.48081362120656e-17
11568 4.16562079153463e-24 2 90 "GO:0000785" "chromatin" 1.17120352689524e-23
7731 8.3051812893512e-33 3 281 "GO:0000932;GO:0036464;GO:0035770" "ribonucleoprotein granule" 3.42809610666837e-32
-8937 1.02525610974003e-11 2 68 "GO:0000943" "retrotransposon nucleocapsid" 1.57856893086957e-11
4210 0.00333692597968022 5 57 "GO:0001527" "microfibril" 0.00380802141210566
9402 8.26869101220088e-13 2 68 "GO:0001650" "fibrillar center" 1.38286728997153e-12
8337 4.34194854832968e-12 3 81 "GO:0001726" "ruffle" 6.73870414700766e-12
4488 2.57116253531628e-78 2 2165 "GO:0005576" "extracellular region" 1.99522212740543e-77
2899 5.95694135862646e-08 2 414 "GO:0005581" "collagen trimer" 7.86154165696281e-08
6131 2.3362585410386e-24 2 326 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 6.76468890987296e-24
5365 1.20210638595074e-67 2 1272 "GO:0005615" "extracellular space" 7.77362129581478e-67
-984 0.434770822018914 2 74 "GO:0005618" "cell wall" 0.446272695617298
-18 0.959904687195627 2 942 "GO:0005622" "intracellular anatomical structure" 0.964878286611148
3988 0.00855447800585629 -1 51 "GO:0005623" "obsolete cell" 0.00948324990363497
9333 2.47572879657838e-30 2 177 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 9.41747816737658e-30
11723 1.07578893157695e-14 3 51 "GO:0005643" "nuclear pore" 1.96889672382951e-14
9338 2.08359464654681e-244 2 1562 "GO:0005654" "nucleoplasm" 8.08434722860162e-243
1062 0.40207813275051 2 73 "GO:0005657" "replication fork" 0.414910413582973
9213 5.89897890814974e-32 2 192 "GO:0005667" "transcription regulator complex" 2.33551409832867e-31
13187 1.97999515573942e-60 2 182 "GO:0005681" "spliceosomal complex" 1.23909374262402e-59
5951 2.88144183466321e-18 2 253 "GO:0005694" "chromosome" 5.94680548856024e-18
10660 1.23114303287545e-128 3 610 "GO:0005730" "nucleolus" 1.99034790314864e-127
9091 1.70082837249297e-148 3 980 "GO:0005739" "mitochondrion" 3.29960704263636e-147
7055 2.62789612193632e-14 2 137 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 4.67717291427198e-14
9900 3.19343057316056e-80 2 435 "GO:0005743;GO:0019866;GO:0031966" "mitochondrial membrane" 2.58135637997145e-79
10616 2.28267034521573e-39 4 180 "GO:0005759" "mitochondrial matrix" 1.08009279749232e-38
8131 3.10152122382892e-54 5 431 "GO:0005764;GO:0000323;GO:0005773" "vacuole" 1.7696915218318e-53
7729 3.97400307334203e-40 7 348 "GO:0005765;GO:0098852;GO:0005774" "vacuolar membrane" 1.92739149057088e-39
4140 3.75552799392681e-28 2 846 "GO:0005768;GO:0005769" "endosome" 1.27819724705579e-27
8809 2.73742272416164e-20 2 129 "GO:0005770" "late endosome" 6.24776480573363e-20
8219 7.13385071308684e-19 2 137 "GO:0005777;GO:0042579" "microbody" 1.52084289927346e-18
8529 3.70220618603342e-98 3 726 "GO:0005783" "endoplasmic reticulum" 4.22487058876755e-97
6747 4.52226054685666e-19 4 206 "GO:0005788" "endoplasmic reticulum lumen" 9.96952893284309e-19
7964 4.84760530334752e-85 2 719 "GO:0005789" "endoplasmic reticulum membrane" 4.47826394690199e-84
8223 3.69489604403225e-94 3 749 "GO:0005794" "Golgi apparatus" 3.98227684745698e-93
