"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
84 0.925135863255902 5 10 "GO:0000030" "mannosyltransferase activity" 0.986164897744808
940 0.0960923953001616 2 25 "GO:0000049" "tRNA binding" 0.677757715957974
-86 0.919641994306997 5 11 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 0.986164897744808
586 0.0977450553820478 2 64 "GO:0000149;GO:0019905" "SNARE binding" 0.677757715957974
1483 0.0356065674480596 3 16 "GO:0000175" "3'-5'-exoribonuclease activity" 0.474249174946496
18 0.975514658130149 2 22 "GO:0000217" "DNA secondary structure binding" 0.986164897744808
603 0.0342204287213008 2 99 "GO:0000287" "magnesium ion binding" 0.474249174946496
-74 0.930307179879299 3 11 "GO:0000403" "Y-form DNA binding" 0.986164897744808
2 0.990928457464243 3 231 "GO:0000976;GO:0001067;GO:1990837;GO:0003690" "double-stranded DNA binding" 0.994104510212526
-299 0.236497223931835 2 126 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 0.771079490527754
-239 0.459661998480582 5 77 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 0.838015020029836
-178 0.4732827618639 2 131 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.838738597833541
116 0.865167946129842 2 17 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.980530673717572
31 0.957719054941929 2 24 "GO:0001046" "core promoter sequence-specific DNA binding" 0.986164897744808
1050 0.21728561243944 4 11 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 0.750661963861073
-538 0.296742952683876 4 30 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.781187372936442
639 0.380225744910892 2 15 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 0.826917555605528
-277 0.539934865806932 2 39 "GO:0001530" "lipopolysaccharide binding" 0.871132025760669
-198 0.573556817683666 2 65 "GO:0001540" "amyloid-beta binding" 0.889051537149157
-180 0.582501626801428 2 75 "GO:0001594" "trace-amine receptor activity" 0.892692319275873
665 0.434283268092333 7 11 "GO:0001601" "peptide YY receptor activity" 0.831380201302142
-361 0.217331758946053 2 94 "GO:0001609" "G protein-coupled adenosine receptor activity" 0.750661963861073
-111 0.557243900797592 4 227 "GO:0001664" "G protein-coupled receptor binding" 0.889051537149157
-234 0.773784550940202 2 12 "GO:0001733;GO:0050694" "galactosylceramide sulfotransferase activity" 0.955319106178488
-377 0.429818214311246 3 35 "GO:0001786" "phosphatidylserine binding" 0.831380201302142
405 0.301412675250788 2 52 "GO:0001965" "G-protein alpha-subunit binding" 0.781187372936442
-361 0.289661772925968 2 69 "GO:0002020" "protease binding" 0.781187372936442
721 0.184739421145456 2 27 "GO:0002039" "p53 binding" 0.738823971999461
-149 0.428472431588134 2 231 "GO:0003682" "chromatin binding" 0.831380201302142
-477 0.339514299677727 2 32 "GO:0003684" "damaged DNA binding" 0.814472769199287
26 0.950716653793985 2 44 "GO:0003697" "single-stranded DNA binding" 0.986164897744808
-41 0.768413939391609 2 423 "GO:0003700;GO:0140110" "transcription regulator activity" 0.955319106178488
689 0.314471594217226 2 17 "GO:0003707" "steroid hormone receptor activity" 0.781187372936442
53 0.845765601740069 2 108 "GO:0003712" "transcription coregulator activity" 0.97544804966372
27 0.939457349465111 2 65 "GO:0003713" "transcription coactivator activity" 0.986164897744808
118 0.786681737312911 2 42 "GO:0003714" "transcription corepressor activity" 0.955319106178488
273 0.0125218108195125 4 716 "GO:0003723" "RNA binding" 0.370103978011753
378 0.616059062268796 2 14 "GO:0003725" "double-stranded RNA binding" 0.898584272758566
2 0.995791970690902 2 38 "GO:0003727" "single-stranded RNA binding" 0.995791970690902
649 0.0622170492545079 2 66 "GO:0003729" "mRNA binding" 0.636748187150798
1036 0.119441643509401 2 18 "GO:0003730" "mRNA 3'-UTR binding" 0.677757715957974
-258 0.421602695578393 2 78 "GO:0003735" "structural constituent of ribosome" 0.831380201302142
1214 0.0391882011394695 2 23 "GO:0003743" "translation initiation factor activity" 0.490636278266158
