"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1029 0.379254732643888 2 17 "GO:0000030" "mannosyltransferase activity" 0.710489803103786
1634 0.0247916642814744 2 44 "GO:0000049" "tRNA binding" 0.209209197734932
1504 0.212388767243342 2 16 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 0.549345726418263
1425 0.21000937659845 2 18 "GO:0000099" "sulfur amino acid transmembrane transporter activity" 0.549345726418263
-477 0.683804938708313 2 17 "GO:0000146" "microfilament motor activity" 0.905579513424523
-421 0.401587667346557 2 93 "GO:0000149" "SNARE binding" 0.721385585742695
-260 0.79577672732183 5 23 "GO:0000175" "3'-5'-exoribonuclease activity" 0.942114192614569
713 0.32765476883044 4 44 "GO:0000217" "DNA secondary structure binding" 0.669927635529139
396 0.248660612623528 2 200 "GO:0000287" "magnesium ion binding" 0.580305982891
2511 0.0373752789667977 2 16 "GO:0000339" "RNA cap binding" 0.25753903163059
2074 0.0682291389598885 2 18 "GO:0000400" "four-way junction DNA binding" 0.358202979539415
1009 0.41781769308866 6 15 "GO:0000403" "Y-form DNA binding" 0.735559292024348
858 0.000405426467378208 3 405 "GO:0000976;GO:0001067;GO:1990837;GO:0003690" "double-stranded DNA binding" 0.0275066264790446
307 0.34543234244184 6 223 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 0.682566682844739
350 0.396296439257855 2 138 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 0.719204649023515
-1741 0.162242402746889 2 15 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.505645933649315
-36 0.91355264502498 3 211 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.982626137697601
750 0.357958419317484 3 35 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "basal transcription machinery binding" 0.691938452872428
108 0.879467160236511 6 46 "GO:0001046" "core promoter sequence-specific DNA binding" 0.971032883473498
-882 0.563099597866311 -1 10 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.839078042868147
3718 0.0105817801016879 4 11 "GO:0001221" "transcription coregulator binding" 0.136019593178695
1424 0.186976067457439 3 20 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity" 0.521876238916017
568 0.387797834627414 4 54 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.716244284475954
-250 0.759057244719106 2 35 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 0.928175630293132
-585 0.343984407913886 2 61 "GO:0001530" "lipopolysaccharide binding" 0.682566682844739
-170 0.710382713114889 2 112 "GO:0001540" "amyloid-beta binding" 0.920199747587457
-65 0.893359068393317 3 99 "GO:0001594" "trace-amine receptor activity" 0.972195275021435
-209 0.866688830952828 3 15 "GO:0001601" "peptide YY receptor activity" 0.963959078058505
-134 0.891815476499228 3 24 "GO:0001602" "pancreatic polypeptide receptor activity" 0.972195275021435
124 0.749506906624592 2 155 "GO:0001609" "G protein-coupled adenosine receptor activity" 0.928175630293132
-887 0.399323870569026 3 21 "GO:0001618;GO:0140272" "virus receptor activity" 0.720252870842292
1002 0.392028267546124 2 17 "GO:0001640;GO:0098988" "G protein-coupled glutamate receptor activity" 0.716244284475954
-173 0.514583237734564 4 335 "GO:0001664" "G protein-coupled receptor binding" 0.805924760975624
-2257 0.0916256223334252 2 13 "GO:0001671;GO:0140677" "molecular function activator activity" 0.410335285904203
1058 0.303723000132154 6 22 "GO:0001733;GO:0050694" "galactosylceramide sulfotransferase activity" 0.643951168549423
-3198 0.0102509760901567 5 15 "GO:0001784" "phosphotyrosine residue binding" 0.136019593178695
-1050 0.11347485591182 2 53 "GO:0001786" "phosphatidylserine binding" 0.46121303575253
-392 0.499942812479949 3 69 "GO:0001965" "G-protein alpha-subunit binding" 0.799588283399096
-860 0.520581092673793 3 13 "GO:0001968" "fibronectin binding" 0.808367119257545
-1215 0.00330060908670232 2 137 "GO:0002020" "protease binding" 0.0831753489848985
822 0.238359314704876 2 48 "GO:0002039" "p53 binding" 0.57404273276217
-443 0.713624294047416 3 16 "GO:0002162" "dystroglycan binding" 0.920199747587457
1035 0.049642660017866 2 84 "GO:0003678" "DNA helicase activity" 0.295843419836201
-726 0.511610869008917 2 19 "GO:0003680" "minor groove of adenine-thymine-rich DNA binding" 0.805924760975624
530 0.0260448723259615 2 420 "GO:0003682" "chromatin binding" 0.21114425083478
1990 0.0014204097044464 4 60 "GO:0003684" "damaged DNA binding" 0.049584789588478
2189 1.26659166512098e-05 3 93 "GO:0003697" "single-stranded DNA binding" 0.00223426769727341
477 0.0101667235926113 2 704 "GO:0003700;GO:0140110" "transcription regulator activity" 0.136019593178695
-1662 0.0986193517441139 2 23 "GO:0003707" "steroid hormone receptor activity" 0.428484079991667
1830 3.30774353553183e-07 2 183 "GO:0003712" "transcription coregulator activity" 0.000291742979833907
1047 0.0245561967899541 3 108 "GO:0003713" "transcription coactivator activity" 0.209209197734932
2738 1.13198230007887e-05 3 60 "GO:0003714" "transcription corepressor activity" 0.00223426769727341
542 9.77322797333726e-05 4 1304 "GO:0003723" "RNA binding" 0.00797481546860083
548 0.548158017498915 2 28 "GO:0003725" "double-stranded RNA binding" 0.827868786702128
1329 0.0331083269399293 2 60 "GO:0003727" "single-stranded RNA binding" 0.241335077363782
1133 0.00759445323311954 5 130 "GO:0003729" "mRNA binding" 0.117514171080902
749 0.3583347270669 2 35 "GO:0003730" "mRNA 3'-UTR binding" 0.691938452872428
246 0.551161582209898 2 138 "GO:0003735" "structural constituent of ribosome" 0.828150793030886
334 0.621367491617796 2 51 "GO:0003743" "translation initiation factor activity" 0.873301227330444
-942 0.481277467201174 2 13 "GO:0003746" "translation elongation factor activity" 0.784633504753115
603 0.407218502529377 3 44 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.726025190499416
