"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
810 0.176492683273239 3 23 "GO:0000002" "mitochondrial genome maintenance" 0.448970173842299
-967 0.0407677471596273 4 37 "GO:0000018" "regulation of DNA recombination" 0.209369706978826
3908 1.67136338682907e-05 3 10 "GO:0000027" "ribosomal large subunit assembly" 0.000770879709469057
-1073 0.215319152620411 6 11 "GO:0000038" "very long-chain fatty acid metabolic process" 0.500507561661415
-286 0.389591588855294 2 75 "GO:0000041" "transition metal ion transport" 0.676713461319371
2060 0.0072848535184251 2 14 "GO:0000045;GO:1905037" "autophagosome organization" 0.0691356057255331
223 0.787763882665411 -1 12 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.915182150345336
1894 0.0174020697854023 2 13 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.120705033602562
-633 0.0622771332480308 2 72 "GO:0000075;GO:0007093" "cell cycle checkpoint signaling" 0.264075134369473
314 0.592077816787279 2 24 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.819680137089919
-502 0.147440024901035 2 69 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.405249472693146
-1181 0.0136930248105231 5 36 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.103743406993848
490 0.27524322826117 2 41 "GO:0000096" "sulfur amino acid metabolic process" 0.561812458927497
466 0.399118896560661 2 27 "GO:0000097" "sulfur amino acid biosynthetic process" 0.681260624748365
298 0.112219905486626 5 239 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.357006206138433
741 0.301887464677216 3 16 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.585175203849674
73 0.812717373879701 2 87 "GO:0000165" "MAPK cascade" 0.927015600098173
1777 0.00198414503083231 3 25 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.0291414373522801
-253 0.724614503121155 -1 16 "GO:0000186" "obsolete activation of MAPKK activity" 0.888067296171724
-294 0.424526586514653 -1 61 "GO:0000187" "obsolete activation of MAPK activity" 0.70325961221648
357 0.0847114605815555 8 196 "GO:0000209" "protein polyubiquitination" 0.311301533996772
-268 0.263679885205112 2 145 "GO:0000226" "microtubule cytoskeleton organization" 0.550115623262985
-1910 0.000135355424730221 4 33 "GO:0000272" "polysaccharide catabolic process" 0.0041377838559971
-317 0.431663866211352 3 51 "GO:0000278" "mitotic cell cycle" 0.710165396914671
-827 0.0214842112807544 2 64 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 0.137425769968621
-402 0.658037144803015 2 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.855173223940195
2318 0.00515968635866812 2 12 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.0558222857487181
2599 0.00171201456752041 2 12 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.0263209725029892
3234 9.5666231296636e-09 3 26 "GO:0000387" "spliceosomal snRNP assembly" 1.25753261039428e-06
2913 2.56040996183608e-19 2 79 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 8.41414723708382e-17
1655 0.0377146338504084 3 13 "GO:0000422;GO:0061726" "mitochondrion disassembly" 0.198700946678805
3536 1.85588482443015e-06 2 15 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.000147852157679602
3211 1.49117629855631e-05 7 15 "GO:0000469" "cleavage involved in rRNA processing" 0.000700054015875811
871 0.293493392534376 2 12 "GO:0000578" "embryonic axis specification" 0.581491800302997
-2212 0.00548866912717067 2 13 "GO:0000722;GO:0006312" "mitotic recombination" 0.0578085132543701
-655 0.0686324715854922 2 64 "GO:0000723;GO:0032200" "telomere organization" 0.277234553914677
-43 0.904150411913668 2 64 "GO:0000724;GO:0000725" "recombinational repair" 0.963853361594495
24 0.96790212048067 4 24 "GO:0000731" "DNA synthesis involved in DNA repair" 0.989378052867286
-166 0.507341811373385 2 133 "GO:0000902" "cell morphogenesis" 0.763481180366702
-11 0.971857491154432 3 92 "GO:0000904" "cell morphogenesis involved in differentiation" 0.990699241661497
-474 0.131518371832534 2 84 "GO:0000910" "cytokinesis" 0.384653623996963
-418 0.244886854392784 2 64 "GO:0001101;GO:0043200" "response to acid chemical" 0.530939846214989
-415 0.136356240700013 3 107 "GO:0001501" "skeletal system development" 0.39109320888141
-548 0.0104684560272275 2 183 "GO:0001503" "ossification" 0.0873472555529409
62 0.823813932780643 3 107 "GO:0001505" "regulation of neurotransmitter levels" 0.930718708309287
-1396 0.000599767644077815 2 50 "GO:0001508" "action potential" 0.0119657669109287
2995 1.9856300874319e-08 2 29 "GO:0001510" "RNA methylation" 2.26966152167759e-06
-464 0.0338259138766936 3 175 "GO:0001525" "angiogenesis" 0.185654128563314
-620 0.245372191195676 2 29 "GO:0001539;GO:0060285;GO:0060294;GO:0030317;GO:0097722" "cilium movement involved in cell motility" 0.530939846214989
-13 0.98335283035804 3 20 "GO:0001541" "ovarian follicle development" 0.994320996542803
132 0.578647399511722 2 149 "GO:0001558" "regulation of cell growth" 0.814849871679534
-82 0.829010417517323 2 57 "GO:0001568" "blood vessel development" 0.931794949830287
-845 0.308235272341832 2 12 "GO:0001569" "branching involved in blood vessel morphogenesis" 0.591928802766016
861 0.119451485796952 2 27 "GO:0001570" "vasculogenesis" 0.366473960389759
395 0.385373130709709 4 40 "GO:0001649" "osteoblast differentiation" 0.672293271822047
-196 0.549942098735928 2 77 "GO:0001654" "eye development" 0.797021928101849
-725 0.181647672958085 4 28 "GO:0001656" "metanephros development" 0.454299493261724
-812 0.0948062595672641 5 35 "GO:0001657;GO:0072164;GO:0072163" "mesonephric epithelium development" 0.331777439007644
-491 0.412493596356904 5 23 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.692216170240418
421 0.281952930637141 3 54 "GO:0001659" "temperature homeostasis" 0.570634530134753
259 0.658570545529341 4 24 "GO:0001662;GO:0002209;GO:0042596" "fear response" 0.855173223940195
-323 0.205419460961981 3 128 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.488289116518127
-1210 5.2741479496591e-06 2 118 "GO:0001667" "ameboidal-type cell migration" 0.000310702836631422
-151 0.765681280909599 2 32 "GO:0001676" "long-chain fatty acid metabolic process" 0.908934375427471
17 0.958685108438159 2 79 "GO:0001701;GO:0043009" "chordate embryonic development" 0.986065395181502
-2174 0.00180363958356631 2 17 "GO:0001702" "gastrulation with mouth forming second" 0.0272515429034243
35 0.956051858016019 3 20 "GO:0001704" "formation of primary germ layer" 0.985284333486521
-669 0.419700035486139 2 12 "GO:0001707" "mesoderm formation" 0.699234089539328
-37 0.948082972267075 3 26 "GO:0001708" "cell fate specification" 0.981893274428624
671 0.233567525532244 2 26 "GO:0001709" "cell fate determination" 0.520809861466508
-851 0.00187963409801973 3 111 "GO:0001736;GO:0007164" "establishment of tissue polarity" 0.027918407026519
595 0.438544780265668 2 14 "GO:0001745" "compound eye morphogenesis" 0.713673139631104
418 0.504467940624247 3 21 "GO:0001754;GO:0046530" "photoreceptor cell differentiation" 0.760026484757103
-1261 0.0495772066301837 3 20 "GO:0001755" "neural crest cell migration" 0.233163642631043
-326 0.473880901023222 2 40 "GO:0001756;GO:0035282" "segmentation" 0.734571151438994
-615 0.0979222936214673 2 60 "GO:0001764" "neuron migration" 0.338000044843634
564 0.290319223836211 3 29 "GO:0001776;GO:0002260" "leukocyte homeostasis" 0.579096539806828
-1098 0.12619004169 4 16 "GO:0001778" "plasma membrane repair" 0.375711913480193
1160 0.0957701752964055 4 17 "GO:0001816" "cytokine production" 0.333483166694371
191 0.333021538119287 2 216 "GO:0001817" "regulation of cytokine production" 0.617634016019674
337 0.254441484135903 3 95 "GO:0001818" "negative regulation of cytokine production" 0.540267149899495
175 0.501022091188179 3 123 "GO:0001819" "positive regulation of cytokine production" 0.755701134672245
-538 0.050511980825389 3 110 "GO:0001822" "kidney development" 0.235453896436077
312 0.65402893360017 2 17 "GO:0001824" "blastocyst development" 0.852474995753519
127 0.883734386290264 3 11 "GO:0001833" "inner cell mass cell proliferation" 0.954245967279304
-268 0.420621313565454 5 75 "GO:0001837;GO:0048762" "mesenchymal cell differentiation" 0.700325163624812
-846 0.101101439931685 2 31 "GO:0001838;GO:0072175" "epithelial tube formation" 0.34163969868946
-97 0.776835003063693 5 71 "GO:0001843;GO:0060606" "tube closure" 0.911384220155366
-561 0.338680222665002 2 24 "GO:0001867" "complement activation, lectin pathway" 0.622342966006726
-109 0.840865262541623 4 28 "GO:0001885" "endothelial cell development" 0.934729291848595
-346 0.359839101645611 2 58 "GO:0001889" "liver development" 0.644788722912157
399 0.630084234728332 3 12 "GO:0001890" "placenta development" 0.840858605634916
48 0.851019016285208 2 129 "GO:0001894;GO:0060249" "anatomical structure homeostasis" 0.939937022353221
461 0.562889499091602 2 13 "GO:0001895" "retina homeostasis" 0.803385718301749
-2191 2.96087800631614e-05 2 30 "GO:0001906" "cell killing" 0.00121627316853205
-1504 0.0695931759448755 2 12 "GO:0001919" "regulation of receptor recycling" 0.278926393303567
45 0.675733068862164 3 787 "GO:0001932;GO:0031399;GO:0042325;GO:0019220;GO:0051174" "regulation of phosphate metabolic process" 0.861961299387981
206 0.379621855053643 4 152 "GO:0001933;GO:0042326" "negative regulation of phosphorylation" 0.666238889810432
-38 0.77737010032482 4 480 "GO:0001934;GO:0031401;GO:0042327;GO:0045937;GO:0010562" "positive regulation of protein modification process" 0.911384220155366
-1897 0.0134583241697554 2 14 "GO:0001935" "endothelial cell proliferation" 0.102259925555743
843 0.0706437762080635 2 38 "GO:0001936" "regulation of endothelial cell proliferation" 0.28182471570713
