"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-52 0.931186471758095 2 23 "GO:0000002" "mitochondrial genome maintenance" 0.987608739000449
-232 0.624234216174711 2 37 "GO:0000018" "regulation of DNA recombination" 0.935006270385279
-107 0.905869980738469 2 10 "GO:0000027" "ribosomal large subunit assembly" 0.984511029086993
-1106 0.201447991057039 6 11 "GO:0000038" "very long-chain fatty acid metabolic process" 0.721531506797846
-211 0.526808716995581 7 75 "GO:0000041" "transition metal ion transport" 0.894112406056412
-502 0.512722394602017 2 14 "GO:0000045;GO:1905037" "autophagosome organization" 0.889734109180662
186 0.822665069381831 -1 12 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.979407151371921
-237 0.766161115330074 3 13 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.971351100722408
-217 0.711364505918302 2 24 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.95469646335647
-197 0.569306723694577 2 69 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.915549333899589
439 0.359180746199818 2 36 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.817475071604389
16 0.972243665524636 3 41 "GO:0000096" "sulfur amino acid metabolic process" 0.991715364554535
157 0.777099494777224 2 27 "GO:0000097" "sulfur amino acid biosynthetic process" 0.972756955754826
297 0.113918277417888 3 239 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.617134166694407
-44 0.951019723611512 7 16 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.990340339916617
-218 0.479560682911706 2 87 "GO:0000165" "MAPK cascade" 0.87668769680222
269 0.640300738524409 2 25 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.938979167415554
-1304 0.0693738902914387 -1 16 "GO:0000186" "obsolete activation of MAPKK activity" 0.524812374916672
461 0.211290796355843 -1 61 "GO:0000187" "obsolete activation of MAPK activity" 0.725147555744318
380 0.066235287639561 9 196 "GO:0000209" "protein polyubiquitination" 0.522920634247465
-453 0.0592345236218013 4 145 "GO:0000226" "microtubule cytoskeleton organization" 0.503393406637859
802 0.109036909754392 3 33 "GO:0000272" "polysaccharide catabolic process" 0.617134166694407
278 0.490678062189682 3 51 "GO:0000278" "mitotic cell cycle" 0.880104064130815
-195 0.586985712914777 2 64 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 0.923870709158806
-279 0.758501892187513 2 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.970041100540913
-4 0.996265379242787 2 12 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.998544293568161
-1182 0.154044536112235 3 12 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.677206671639981
671 0.233852152683154 7 26 "GO:0000387" "spliceosomal snRNP assembly" 0.737213950333484
5 0.98655793951303 9 79 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 0.996738726551992
-60 0.940250928935135 6 13 "GO:0000422;GO:0061726" "mitochondrion disassembly" 0.988947204751264
-2095 0.00471447573581786 5 15 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.195350434787494
-2296 0.00195753184004119 2 15 "GO:0000469" "cleavage involved in rRNA processing" 0.141774347911434
237 0.774898155426522 2 12 "GO:0000578" "embryonic axis specification" 0.972756955754826
-529 0.506783176201258 3 13 "GO:0000722;GO:0006312" "mitotic recombination" 0.88720778311019
-718 0.0460530666076513 2 64 "GO:0000723;GO:0032200" "telomere organization" 0.481873080759742
-522 0.147097045026221 2 64 "GO:0000724;GO:0000725" "recombinational repair" 0.673822386275662
-446 0.446856289238416 6 24 "GO:0000731" "DNA synthesis involved in DNA repair" 0.867589098260107
18 0.944157178229737 3 133 "GO:0000902" "cell morphogenesis" 0.98931415765882
-137 0.648211411382688 2 92 "GO:0000904" "cell morphogenesis involved in differentiation" 0.94308123991427
-527 0.0936276030591274 2 84 "GO:0000910" "cytokinesis" 0.596612583864348
435 0.227216917618764 2 64 "GO:0001101;GO:0043200" "response to acid chemical" 0.734751877515044
-148 0.59551583826798 2 107 "GO:0001501" "skeletal system development" 0.925355684560348
569 0.00784281993849939 2 183 "GO:0001503" "ossification" 0.236997397911665
441 0.113948768542744 3 107 "GO:0001505" "regulation of neurotransmitter levels" 0.617134166694407
-371 0.361657209821101 4 50 "GO:0001508" "action potential" 0.819652417775582
-136 0.79836212839736 6 29 "GO:0001510" "RNA methylation" 0.976175857295322
172 0.431920271851665 3 175 "GO:0001525" "angiogenesis" 0.860569179025517
-63 0.906288660740708 2 29 "GO:0001539;GO:0060285;GO:0060294;GO:0030317;GO:0097722" "cilium movement involved in cell motility" 0.984559045077406
1228 0.0559231457874362 3 20 "GO:0001541" "ovarian follicle development" 0.499873481171018
463 0.0504818828694659 4 149 "GO:0001558" "regulation of cell growth" 0.491400358883622
71 0.852483834278233 2 57 "GO:0001568" "blood vessel development" 0.980176937115727
-1622 0.0503151402183801 3 12 "GO:0001569" "branching involved in blood vessel morphogenesis" 0.491400358883622
-136 0.80607480400718 4 27 "GO:0001570" "vasculogenesis" 0.976894170921563
430 0.344377675706428 2 40 "GO:0001649" "osteoblast differentiation" 0.814745510797018
-107 0.744799672882566 3 77 "GO:0001654" "eye development" 0.966474995068246
882 0.104468672385021 2 28 "GO:0001656" "metanephros development" 0.610329199333823
470 0.333306368800304 3 35 "GO:0001657;GO:0072164;GO:0072163" "mesonephric epithelium development" 0.80670654033058
-500 0.403817674408777 2 23 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.848380062597289
-61 0.875981088729298 4 54 "GO:0001659" "temperature homeostasis" 0.980176937115727
96 0.869575284696642 3 24 "GO:0001662;GO:0002209;GO:0042596" "fear response" 0.980176937115727
135 0.596231200360569 2 128 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.925355684560348
-78 0.769383380819397 2 118 "GO:0001667" "ameboidal-type cell migration" 0.971351100722408
-268 0.597331241960851 2 32 "GO:0001676" "long-chain fatty acid metabolic process" 0.925355684560348
-411 0.205317516755981 6 79 "GO:0001701;GO:0043009" "chordate embryonic development" 0.723849592483644
-1979 0.00448964147341281 2 17 "GO:0001702" "gastrulation with mouth forming second" 0.193496187436103
-860 0.180703413785092 3 20 "GO:0001704" "formation of primary germ layer" 0.711185052835712
288 0.727855098995514 4 12 "GO:0001707" "mesoderm formation" 0.961234100355494
122 0.828074255660297 2 26 "GO:0001708" "cell fate specification" 0.980176937115727
610 0.279088049730253 3 26 "GO:0001709" "cell fate determination" 0.762705283514382
494 0.071461351216613 3 111 "GO:0001736;GO:0007164" "establishment of tissue polarity" 0.527727300132372
453 0.554930325122916 3 14 "GO:0001745" "compound eye morphogenesis" 0.908375824524882
1218 0.0520113321978464 2 21 "GO:0001754;GO:0046530" "photoreceptor cell differentiation" 0.491862562403375
350 0.585673055762928 2 20 "GO:0001755" "neural crest cell migration" 0.922549109407273
170 0.708505355813645 2 40 "GO:0001756;GO:0035282" "segmentation" 0.95469646335647
-346 0.352129738623939 2 60 "GO:0001764" "neuron migration" 0.815435711208434
151 0.776821316375905 2 29 "GO:0001776;GO:0002260" "leukocyte homeostasis" 0.972756955754826
-112 0.875941551018513 2 16 "GO:0001778" "plasma membrane repair" 0.980176937115727
1182 0.0897276425808978 2 17 "GO:0001816" "cytokine production" 0.59269842297784
697 0.000413038122182461 4 216 "GO:0001817" "regulation of cytokine production" 0.0868132354804189
653 0.0272103374595846 2 95 "GO:0001818" "negative regulation of cytokine production" 0.402297624461923
749 0.00403852242325646 5 123 "GO:0001819" "positive regulation of cytokine production" 0.186267990363881
-93 0.736473911106549 2 110 "GO:0001822" "kidney development" 0.962799558577383
-1112 0.110375035781104 2 17 "GO:0001824" "blastocyst development" 0.617134166694407
-2354 0.00653791146873531 3 11 "GO:0001833" "inner cell mass cell proliferation" 0.217571762674748
70 0.833116799158663 5 75 "GO:0001837;GO:0048762" "mesenchymal cell differentiation" 0.980176937115727
-190 0.7122371908974 2 31 "GO:0001838;GO:0072175" "epithelial tube formation" 0.954855469081726
187 0.584202488101968 2 71 "GO:0001843;GO:0060606" "tube closure" 0.92078437723026
-368 0.530411456768807 2 24 "GO:0001867" "complement activation, lectin pathway" 0.896120044554222
-231 0.670079367638569 3 28 "GO:0001885" "endothelial cell development" 0.95469646335647
69 0.854747387961397 2 58 "GO:0001889" "liver development" 0.980176937115727
180 0.828151948965935 3 12 "GO:0001890" "placenta development" 0.980176937115727
200 0.431624473373616 2 129 "GO:0001894;GO:0060249" "anatomical structure homeostasis" 0.860569179025517
-559 0.482763926904857 2 13 "GO:0001895" "retina homeostasis" 0.87668769680222
4 0.994254949070333 2 30 "GO:0001906" "cell killing" 0.99779861752903
-1883 0.0230781655901234 2 12 "GO:0001919" "regulation of receptor recycling" 0.383927618772625
21 0.841630294913315 5 787 "GO:0001932;GO:0031399;GO:0042325;GO:0019220;GO:0051174" "regulation of phosphorus metabolic process" 0.980176937115727
439 0.0614674384486741 4 152 "GO:0001933;GO:0042326" "negative regulation of phosphorylation" 0.506576475490797
141 0.294749815574008 4 480 "GO:0001934;GO:0031401;GO:0042327;GO:0045937;GO:0010562" "positive regulation of protein modification process" 0.772560310168203
785 0.306424825694677 4 14 "GO:0001935" "endothelial cell proliferation" 0.779101418521572
640 0.17005743058132 2 38 "GO:0001936" "regulation of endothelial cell proliferation" 0.698533348564941
1118 0.14504447404863 2 14 "GO:0001937" "negative regulation of endothelial cell proliferation" 0.67252543610908
541 0.346073345541238 4 25 "GO:0001938" "positive regulation of endothelial cell proliferation" 0.814745510797018
57 0.92697159524333 2 21 "GO:0001942" "hair follicle development" 0.987532158127572
-966 0.114728478036818 2 22 "GO:0001944" "vasculature development" 0.617134166694407
-409 0.393202322987979 5 36 "GO:0001947" "heart looping" 0.839747284431679
742 0.164626349388016 2 29 "GO:0001952" "regulation of cell-matrix adhesion" 0.693681648994711
634 0.185987298925657 2 36 "GO:0001956;GO:0051590;GO:0014057;GO:0014056;GO:0032224" "positive regulation of neurotransmitter transport" 0.716951039406968
749 0.268543419523372 3 18 "GO:0001958;GO:0036075" "replacement ossification" 0.758000738830615
620 0.0738803165592517 5 69 "GO:0001959;GO:0060759" "regulation of response to cytokine stimulus" 0.536266634642232
371 0.451427155578731 3 34 "GO:0001960;GO:0060761" "negative regulation of response to cytokine stimulus" 0.870089436962232
1124 0.0553289336452907 2 24 "GO:0001961;GO:0060760" "positive regulation of response to cytokine stimulus" 0.499861740733571
-395 0.633881491429408 3 12 "GO:0001973;GO:0035588" "G protein-coupled purinergic receptor signaling pathway" 0.938979167415554
-1601 0.0369362930044115 2 14 "GO:0001974" "blood vessel remodeling" 0.449562566243508
778 0.0665224772994196 2 46 "GO:0001975" "response to amphetamine" 0.523615547365791
-1262 0.164647146813503 2 10 "GO:0001976" "nervous system process involved in regulation of systemic arterial blood pressure" 0.693681648994711
415 0.508293734047237 7 21 "GO:0001994" "norepinephrine-epinephrine vasoconstriction involved in regulation of systemic arterial blood pressure" 0.888029664550163
620 0.43635326737601 6 13 "GO:0001996;GO:0001997" "positive regulation of heart rate by epinephrine-norepinephrine" 0.860569179025517
-576 0.358577234621036 2 21 "GO:0002011" "morphogenesis of an epithelial sheet" 0.817475071604389
6 0.988720488558808 3 44 "GO:0002024;GO:1990845;GO:0040015" "adaptive thermogenesis" 0.997446724643556
692 0.0957696780259499 2 48 "GO:0002027" "regulation of heart rate" 0.596612583864348
-192 0.582642095744016 7 68 "GO:0002028" "regulation of sodium ion transport" 0.920239698420469
160 0.692152337970084 5 51 "GO:0002032;GO:0002029;GO:0022401;GO:0045744;GO:0023058;GO:0002025;GO:0003085" "negative regulation of systemic arterial blood pressure" 0.95469646335647
307 0.499438299039819 2 40 "GO:0002040" "sprouting angiogenesis" 0.881366036026966
