"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
257 0.668211303094367 2 23 "GO:0000002" "mitochondrial genome maintenance" 0.933242661350143
-40 0.931833775781582 6 37 "GO:0000018" "regulation of DNA recombination" 0.989040115464716
1050 0.247671277141744 3 10 "GO:0000027" "ribosomal large subunit assembly" 0.803578318208011
-1826 0.03498425352237 2 11 "GO:0000038" "very long-chain fatty acid metabolic process" 0.493519805159854
-416 0.210670018438276 7 75 "GO:0000041" "transition metal ion transport" 0.777151735812256
-430 0.575025696089997 2 14 "GO:0000045;GO:1905037" "autophagosome organization" 0.908467850875895
248 0.764583519337103 -1 12 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.95009661435105
-550 0.489884602311073 3 13 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.890610778749269
-263 0.438082549301563 2 72 "GO:0000075;GO:0007093" "cell cycle checkpoint signaling" 0.875780171671589
92 0.87593331697326 6 24 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.981926100109351
298 0.390152469062822 5 69 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.852543277320245
298 0.533557048407541 5 36 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.898064317374176
165 0.713412860172948 2 41 "GO:0000096" "sulfur amino acid metabolic process" 0.937372369671932
366 0.507690276012884 2 27 "GO:0000097" "sulfur amino acid biosynthetic process" 0.893394214839596
249 0.183591459971941 3 240 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.759401309565334
116 0.872182209216481 3 16 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.980808697006412
73 0.812397054552858 2 87 "GO:0000165" "MAPK cascade" 0.964546480626811
-312 0.586973802740066 2 25 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.910570798944053
-1393 0.052441030884135 -1 16 "GO:0000186" "obsolete activation of MAPKK activity" 0.573937522737975
588 0.107565968466663 -1 62 "GO:0000187" "obsolete activation of MAPK activity" 0.679183518407053
142 0.492934631465301 2 196 "GO:0000209" "protein polyubiquitination" 0.890610778749269
-435 0.0702245221947758 2 145 "GO:0000226" "microtubule cytoskeleton organization" 0.632780131901291
273 0.585792786735961 3 33 "GO:0000272" "polysaccharide catabolic process" 0.910251520501775
538 0.182169159803275 2 51 "GO:0000278" "mitotic cell cycle" 0.759401309565334
-445 0.215884109457739 4 64 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 0.779869860328848
29 0.974276679691896 2 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.995136479240269
765 0.355871178191123 7 12 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.844271478648192
-522 0.529166500001613 3 12 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.898064317374176
609 0.280287011347382 7 26 "GO:0000387" "spliceosomal snRNP assembly" 0.833371192505059
60 0.854075114897017 3 79 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 0.978319367548665
93 0.907121906520149 5 13 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 0.98746528511829
-398 0.591392163919135 6 15 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.912782206508569
-1470 0.0475068072844185 3 15 "GO:0000469" "cleavage involved in rRNA processing" 0.551589737882621
1330 0.108643214855664 2 12 "GO:0000578" "embryonic axis specification" 0.679183518407053
-9 0.990934352088724 3 13 "GO:0000722;GO:0006312" "mitotic recombination" 0.998077321861281
-278 0.439351181020227 2 64 "GO:0000723;GO:0032200" "telomere organization" 0.875780171671589
-322 0.37144078286204 5 64 "GO:0000724;GO:0000725" "recombinational repair" 0.852543277320245
-467 0.426231059468335 2 24 "GO:0000731" "DNA synthesis involved in DNA repair" 0.869987523243747
58 0.816734485417679 2 133 "GO:0000902" "cell morphogenesis" 0.965780343002631
-145 0.630700952188019 4 92 "GO:0000904" "cell morphogenesis involved in differentiation" 0.926523505604535
-872 0.00555599155025891 3 84 "GO:0000910" "cytokinesis" 0.360874415321005
720 0.0454625415186389 3 64 "GO:0001101;GO:0043200" "response to acid chemical" 0.546466439799324
-60 0.82862898566576 2 107 "GO:0001501" "skeletal system development" 0.972217164749619
404 0.0593505091390433 2 183 "GO:0001503" "ossification" 0.59599690665963
353 0.205654188407167 3 107 "GO:0001505" "regulation of neurotransmitter levels" 0.777151735812256
-643 0.114307935150322 4 50 "GO:0001508" "action potential" 0.679183518407053
400 0.453416975319712 3 29 "GO:0001510" "RNA methylation" 0.882187622921243
266 0.224717121200893 2 175 "GO:0001525" "angiogenesis" 0.785119145009004
587 0.271605067699176 3 29 "GO:0001539;GO:0060285;GO:0060294;GO:0030317;GO:0097722" "cilium movement involved in cell motility" 0.822707400456471
746 0.245419462751405 2 20 "GO:0001541" "ovarian follicle development" 0.803578318208011
43 0.856158829950457 4 149 "GO:0001558" "regulation of cell growth" 0.978359710950433
85 0.823088947309133 2 57 "GO:0001568" "blood vessel development" 0.96949827442818
-993 0.231026729894525 5 12 "GO:0001569" "branching involved in blood vessel morphogenesis" 0.792920330893069
361 0.513775157757449 2 27 "GO:0001570" "vasculogenesis" 0.893394214839596
594 0.185727733970444 4 41 "GO:0001649" "osteoblast differentiation" 0.759401309565334
-125 0.70453298808975 2 77 "GO:0001654" "eye development" 0.937372369671932
621 0.252555700044364 4 28 "GO:0001656" "metanephros development" 0.809990871846797
569 0.241458183841163 2 35 "GO:0001657;GO:0072164;GO:0072163" "mesonephric epithelium development" 0.803578318208011
438 0.455351433085003 2 24 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.882851599444836
-60 0.878736257544646 3 54 "GO:0001659" "temperature homeostasis" 0.982187474428695
-424 0.469883848535385 3 24 "GO:0001662;GO:0002209;GO:0042596" "fear response" 0.886846775822524
112 0.65985470074651 2 129 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.933242661350143
182 0.494232063612849 2 118 "GO:0001667" "ameboidal-type cell migration" 0.890610778749269
-312 0.539290650274859 2 32 "GO:0001676" "long-chain fatty acid metabolic process" 0.900001352896401
-205 0.524683537841706 6 80 "GO:0001701;GO:0043009" "chordate embryonic development" 0.896973611475977
-1893 0.0065811554147215 2 17 "GO:0001702" "gastrulation with mouth forming second" 0.375720356321447
-871 0.174920532215545 2 20 "GO:0001704" "formation of primary germ layer" 0.750760065675528
-302 0.715609666143597 4 12 "GO:0001707" "mesoderm formation" 0.937876704659745
171 0.761152641250683 2 26 "GO:0001708" "cell fate specification" 0.94965339207887
566 0.315329437849634 3 26 "GO:0001709" "cell fate determination" 0.84088335964493
667 0.0149065814393742 2 111 "GO:0001736;GO:0007164" "establishment of planar polarity" 0.429501392985851
970 0.206346596040237 2 14 "GO:0001745" "compound eye morphogenesis" 0.777151735812256
1057 0.0917715134216921 2 21 "GO:0001754;GO:0046530" "photoreceptor cell differentiation" 0.666400267161975
663 0.301813908963001 2 20 "GO:0001755" "neural crest cell migration" 0.839179239627102
804 0.07694753318456 4 40 "GO:0001756;GO:0035282" "segmentation" 0.644109472741299
-568 0.126196123078832 2 60 "GO:0001764" "neuron migration" 0.688253973234335
63 0.905507003600811 2 29 "GO:0001776;GO:0002260" "leukocyte homeostasis" 0.98746528511829
743 0.301106514902743 6 16 "GO:0001778" "plasma membrane repair" 0.839179239627102
1077 0.122291931231329 3 17 "GO:0001816" "cytokine production" 0.683348249077693
574 0.00367318790248109 2 216 "GO:0001817" "regulation of cytokine production" 0.31174701198154
789 0.00765241052867308 3 95 "GO:0001818" "negative regulation of cytokine production" 0.38511262559725
456 0.0799964580101743 2 123 "GO:0001819" "positive regulation of cytokine production" 0.644109472741299
143 0.6043590288503 2 110 "GO:0001822" "kidney development" 0.917363617286153
34 0.961110507388725 2 17 "GO:0001824" "blastocyst development" 0.991901005586045
-529 0.541214833772614 3 11 "GO:0001833" "inner cell mass cell proliferation" 0.900001352896401
-3 0.993853693695319 5 76 "GO:0001837;GO:0048762" "mesenchymal cell differentiation" 0.998788796070429
189 0.713984883626968 2 31 "GO:0001838;GO:0072175" "epithelial tube formation" 0.937372369671932
-317 0.353625348573821 5 71 "GO:0001843;GO:0060606" "tube closure" 0.842917886662586
410 0.484735717200557 3 24 "GO:0001867" "complement activation, lectin pathway" 0.888787572611736
-1352 0.0128013677185804 2 28 "GO:0001885" "endothelial cell development" 0.421004980844813
134 0.722990820623488 4 58 "GO:0001889" "liver development" 0.941665402933095
311 0.707510107915726 2 12 "GO:0001890" "placenta development" 0.937372369671932
298 0.241587722334797 2 129 "GO:0001894;GO:0060249" "anatomical structure homeostasis" 0.803578318208011
-479 0.547939435695454 2 13 "GO:0001895" "retina homeostasis" 0.901995709986396
-746 0.155314796990072 2 30 "GO:0001906" "cell killing" 0.730015164783591
-1521 0.0665059369019912 4 12 "GO:0001919" "regulation of receptor recycling" 0.618293710208971
102 0.33662044095893 7 788 "GO:0001932;GO:0031399;GO:0042325;GO:0019220;GO:0051174" "regulation of phosphate metabolic process" 0.84088335964493
306 0.192115955953642 3 152 "GO:0001933;GO:0042326" "negative regulation of phosphorylation" 0.768171854276645
122 0.363234523834521 4 481 "GO:0001934;GO:0031401;GO:0042327;GO:0045937;GO:0010562" "positive regulation of protein modification process" 0.850240242178492
916 0.232963670003931 4 14 "GO:0001935" "endothelial cell proliferation" 0.792920330893069
928 0.0437686944643671 2 39 "GO:0001936" "regulation of endothelial cell proliferation" 0.546466439799324
1255 0.102003842208695 2 14 "GO:0001937" "negative regulation of endothelial cell proliferation" 0.667992611272515
898 0.111210431616745 3 26 "GO:0001938" "positive regulation of endothelial cell proliferation" 0.679183518407053
-305 0.626730735256582 3 21 "GO:0001942" "hair follicle development" 0.924923143374342
-295 0.630083931844169 2 22 "GO:0001944" "vasculature development" 0.926523505604535
178 0.710466286005998 2 36 "GO:0001947" "heart looping" 0.937372369671932
715 0.180162253570002 2 29 "GO:0001952" "regulation of cell-matrix adhesion" 0.755261809342003
51 0.915421429341728 3 36 "GO:0001956;GO:0051590;GO:0014057;GO:0014056;GO:0032224" "positive regulation of neurotransmitter transport" 0.98746528511829
-303 0.654810705214856 2 18 "GO:0001958;GO:0036075" "endochondral ossification" 0.933242661350143
682 0.0490563810975057 3 69 "GO:0001959;GO:0060759" "regulation of response to cytokine stimulus" 0.558733067824838
703 0.153722366359468 3 34 "GO:0001960;GO:0060761" "negative regulation of response to cytokine stimulus" 0.727416449445612
1003 0.0874266631847213 2 24 "GO:0001961;GO:0060760" "positive regulation of response to cytokine stimulus" 0.665575029392476
-916 0.2690834472028 5 12 "GO:0001973;GO:0035588" "G protein-coupled purinergic receptor signaling pathway" 0.822251509396709
-1423 0.0636961709450352 3 14 "GO:0001974" "blood vessel remodeling" 0.608257171600033
416 0.326433690525143 6 46 "GO:0001975" "response to amphetamine" 0.84088335964493
-888 0.328080394777145 2 10 "GO:0001976" "nervous system process involved in regulation of systemic arterial blood pressure" 0.84088335964493
502 0.423048865578119 7 21 "GO:0001994" "norepinephrine-epinephrine vasoconstriction involved in regulation of systemic arterial blood pressure" 0.867969774039314
159 0.842292480390504 2 13 "GO:0001996;GO:0001997" "positive regulation of heart rate by epinephrine-norepinephrine" 0.974525732589013
-319 0.610661257550166 5 21 "GO:0002011" "morphogenesis of an epithelial sheet" 0.919623155618517
138 0.750185270390107 3 44 "GO:0002024;GO:1990845;GO:0040015" "adaptive thermogenesis" 0.947231445898675
105 0.799507986063467 2 48 "GO:0002027" "regulation of heart rate" 0.961060717255337
-228 0.513862328043957 2 68 "GO:0002028" "regulation of sodium ion transport" 0.893394214839596
