"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
903 0.131780799942332 2 23 "GO:0000002" "mitochondrial genome maintenance" 0.405989794670112
-920 0.0516117472188995 2 37 "GO:0000018" "regulation of DNA recombination" 0.248226718551176
3847 2.27208638097655e-05 2 10 "GO:0000027" "ribosomal large subunit assembly" 0.00121997127925496
-1339 0.121861907864466 3 11 "GO:0000038" "very long-chain fatty acid metabolic process" 0.390522143229489
-248 0.455795843702179 2 75 "GO:0000041" "transition metal ion transport" 0.740870828434121
1779 0.0204814770467078 2 14 "GO:0000045;GO:1905037" "autophagosome organization" 0.143315867313532
740 0.371755202067068 -1 12 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.674543404578246
1770 0.0262376954808864 5 13 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.167959554282755
147 0.801661662564946 6 24 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.923051130944583
-433 0.211233587276085 2 69 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.523310327799792
-1217 0.011114767688945 3 36 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.0974765126320476
596 0.184307001480462 4 41 "GO:0000096" "sulfur amino acid metabolic process" 0.491294847913765
618 0.263929424957744 2 27 "GO:0000097" "sulfur amino acid biosynthetic process" 0.583527997532626
305 0.103308593914257 7 240 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.364130923607342
519 0.469822332695465 2 16 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.752803019075377
-3 0.99303958740148 5 87 "GO:0000165" "MAPK cascade" 0.997970647231969
1539 0.00741717667203018 2 25 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.0768291016697299
-750 0.296190414440553 -1 16 "GO:0000186" "obsolete activation of MAPKK activity" 0.608948688703956
-96 0.792744808756458 -1 62 "GO:0000187" "obsolete activation of MAPK activity" 0.916599379820496
198 0.338877289547494 2 196 "GO:0000209" "protein polyubiquitination" 0.647014621770288
-265 0.269667659861269 4 145 "GO:0000226" "microtubule cytoskeleton organization" 0.588437818358148
-1907 0.000138650438179219 3 33 "GO:0000272" "polysaccharide catabolic process" 0.00455320538979437
-351 0.383504576315731 2 51 "GO:0000278" "mitotic cell cycle" 0.684996972360277
-785 0.02907249562151 2 64 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 0.173446113333771
-149 0.86991655348115 2 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.946155623071065
2424 0.00345294221123008 2 12 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.0455836182089652
2972 0.000336441323494146 7 12 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.00804706474648271
3167 1.9217435418817e-08 2 26 "GO:0000387" "spliceosomal snRNP assembly" 2.29823057213216e-06
2802 5.45830896932296e-18 3 79 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 1.79510136228609e-15
1601 0.0443825081374416 6 13 "GO:0000422;GO:0061726" "mitochondrion disassembly" 0.225861467910269
3569 1.48484547086952e-06 4 15 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.000128078519066371
3133 2.38679126854195e-05 3 15 "GO:0000469" "cleavage involved in rRNA processing" 0.00124064261536257
1304 0.115716607409483 2 12 "GO:0000578" "embryonic axis specification" 0.382956470558931
