"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
641 0.234462529212377 2 19 "GO:0000118" "histone deacetylase complex" 0.446418752101643
1336 0.00109415444929531 4 33 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 0.0103308536375325
57 0.641093372331957 2 380 "GO:0000139" "Golgi membrane" 0.781450156847815
-188 0.677050883385178 2 27 "GO:0000152" "nuclear ubiquitin ligase complex" 0.806107503385285
2065 0.00231114700684784 3 12 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.0185802014994567
-456 0.272959466826568 6 32 "GO:0000228" "nuclear chromosome" 0.485205953606596
-1114 0.133382716608208 2 10 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.325784468887701
178 0.784833716544357 2 13 "GO:0000324;GO:0000322" "storage vacuole" 0.865876328578829
2974 8.18664670636369e-13 2 32 "GO:0000502;GO:1905369" "endopeptidase complex" 4.15472320347957e-11
-282 0.548133683093516 2 25 "GO:0000775" "chromosome, centromeric region" 0.710997684779449
640 0.172893076236446 3 25 "GO:0000776" "kinetochore" 0.373375473148921
-904 0.0418459273436433 2 28 "GO:0000781" "chromosome, telomeric region" 0.156984159799685
-273 0.376988755743875 2 58 "GO:0000785" "chromatin" 0.584188682564936
-1092 0.00473959041514327 2 37 "GO:0000786;GO:0044815" "DNA packaging complex" 0.0320712284758028
-224 0.703375277001685 3 16 "GO:0000792" "heterochromatin" 0.820604489835299
-1117 0.0225851007899549 4 23 "GO:0000793" "condensed chromosome" 0.105133136085195
-560 0.32513023129041 2 17 "GO:0000794" "condensed nuclear chromosome" 0.545466421090523
-568 0.00029481049967128 2 230 "GO:0000922" "spindle pole" 0.00324142157070207
152 0.527063150796612 5 96 "GO:0000932" "P-body" 0.699306010534067
126 0.815669634759539 2 19 "GO:0000943" "retrotransposon nucleocapsid" 0.887833436226201
-453 0.316974037423529 2 27 "GO:0001527" "microfibril" 0.536214413308136
945 0.00921713256301421 2 42 "GO:0001650" "fibrillar center" 0.0525313596352926
-720 0.268673507115228 6 13 "GO:0001669" "acrosomal vesicle" 0.480534995104769
-337 0.61861635070882 2 12 "GO:0001725;GO:0097517" "stress fiber" 0.770424044134297
-221 0.497425647602161 2 52 "GO:0001726" "ruffle" 0.674239632716682
-1428 0.00289810548175818 2 24 "GO:0001750" "photoreceptor outer segment" 0.0213932877380695
-816 0.12045605197977 2 20 "GO:0001891" "phagocytic cup" 0.313494596819145
-564 0.368398562640223 2 14 "GO:0001917" "photoreceptor inner segment" 0.582364597738227
-515 0.366011768542368 3 17 "GO:0002102" "podosome" 0.582364597738227
-755 1.54073077868996e-07 2 275 "GO:0005581" "collagen trimer" 3.65999093615394e-06
-701 0.193125380328645 3 19 "GO:0005583" "fibrillar collagen trimer" 0.404169610378505
-1070 0.130623738544821 3 11 "GO:0005593" "FACIT collagen trimer" 0.325784468887701
-657 0.00102859502653741 3 140 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 0.0099430852565283
-697 1.94002888634344e-14 2 729 "GO:0005615" "extracellular space" 1.57530345571087e-12
-786 0.0419939631544282 3 37 "GO:0005618" "cell wall" 0.156984159799685
134 0.231281885912505 2 466 "GO:0005622" "intracellular anatomical structure" 0.446418752101643
-315 0.463275478281575 -1 30 "GO:0005623" "obsolete cell" 0.645291108282425
-145 0.580438300298527 2 81 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 0.745753006079753
-145 0.830767317213935 2 12 "GO:0005637" "nuclear inner membrane" 0.897884724820936
-419 0.475746580602783 4 16 "GO:0005639;GO:0031229" "intrinsic component of nuclear inner membrane" 0.652544296367331
-828 0.124604392392595 3 19 "GO:0005641" "nuclear envelope lumen" 0.318172222084236
757 0.0826422577789238 2 29 "GO:0005643" "nuclear pore" 0.243135917813356
713 6.88471093071588e-17 2 842 "GO:0005654" "nucleoplasm" 6.98798159467662e-15
60 0.878582873394251 2 36 "GO:0005657" "replication fork" 0.931913614699502
-40 0.858716025612099 2 109 "GO:0005667" "transcription regulator complex" 0.917470279996085
-238 0.715229091917156 3 13 "GO:0005669" "transcription factor TFIID complex" 0.824564412770584
97 0.890493594030752 2 11 "GO:0005680" "anaphase-promoting complex" 0.936633158488304
2181 1.23856254814956e-21 2 107 "GO:0005681" "spliceosomal complex" 2.51428197274361e-19
1701 0.00900786951854959 3 13 "GO:0005682" "U5 snRNP" 0.0524466469161529
2609 8.81111068528701e-06 4 16 "GO:0005684" "U2-type spliceosomal complex" 0.000149054622426105
3480 2.75145131351407e-06 3 10 "GO:0005685" "U1 snRNP" 5.07767833312142e-05
3164 2.02065817773266e-05 3 10 "GO:0005686" "U2 snRNP" 0.000303847118577578
2854 5.51980227705222e-05 2 11 "GO:0005689" "U12-type spliceosomal complex" 0.000772772318787311
-203 0.35358266347009 3 117 "GO:0005694" "chromosome" 0.574884517081889
5 0.994726660974558 2 10 "GO:0005700" "polytene chromosome" 0.998719519582636
898 7.95293227602852e-12 2 333 "GO:0005730" "nucleolus" 3.22889050406758e-10
276 0.00741683933458333 2 556 "GO:0005739" "mitochondrion" 0.0463267195360128
351 0.190772590029636 2 77 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 0.403404539333501
524 0.00517510585707206 2 160 "GO:0005743;GO:0019866" "organelle inner membrane" 0.0343118224184553
1070 0.0325822441783286 3 22 "GO:0005747;GO:0045271;GO:0030964;GO:0098803" "respiratory chain complex" 0.133815627990857
930 0.052488914256585 2 24 "GO:0005758" "mitochondrial intermembrane space" 0.183711199898048
349 0.141774310462586 2 99 "GO:0005759" "mitochondrial matrix" 0.328810128765911
1034 0.144234618071815 6 11 "GO:0005761;GO:0000313" "organellar ribosome" 0.328810128765911
1286 0.00867329631215708 4 23 "GO:0005762;GO:0000315" "mitochondrial large ribosomal subunit" 0.0524466469161529
514 0.340102132100292 5 19 "GO:0005763;GO:0000314" "organellar small ribosomal subunit" 0.565907646035732
-112 0.463028196671841 2 243 "GO:0005764;GO:0000323;GO:0005773" "vacuole" 0.645291108282425
277 0.115986102539421 5 181 "GO:0005765;GO:0098852;GO:0005774" "vacuolar membrane" 0.309676497333878
-11 0.921975636485996 2 456 "GO:0005768" "endosome" 0.952064907442215
-54 0.726141663102593 2 237 "GO:0005769" "early endosome" 0.824564412770584
-61 0.831538562888354 5 67 "GO:0005770" "late endosome" 0.897884724820936
230 0.685992372032965 2 17 "GO:0005771" "multivesicular body" 0.811087424815267
876 0.0801235282821098 2 22 "GO:0005776" "autophagosome" 0.240491015865534
507 0.0661797020756552 2 73 "GO:0005777;GO:0042579" "microbody" 0.21668515357029
1149 0.0329595142834622 3 19 "GO:0005778;GO:0031903" "peroxisomal membrane" 0.133815627990857
