"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
476 0.377144577851492 3 19 "GO:0000118" "histone deacetylase complex" 0.674544778847297
-938 0.0218656055183197 4 33 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 0.186099468609417
251 0.042046726656832 5 380 "GO:0000139" "Golgi membrane" 0.266733922229278
-184 0.683504856800177 2 27 "GO:0000152" "nuclear ubiquitin ligase complex" 0.859082676713743
139 0.837164073821018 4 12 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.926922340425972
163 0.695109161513606 2 32 "GO:0000228" "nuclear chromosome" 0.860409510897939
663 0.371448048121391 2 10 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.674544778847297
-200 0.759108234163023 3 13 "GO:0000324;GO:0000322" "storage vacuole" 0.884852584838507
-2191 1.33357748118735e-07 3 32 "GO:0000502;GO:1905369" "endopeptidase complex" 2.70716228681032e-05
95 0.839589708395531 2 25 "GO:0000775" "chromosome, centromeric region" 0.926922340425972
324 0.490936457246087 3 25 "GO:0000776" "kinetochore" 0.760764128404242
582 0.189643448754549 2 28 "GO:0000781" "chromosome, telomeric region" 0.518293885076575
-179 0.562368924645596 2 58 "GO:0000785" "chromatin" 0.786161068076548
452 0.241973727262066 3 37 "GO:0000786;GO:0044815" "DNA packaging complex" 0.56373065049565
-723 0.217779015477757 2 16 "GO:0000792" "heterochromatin" 0.534110852073448
250 0.609999949250378 6 23 "GO:0000793" "condensed chromosome" 0.811999932444766
195 0.732634881890418 7 17 "GO:0000794" "condensed nuclear chromosome" 0.879516288734699
704 7.20407794036955e-06 2 230 "GO:0000922" "spindle pole" 0.000365606955473755
249 0.30164109330009 2 96 "GO:0000932" "P-body" 0.628084406362037
665 0.217287203499564 2 19 "GO:0000943" "retrotransposon nucleocapsid" 0.534110852073448
181 0.689186834531014 2 27 "GO:0001527" "microfibril" 0.859082676713743
-194 0.592287793176266 2 42 "GO:0001650" "fibrillar center" 0.804735768643985
-17 0.979180139499086 3 13 "GO:0001669" "acrosomal vesicle" 0.996205832863963
881 0.19365764662448 3 12 "GO:0001725;GO:0097517" "stress fiber" 0.518293885076575
278 0.394065811181658 2 52 "GO:0001726" "ruffle" 0.677926776863361
-1553 0.00119955946573117 2 24 "GO:0001750" "photoreceptor outer segment" 0.0211748323081241
-1018 0.0526132764212711 2 20 "GO:0001891" "phagocytic cup" 0.279592507059364
332 0.596380545518873 2 14 "GO:0001917" "photoreceptor inner segment" 0.804735768643985
-654 0.250517056505057 5 17 "GO:0002102" "podosome" 0.568853731812266
-190 0.186071199556337 2 275 "GO:0005581" "collagen trimer" 0.518293885076575
-304 0.572719114826949 2 19 "GO:0005583" "fibrillar collagen trimer" 0.790667106231708
-124 0.861009847582119 3 11 "GO:0005593" "FACIT collagen trimer" 0.94263932753833
227 0.255298730998273 2 140 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 0.568853731812266
-250 0.00610622384808227 2 729 "GO:0005615" "extracellular space" 0.0708321966377543
440 0.261242809733227 2 36 "GO:0005618" "cell wall" 0.5702396814607
50 0.653126341090305 2 466 "GO:0005622" "intracellular anatomical structure" 0.833865705920326
-171 0.689805301991823 -1 30 "GO:0005623" "obsolete cell" 0.859082676713743
-140 0.593709989876969 4 81 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 0.804735768643985
658 0.331266711886915 2 12 "GO:0005637" "nuclear inner membrane" 0.659285710912194
-382 0.514711377056009 2 16 "GO:0005639;GO:0031229" "integral component of nuclear inner membrane" 0.773563430541573
-334 0.535727776380276 2 19 "GO:0005641" "nuclear envelope lumen" 0.782393802915079
633 0.146981340340776 3 29 "GO:0005643" "nuclear pore" 0.452078971048144
-39 0.649381390937101 2 842 "GO:0005654" "nucleoplasm" 0.831699825616603
-118 0.762747225319967 2 36 "GO:0005657" "replication fork" 0.884852584838507
93 0.681852802759111 2 109 "GO:0005667" "transcription regulator complex" 0.859082676713743
-569 0.382131278657336 2 13 "GO:0005669" "transcription factor TFIID complex" 0.674544778847297
-868 0.219712067898307 4 11 "GO:0005680" "anaphase-promoting complex" 0.534110852073448
-335 0.142142202980559 2 107 "GO:0005681" "spliceosomal complex" 0.447362282248891
854 0.18938050384445 5 13 "GO:0005682" "U5 snRNP" 0.518293885076575
-762 0.194041060422757 3 16 "GO:0005684" "U2-type spliceosomal complex" 0.518293885076575
-946 0.202246459094322 2 10 "GO:0005685" "U1 snRNP" 0.519696597419587
-1458 0.0493815005886632 5 10 "GO:0005686" "U2 snRNP" 0.279592507059364
65 0.926813969955269 4 11 "GO:0005689" "U12-type spliceosomal complex" 0.974618754293197
474 0.0299660928596873 3 117 "GO:0005694" "chromosome" 0.217368258988066
-239 0.747262078904307 6 10 "GO:0005700" "polytene chromosome" 0.881141217407651
94 0.472678374746389 5 333 "GO:0005730" "nucleolus" 0.749638359949351
-512 6.74503157695634e-07 5 556 "GO:0005739" "mitochondrion" 6.84620705061068e-05
365 0.17435962564375 2 77 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 0.5139793772444
-663 0.00039652871842145 2 160 "GO:0005743;GO:0019866" "organelle inner membrane" 0.00886570448873115
-1334 0.0077257279514663 3 22 "GO:0005747;GO:0045271;GO:0030964;GO:0098803" "respiratory chain complex" 0.0847742040079816
-804 0.0934744941203211 2 24 "GO:0005758" "mitochondrial intermembrane space" 0.36744183662708
-444 0.0614455742105935 2 99 "GO:0005759" "mitochondrial matrix" 0.293686131315581
49 0.94471832561713 4 11 "GO:0005761;GO:0000313" "organellar ribosome" 0.975968550128638
1 0.998437153125762 5 23 "GO:0005762;GO:0000315" "organellar large ribosomal subunit" 0.999765579681997
-1135 0.0350876000975291 3 19 "GO:0005763;GO:0000314" "mitochondrial small ribosomal subunit" 0.23742609399328
-556 0.00026970707259804 3 243 "GO:0005764;GO:0000323;GO:0005773" "vacuole" 0.00684381696717527
24 0.890899571385184 3 181 "GO:0005765;GO:0098852;GO:0005774" "vacuolar membrane" 0.961981983995704
226 0.0453746389537221 2 456 "GO:0005768" "endosome" 0.276700474906936
242 0.118134201606664 3 237 "GO:0005769" "early endosome" 0.416784821737623
-180 0.532438495501963 3 67 "GO:0005770" "late endosome" 0.780831158328604
-523 0.358736959994284 9 17 "GO:0005771" "multivesicular body" 0.674544778847297
-28 0.954811617152243 6 22 "GO:0005776" "autophagosome" 0.983892174019824
-328 0.23400983809769 6 73 "GO:0005777;GO:0042579" "microbody" 0.555602305658843
148 0.782940863038164 6 19 "GO:0005778;GO:0031903" "peroxisomal membrane" 0.897949125405352
-397 0.542338797164021 5 13 "GO:0005782;GO:0031907" "microbody lumen" 0.786161068076548
-57 0.632992762037385 2 406 "GO:0005783" "endoplasmic reticulum" 0.828276432330287
398 0.0608762505451056 4 124 "GO:0005788" "endoplasmic reticulum lumen" 0.293686131315581
57 0.634467907523939 2 398 "GO:0005789" "endoplasmic reticulum membrane" 0.828276432330287
-685 0.099041860021334 6 32 "GO:0005791" "rough endoplasmic reticulum" 0.375803693165062
257 0.556216194884936 5 29 "GO:0005793" "endoplasmic reticulum-Golgi intermediate compartment" 0.786161068076548
154 0.197334098126948 5 408 "GO:0005794" "Golgi apparatus" 0.519696597419587
593 0.216121922789145 2 24 "GO:0005795" "Golgi stack" 0.534110852073448
286 0.478233013026509 5 34 "GO:0005796" "Golgi lumen" 0.754466857948101
517 0.221011387064875 2 31 "GO:0005798" "Golgi-associated vesicle" 0.534110852073448
-781 0.127718395356315 5 21 "GO:0005801" "cis-Golgi network" 0.417215072598312
177 0.461769208771086 2 96 "GO:0005802" "trans-Golgi network" 0.74042952230068
35 0.937945022670504 5 28 "GO:0005811" "lipid droplet" 0.974618754293197
239 0.123174667467345 3 235 "GO:0005813" "centrosome" 0.417215072598312
452 0.124640760873471 5 64 "GO:0005814" "centriole" 0.417215072598312
546 1.07345655943448e-06 2 466 "GO:0005815" "microtubule organizing center" 8.71646726260798e-05
501 0.0229760229412904 5 115 "GO:0005819" "spindle" 0.186565306283278
-2153 0.000601001390010516 2 14 "GO:0005839" "proteasome core complex" 0.0122003282172135
-1074 0.00138950539647953 2 49 "GO:0005840" "ribosome" 0.0225655676388276
-320 0.563357111977874 2 18 "GO:0005844" "polysome" 0.786161068076548
109 0.353837067196963 3 421 "GO:0005856" "cytoskeleton" 0.674544778847297
-357 0.555943895747776 2 15 "GO:0005858" "axonemal dynein complex" 0.786161068076548
62 0.933281747567179 2 10 "GO:0005865;GO:0036379" "striated muscle thin filament" 0.974618754293197
-700 0.301762189540993 2 12 "GO:0005868" "cytoplasmic dynein complex" 0.628084406362037
609 0.105646246522813 3 39 "GO:0005871" "kinesin complex" 0.382711707095016
264 0.13013036259007 6 185 "GO:0005874" "microtubule" 0.417340357622311
109 0.660579274469462 2 91 "GO:0005875" "microtubule associated complex" 0.840737258415679
386 0.441048477590843 2 22 "GO:0005876" "spindle microtubule" 0.724962274906406
819 0.128452916440367 2 19 "GO:0005881" "cytoplasmic microtubule" 0.417215072598312
-376 0.373547478524383 2 31 "GO:0005882" "intermediate filament" 0.674544778847297
-125 0.866020860029057 2 10 "GO:0005883" "neurofilament" 0.94263932753833
-879 0.0941230320424048 2 20 "GO:0005884" "actin filament" 0.36744183662708
60 0.427303104418103 2 1098 "GO:0005887;GO:0031226" "intrinsic component of plasma membrane" 0.719855022380705
1260 0.0628526463188748 2 12 "GO:0005891" "voltage-gated calcium channel complex" 0.293686131315581
-448 0.312480875403402 4 28 "GO:0005892" "acetylcholine-gated channel complex" 0.637523796049152
229 0.446463610372098 3 61 "GO:0005901;GO:0044853" "plasma membrane raft" 0.725056903244287
150 0.748948678320952 2 25 "GO:0005902" "microvillus" 0.881141217407651
594 0.188914121826065 3 27 "GO:0005903" "brush border" 0.518293885076575
1086 0.00893522512447921 4 32 "GO:0005905" "clathrin-coated pit" 0.0930179846291938
517 0.00115034327577493 2 224 "GO:0005911" "cell-cell junction" 0.0211748323081241
544 0.075664191872754 4 59 "GO:0005912" "adherens junction" 0.324270707798535
355 0.458967190486596 4 24 "GO:0005918" "septate junction" 0.73988644415653
488 0.0673125506945312 5 78 "GO:0005923;GO:0070160" "tight junction" 0.300317533867908
131 0.547689393858138 5 118 "GO:0005925;GO:0030055" "cell-substrate junction" 0.786161068076548
275 0.0874377290707215 2 219 "GO:0005929" "cilium" 0.352085275848202
2 0.994625062218968 2 47 "GO:0005930" "axoneme" 0.999765579681997
54 0.776025587333976 2 155 "GO:0005938" "cell cortex" 0.892539344072505
