"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-796 0.139568505880652 2 19 "GO:0000118" "histone deacetylase complex" 0.578212381505558
17 0.967057132349759 4 33 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.994111647768677
-75 0.540258941938644 5 380 "GO:0000139" "Golgi membrane" 0.849043841218491
-83 0.853946292672886 2 27 "GO:0000152" "nuclear ubiquitin ligase complex" 0.976680760132337
-349 0.606902929147512 2 12 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.884072530264284
-47 0.909988409542784 3 32 "GO:0000228" "nuclear chromosome" 0.987238865418414
-872 0.240203631120167 4 10 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.675432527246733
-332 0.609705193285713 2 13 "GO:0000324;GO:0000322" "storage vacuole" 0.884072530264284
-302 0.468027716563089 2 32 "GO:0000502;GO:1905369" "endopeptidase complex" 0.837089219932221
-289 0.538806962282778 3 25 "GO:0000775" "chromosome, centromeric region" 0.849043841218491
-24 0.959792303252296 3 25 "GO:0000776" "kinetochore" 0.994111647768677
-277 0.532949275408872 2 28 "GO:0000781" "chromosome, telomeric region" 0.849043841218491
-125 0.685218910406814 2 58 "GO:0000785" "chromatin" 0.912127467623497
944 0.0145673925450869 2 37 "GO:0000786;GO:0044815" "DNA packaging complex" 0.190785850751783
-757 0.197068857378712 3 16 "GO:0000792" "heterochromatin" 0.650404670328346
-1003 0.0407125587861126 4 23 "GO:0000793" "condensed chromosome" 0.319310087162112
-755 0.185022623573149 5 17 "GO:0000794" "condensed nuclear chromosome" 0.650404670328346
-144 0.358122083119153 2 230 "GO:0000922" "spindle pole" 0.769299289663366
-351 0.14481617837594 5 96 "GO:0000932" "P-body" 0.589499465671345
-318 0.555538198743909 2 19 "GO:0000943" "retrotransposon nucleocapsid" 0.860872170572622
-169 0.707972909209866 2 27 "GO:0001527" "microfibril" 0.927216132707115
379 0.29597002252728 2 42 "GO:0001650" "fibrillar center" 0.72103349236164
-434 0.505103077208867 7 13 "GO:0001669" "acrosomal vesicle" 0.844142217447023
-683 0.313511191605513 2 12 "GO:0001725;GO:0097517" "stress fiber" 0.722719150330021
-31 0.924297313345347 4 52 "GO:0001726" "ruffle" 0.987238865418414
934 0.0514644070456859 2 24 "GO:0001750" "photoreceptor outer segment" 0.360250849319801
249 0.635012964757223 2 20 "GO:0001891" "phagocytic cup" 0.903052819285725
-822 0.190337734629967 2 14 "GO:0001917" "photoreceptor inner segment" 0.650404670328346
-16 0.977173446416058 2 17 "GO:0002102" "podosome" 0.994111647768677
32 0.825078285207716 2 275 "GO:0005581" "collagen trimer" 0.976680760132337
-148 0.783210882476373 2 19 "GO:0005583" "fibrillar collagen trimer" 0.949204830702709
-558 0.430896423879508 2 11 "GO:0005593" "FACIT collagen trimer" 0.814106876033999
108 0.590427481242215 2 140 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 0.878667402020628
313 0.000585645785284814 2 728 "GO:0005615" "extracellular space" 0.0339674555465192
318 0.411351125705362 3 37 "GO:0005618" "cell wall" 0.804366196006789
62 0.577659046444028 2 466 "GO:0005622" "intracellular anatomical structure" 0.878387913319383
