"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
174 0.74711521879945 3 19 "GO:0000118" "histone deacetylase complex" 0.847287091711108
1853 5.9746022461346e-06 3 33 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 8.36444314458844e-05
-92 0.453983976870079 3 380 "GO:0000139" "Golgi membrane" 0.628610089216583
-148 0.742966323779483 2 27 "GO:0000152" "nuclear ubiquitin ligase complex" 0.84494209371
2497 0.000230416461564481 4 12 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.00173239043324406
-729 0.079413856255953 4 32 "GO:0000228" "nuclear chromosome" 0.20026102881936
-510 0.492409269900603 3 10 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.650395901605367
632 0.33190702792333 5 13 "GO:0000324;GO:0000322" "storage vacuole" 0.516299821214069
3120 6.06940341876026e-14 3 32 "GO:0000502;GO:1905369" "endopeptidase complex" 2.73797532001852e-12
-902 0.0550641445920745 2 25 "GO:0000775" "chromosome, centromeric region" 0.156762976566491
230 0.623879457476662 3 25 "GO:0000776" "kinetochore" 0.75632003709387
-830 0.0616428545348243 2 28 "GO:0000781" "chromosome, telomeric region" 0.166846659607591
-252 0.414625490649927 2 58 "GO:0000785" "chromatin" 0.595297601872946
-622 0.107886812652529 3 37 "GO:0000786;GO:0044815" "DNA packaging complex" 0.257659093746628
-131 0.823320650282586 2 16 "GO:0000792" "heterochromatin" 0.903427524364135
-1259 0.010197006332218 4 23 "GO:0000793" "condensed chromosome" 0.0440423890519203
-971 0.0882052070566778 2 17 "GO:0000794" "condensed nuclear chromosome" 0.218136038745718
-557 0.000382977020539214 2 230 "GO:0000922" "spindle pole" 0.0026808391437745
26 0.915668442750969 5 96 "GO:0000932" "P-body" 0.964473132739849
-297 0.581891352144941 2 19 "GO:0000943" "retrotransposon nucleocapsid" 0.724389938056788
-406 0.369201198319999 5 27 "GO:0001527" "microfibril" 0.553120614457268
1209 0.000867319820758913 2 42 "GO:0001650" "fibrillar center" 0.00525569921235998
-958 0.141409638212079 7 13 "GO:0001669" "acrosomal vesicle" 0.31110929381075
-899 0.184571003858688 3 12 "GO:0001725;GO:0097517" "contractile actin filament bundle" 0.376518127330349
-32 0.921713240155324 2 52 "GO:0001726" "ruffle" 0.964473132739849
312 0.515080689635577 2 24 "GO:0001750" "photoreceptor outer segment" 0.661780886050773
-131 0.803000963322883 2 20 "GO:0001891" "phagocytic cup" 0.888333490760464
-1131 0.0716579347268722 2 14 "GO:0001917" "photoreceptor inner segment" 0.186494368584039
