"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1215 0.173260962463455 3 10 "GO:0000030" "mannosyltransferase activity" 0.432757596427918
1537 0.00648133738079474 2 25 "GO:0000049" "tRNA binding" 0.0646187689387599
817 0.336585161730516 2 11 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 0.591860424840739
1146 0.00118995788945863 3 64 "GO:0000149;GO:0019905" "SNARE binding" 0.0186228409700276
1230 0.0812574999399312 2 16 "GO:0000175" "3'-5'-exoribonuclease activity" 0.266320392473282
-1121 0.0625677187795244 2 22 "GO:0000217" "DNA secondary structure binding" 0.231759715715871
-171 0.548198966761964 5 99 "GO:0000287" "magnesium ion binding" 0.758591583646
-445 0.6007115697692 3 11 "GO:0000403" "Y-form DNA binding" 0.787349548889131
357 0.0572516264482202 2 231 "GO:0000976;GO:0001067;GO:1990837;GO:0003690" "double-stranded DNA binding" 0.221231593559172
409 0.105773903716073 3 126 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 0.313812624295079
406 0.208155281323324 2 77 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 0.488034479806745
781 0.00162892561993228 2 131 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.0226601652906135
1371 0.0450812077142557 3 17 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "basal transcription machinery binding" 0.190681324521109
703 0.22259283287931 3 24 "GO:0001046" "core promoter sequence-specific DNA binding" 0.509277647407669
377 0.657910203989741 3 11 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 0.831813853627213
995 0.0535903574494618 2 30 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.214663977315815
-664 0.362219320728981 2 15 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 0.617845489853793
47 0.917457359070044 2 39 "GO:0001530" "lipopolysaccharide binding" 0.970149166854472
44 0.900251214126921 2 65 "GO:0001540" "amyloid-beta binding" 0.961701808947871
438 0.180615442392375 2 75 "GO:0001594" "trace-amine receptor activity" 0.445138846211129
78 0.926676489599992 6 11 "GO:0001601" "peptide YY receptor activity" 0.973744583642806
556 0.0571668718136319 2 94 "GO:0001609" "G protein-coupled adenosine receptor activity" 0.221231593559172
-519 0.00608320978181545 4 227 "GO:0001664" "G protein-coupled receptor binding" 0.0634681553902745
-410 0.614988366378108 6 12 "GO:0001733;GO:0050694" "galactosylceramide sulfotransferase activity" 0.79302915062035
-507 0.288048632850078 2 35 "GO:0001786" "phosphatidylserine binding" 0.563727545686938
-741 0.058876138377296 3 52 "GO:0001965" "G-protein alpha-subunit binding" 0.22337250075265
35 0.917131583817381 2 69 "GO:0002020" "protease binding" 0.970149166854472
909 0.0942622236352889 3 27 "GO:0002039" "p53 binding" 0.29357289550095
289 0.123208273365945 2 231 "GO:0003682" "chromatin binding" 0.34586717097346
-146 0.76993516590209 2 32 "GO:0003684" "damaged DNA binding" 0.885991569585861
-430 0.313063268902865 2 44 "GO:0003697" "single-stranded DNA binding" 0.57846904818275
349 0.0127783514038496 2 423 "GO:0003700;GO:0140110" "transcription regulator activity" 0.091010543416544
-1595 0.0197849185191945 2 17 "GO:0003707" "steroid hormone receptor activity" 0.113627146724915
1059 0.000103993924482721 2 108 "GO:0003712" "transcription coregulator activity" 0.00361667759589907
1300 0.000211991414851835 3 65 "GO:0003713" "transcription coactivator activity" 0.00510410098835572
1013 0.0201557590432314 3 42 "GO:0003714" "transcription corepressor activity" 0.114704592373299
1206 3.18176827963786e-28 2 716 "GO:0003723" "RNA binding" 1.9917869430533e-25
244 0.74664182204516 2 14 "GO:0003725" "double-stranded RNA binding" 0.876918912946098
1192 0.00930553057979036 2 38 "GO:0003727" "single-stranded RNA binding" 0.0737374954803641
1186 0.000657331547121848 2 66 "GO:0003729" "mRNA binding" 0.0128590483905712
717 0.281353746378977 3 18 "GO:0003730" "mRNA 3'-UTR binding" 0.562707492757954
1068 0.00086467956241521 2 78 "GO:0003735" "structural constituent of ribosome" 0.0151660428738526
2382 5.17027272603186e-05 4 23 "GO:0003743" "translation initiation factor activity" 0.00202286920405997
968 0.0931277462043429 2 24 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.291489845619593
-323 0.680205682544726 4 13 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.83950548755604
-662 0.0331425687291887 1 83 "GO:0003774" "cytoskeletal motor activity" 0.164660698606922
-368 0.31326039510216 2 60 "GO:0003777" "microtubule motor activity" 0.57846904818275
-591 0.000896395505323554 4 258 "GO:0003779" "actin binding" 0.0151660428738526
-347 0.623108681604574 2 16 "GO:0003823" "antigen binding" 0.796053132009109
248 0.426771551650887 4 82 "GO:0003887" "DNA-directed DNA polymerase activity" 0.67618578704066
1487 0.00456004261796852 3 29 "GO:0003899;GO:0034062;GO:0097747" "RNA polymerase activity" 0.050974762122291
258 0.215944216213995 2 186 "GO:0003924" "GTPase activity" 0.498823171033066
-742 0.189052977486074 2 25 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.458709937621249
2102 0.00391147597409618 3 15 "GO:0003954" "NADH dehydrogenase activity" 0.0470881530727732
246 0.173517822209916 3 249 "GO:0003964;GO:0034061" "DNA polymerase activity" 0.432757596427918
-1842 0.00220691088723741 6 22 "GO:0003993" "acid phosphatase activity" 0.030033178595883
223 0.802861436677727 2 10 "GO:0003995" "acyl-CoA dehydrogenase activity" 0.902858685279707
-1376 0.0385852355660363 2 18 "GO:0004033;GO:0008106;GO:0052650" "aldo-keto reductase (NADP) activity" 0.181611710258186
-1521 0.0159617020445305 2 20 "GO:0004062" "aryl sulfotransferase activity" 0.105179215577643
-1293 0.028042650826796 2 23 "GO:0004065;GO:0003943" "arylsulfatase activity" 0.1443512200729
-1831 0.0401164332856417 6 10 "GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 0.1833057462541
-2021 0.000345059909404835 3 25 "GO:0004177;GO:0070006" "aminopeptidase activity" 0.00771455368883667
-1379 0.0074790669760806 5 30 "GO:0004180" "carboxypeptidase activity" 0.0668842275289494
-1587 0.0244591355143278 6 16 "GO:0004181" "metallocarboxypeptidase activity" 0.133142772451906
545 0.0429557031015846 5 111 "GO:0004190;GO:0070001" "aspartic-type peptidase activity" 0.189045263892296
484 0.200635930397903 4 56 "GO:0004197" "cysteine-type endopeptidase activity" 0.481218744939032
-696 0.00386671331687424 2 139 "GO:0004222" "metalloendopeptidase activity" 0.0470881530727732
-421 0.0410120570787908 3 191 "GO:0004252;GO:0008236;GO:0017171" "serine hydrolase activity" 0.183562096854191
4171 3.17378840425489e-08 2 14 "GO:0004298" "threonine-type endopeptidase activity" 4.9669788526589e-06
-1663 0.0102042509522502 5 19 "GO:0004303;GO:0033764;GO:0016229" "steroid dehydrogenase activity" 0.0790642573081956
-177 0.842501161529235 2 10 "GO:0004364" "glutathione transferase activity" 0.928531209713558
994 0.204183373268591 2 13 "GO:0004383" "guanylate cyclase activity" 0.485356328423542
300 0.331215477506105 2 84 "GO:0004386" "helicase activity" 0.590567182020256
757 0.298504888746348 2 15 "GO:0004402;GO:0061733" "peptide-lysine-N-acetyltransferase activity" 0.563727545686938
181 0.496911461947655 2 113 "GO:0004497" "monooxygenase activity" 0.731921353362899
302 0.615249824409042 2 22 "GO:0004500;GO:0016715" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen" 0.79302915062035
-531 0.400479726946512 2 20 "GO:0004503;GO:0016716" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen" 0.658941672122148
548 0.00116181254115498 3 288 "GO:0004519;GO:0004518" "nuclease activity" 0.0186228409700276
-132 0.727314000131924 2 56 "GO:0004520;GO:0004536" "deoxyribonuclease activity" 0.859153824392329
589 0.166874244865393 2 44 "GO:0004523" "RNA-DNA hybrid ribonuclease activity" 0.426380723615249
641 0.0791673142213739 5 60 "GO:0004527" "exonuclease activity" 0.265019993061925
993 0.000884495409875854 2 90 "GO:0004540" "ribonuclease activity" 0.0151660428738526
640 0.473126445522999 2 10 "GO:0004551" "nucleotide diphosphatase activity" 0.708557786835879
-823 0.0102303591724662 2 78 "GO:0004553" "hydrolase activity, hydrolyzing O-glycosyl compounds" 0.0790642573081956
-925 0.176677425446041 3 17 "GO:0004568" "chitinase activity" 0.437154420273603
-242 0.573978508972442 2 43 "GO:0004601;GO:0016684" "oxidoreductase activity, acting on peroxide as acceptor" 0.766120568479208
-647 0.0449249255765271 3 77 "GO:0004620;GO:0016298" "lipase activity" 0.190681324521109
-565 0.470001852339273 3 13 "GO:0004622" "lysophospholipase activity" 0.708557786835879
-499 0.288841799149558 2 36 "GO:0004623" "phospholipase A2 activity" 0.563727545686938
-194 0.82817398555121 4 10 "GO:0004659" "prenyltransferase activity" 0.925780205276888
-117 0.371114423833876 2 489 "GO:0004672;GO:0016301;GO:0016773" "kinase activity" 0.631297905760887
-181 0.321317179336807 3 244 "GO:0004674" "protein serine/threonine kinase activity" 0.583027693521279
493 0.562141312684827 2 11 "GO:0004683" "calmodulin-dependent protein kinase activity" 0.762445086810499
16 0.984836369508904 5 12 "GO:0004693;GO:0097472" "cyclin-dependent protein serine/threonine kinase activity" 0.989578759731258
1592 0.0505529864538261 5 12 "GO:0004709" "MAP kinase kinase kinase activity" 0.205494607273345
