"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-4 0.996196570291515 4 10 "GO:0000030" "mannosyltransferase activity" 0.996245387812742
1878 0.000884295264522369 3 25 "GO:0000049" "tRNA binding" 0.0120341051215435
-218 0.798089542837321 2 11 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 0.884483724438544
1119 0.00155396326187485 3 64 "GO:0000149;GO:0019905" "SNARE binding" 0.0187073269602626
984 0.163276647143025 5 16 "GO:0000175" "3'-5'-exoribonuclease activity" 0.379967216028006
-1621 0.00709308650276889 4 22 "GO:0000217" "DNA secondary structure binding" 0.0534972548281124
-191 0.502200871063202 2 99 "GO:0000287" "magnesium ion binding" 0.6892198780679
-1291 0.129183581226849 2 11 "GO:0000403" "Y-form DNA binding" 0.331430007573801
438 0.0196228872790967 2 231 "GO:0000976;GO:0001067;GO:1990837;GO:0003690" "double-stranded DNA binding" 0.0944917495131887
228 0.36805892058492 3 126 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 0.585412034255621
194 0.548070887458977 2 77 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 0.723823577108269
371 0.135252286628807 3 131 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.338671725718533
2050 0.00275458045528205 2 17 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.0253583436030377
1272 0.0274169201058396 3 24 "GO:0001046" "core promoter sequence-specific DNA binding" 0.116755047525548
288 0.73487202318656 2 11 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 0.842545579697411
282 0.584458556138871 3 30 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 0.73468083562838
-779 0.285392445204016 2 15 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 0.496265751938095
391 0.387331614031243 2 39 "GO:0001530" "lipopolysaccharide binding" 0.601313261073325
182 0.603340540877593 2 65 "GO:0001540" "amyloid-beta binding" 0.750804265885248
654 0.0453388075946636 5 75 "GO:0001594" "trace-amine receptor activity" 0.166953491495644
218 0.79829601327121 2 11 "GO:0001601" "peptide YY receptor activity" 0.884483724438544
697 0.0171327568325741 4 94 "GO:0001609" "G protein-coupled adenosine receptor activity" 0.0855415866415172
-199 0.292673681125565 4 227 "GO:0001664" "G protein-coupled receptor binding" 0.500583946406021
-1225 0.13279067760357 4 12 "GO:0001733;GO:0050694" "galactose 3-O-sulfotransferase activity" 0.334674888926305
-518 0.277847009103628 2 35 "GO:0001786" "phosphatidylserine binding" 0.488573673311436
-708 0.0710746435644845 3 52 "GO:0001965" "G-protein alpha-subunit binding" 0.219175994440233
-322 0.344033656898053 4 69 "GO:0002020" "protease binding" 0.562932408559364
599 0.270137934532086 3 27 "GO:0002039" "p53 binding" 0.480415758571267
223 0.23430004182007 2 231 "GO:0003682" "chromatin binding" 0.44334224543263
-939 0.0600983677521059 3 32 "GO:0003684" "damaged DNA binding" 0.197294627052615
-343 0.421191677545221 4 44 "GO:0003697" "single-stranded DNA binding" 0.63381247630603
243 0.0830184319771456 2 423 "GO:0003700;GO:0140110" "transcription regulator activity" 0.241718783338108
-2196 0.00134190642655054 2 17 "GO:0003707" "steroid hormone receptor activity" 0.01647124358864
1185 1.41485201105005e-05 2 108 "GO:0003712" "transcription coregulator activity" 0.000590464905944888
1456 3.36917594958292e-05 3 65 "GO:0003713" "transcription coactivator activity" 0.00105455207221945
979 0.0247363252337035 3 42 "GO:0003714" "transcription corepressor activity" 0.110606711402131
1342 1.51055087618813e-34 2 716 "GO:0003723" "RNA binding" 9.45604848493769e-32
-142 0.850269232839192 4 14 "GO:0003725" "double-stranded RNA binding" 0.922475805471983
1276 0.00537293727559093 2 38 "GO:0003727" "single-stranded RNA binding" 0.0431212658271785
1447 3.28385887053943e-05 4 66 "GO:0003729" "mRNA binding" 0.00105455207221945
983 0.139776528092047 5 18 "GO:0003730" "mRNA 3'-UTR binding" 0.347222645181037
2515 4.36502038539038e-15 2 78 "GO:0003735" "structural constituent of ribosome" 9.10834253751459e-13
2346 6.80326748795604e-05 5 23 "GO:0003743" "translation initiation factor activity" 0.0015773501657261
1281 0.0262750808554294 3 24 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.113435866313785
-211 0.78748051911387 4 13 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.878721577478222
-565 0.0689783666428613 1 83 "GO:0003774" "cytoskeletal motor activity" 0.215902287592156
-587 0.107776336058156 2 60 "GO:0003777" "microtubule motor activity" 0.297215798997382
-599 0.000762557293202882 2 258 "GO:0003779" "actin binding" 0.0106080192343334
-322 0.64806782890442 2 16 "GO:0003823" "antigen binding" 0.784701084901677
-172 0.582909565963659 4 82 "GO:0003887" "DNA-directed DNA polymerase activity" 0.73468083562838
1393 0.00793471850233469 4 29 "GO:0003899;GO:0034062;GO:0097747" "RNA polymerase activity" 0.0578793958518492
373 0.0742512290975844 2 186 "GO:0003924" "GTPase activity" 0.226818511672613
-658 0.244154177829239 4 25 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.451883629236525
2166 0.00295606875730877 3 15 "GO:0003954" "NADH dehydrogenase activity" 0.0268188266967433
278 0.124928161701196 2 249 "GO:0003964;GO:0034061" "DNA polymerase activity" 0.324923472302396
-1506 0.0123669297879128 6 22 "GO:0003993" "acid phosphatase activity" 0.0717469718955516
-730 0.413388180931569 3 10 "GO:0003995" "acyl-CoA dehydrogenase activity" 0.626588380782475
