"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-2074 0.0201389435119764 2 10 "GO:0000030" "mannosyltransferase activity" 0.100855829107978
-608 0.281941539614855 2 25 "GO:0000049" "tRNA binding" 0.517581829322285
-2173 0.0106482691293443 2 11 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 0.0628850610846182
522 0.140127785493336 3 64 "GO:0000149;GO:0019905" "SNARE binding" 0.339999975654373
-563 0.425396379911222 5 16 "GO:0000175" "3'-5'-exoribonuclease activity" 0.664085121756671
-197 0.743046278602828 4 22 "GO:0000217" "DNA secondary structure binding" 0.908490176572989
-209 0.463040271001887 4 99 "GO:0000287" "magnesium ion binding" 0.69734566389846
-360 0.672511021079134 6 11 "GO:0000403" "Y-form DNA binding" 0.859167141215383
233 0.214620858214855 2 231 "GO:0000976;GO:0001067;GO:1990837;GO:0003690" "double-stranded DNA binding" 0.453894112305741
421 0.0956483422968635 3 126 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 0.271138636429334
83 0.797981103133238 2 77 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 0.930098149685754
0 0.998631422644002 3 131 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.999354985653367
1473 0.0315055609584159 5 17 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.137918992065756
1078 0.0615618445388959 4 24 "GO:0001046" "core promoter sequence-specific DNA binding" 0.210841339137095
-394 0.643152599785754 3 11 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity" 0.839083531300621
878 0.0885747189731555 3 30 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 0.264037019415216
-268 0.713513785373918 2 15 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 0.889760218414487
533 0.238762061323496 2 39 "GO:0001530" "lipopolysaccharide binding" 0.476326736933109
-89 0.800046001252779 4 65 "GO:0001540" "amyloid-beta binding" 0.930098149685754
-125 0.702735689394441 2 75 "GO:0001594" "trace-amine receptor activity" 0.880299320432975
-572 0.501532400592025 2 11 "GO:0001601" "peptide YY receptor activity" 0.73013786690839
0 0.999354985653367 2 94 "GO:0001609" "G protein-coupled adenosine receptor activity" 0.999354985653367
35 0.85436433886887 2 227 "GO:0001664" "G protein-coupled receptor binding" 0.940605932682152
-260 0.749407509067293 5 12 "GO:0001733;GO:0050694" "galactose 3-O-sulfotransferase activity" 0.912702530498298
765 0.109012131732264 2 35 "GO:0001786" "phosphatidylserine binding" 0.289159298577955
827 0.0349391253829375 3 52 "GO:0001965" "G-protein alpha-subunit binding" 0.145812616598126
852 0.0123836851387684 4 69 "GO:0002020" "protease binding" 0.070042013410067
-197 0.717330337556173 3 27 "GO:0002039" "p53 binding" 0.892741135805496
549 0.00348692760581001 2 231 "GO:0003682" "chromatin binding" 0.0287212721215403
-928 0.0631713754047491 5 32 "GO:0003684" "damaged DNA binding" 0.210841339137095
-683 0.108783598620069 4 44 "GO:0003697" "single-stranded DNA binding" 0.289159298577955
244 0.0820058881360498 2 423 "GO:0003700;GO:0140110" "transcription regulator activity" 0.249202359093045
-1239 0.0702982665757511 3 17 "GO:0003707" "steroid hormone receptor activity" 0.225675460904719
137 0.615725603911673 2 108 "GO:0003712" "transcription coregulator activity" 0.826386123775801
179 0.6100242884545 2 65 "GO:0003713" "transcription coactivator activity" 0.823006906406286
-151 0.730020084426453 2 42 "GO:0003714" "transcription corepressor activity" 0.90314737717581
-8 0.942319403940134 4 715 "GO:0003723" "RNA binding" 0.984794569059305
883 0.241967895119375 2 14 "GO:0003725" "double-stranded RNA binding" 0.476326736933109
-87 0.848905765111271 5 38 "GO:0003727" "single-stranded RNA binding" 0.938895775547095
-227 0.515231222821535 2 66 "GO:0003729" "mRNA binding" 0.743167616327836
-93 0.88933789530028 3 18 "GO:0003730" "mRNA 3'-UTR binding" 0.956573062642569
-1946 1.29661953091637e-09 2 78 "GO:0003735" "structural constituent of ribosome" 2.02920956588412e-07
-1910 0.00118062930116757 2 23 "GO:0003743" "translation initiation factor activity" 0.0134377080460163
-1999 0.000524166160440296 2 24 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.00841353888296475
-165 0.832951736728719 4 13 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.938465418245929
531 0.0877028614120193 1 83 "GO:0003774" "cytoskeletal motor activity" 0.263951880980404
484 0.184883224259539 2 60 "GO:0003777" "microtubule motor activity" 0.408964305252549
467 0.00874459894135844 4 258 "GO:0003779" "actin binding" 0.0560341879508104
-1988 0.00485621554385781 2 16 "GO:0003823" "antigen binding" 0.0353487317494766
5 0.988189079313601 2 82 "GO:0003887" "DNA-directed DNA polymerase activity" 0.993819290639872
-827 0.114945642294379 4 29 "GO:0003899;GO:0034062;GO:0097747" "RNA polymerase activity" 0.297313138992463
-211 0.312505485832355 3 186 "GO:0003924" "GTPase activity" 0.547978807089788
2069 0.000249632547172748 5 25 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.00601038363577462
-2103 0.00390502694930264 2 15 "GO:0003954" "NADH dehydrogenase activity" 0.0305403417151616
84 0.640943178918299 5 249 "GO:0003964;GO:0034061" "DNA polymerase activity" 0.839083531300621
