"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-649 0.278578835856687 2 23 "GO:0000002" "mitochondrial genome maintenance" 0.611579326353097
1003 0.033770077182595 2 37 "GO:0000018" "regulation of DNA recombination" 0.221373059873272
-3794 2.92103332936052e-05 2 10 "GO:0000027" "ribosomal large subunit assembly" 0.00170023871302629
-85 0.922053692015228 6 11 "GO:0000038" "very long-chain fatty acid metabolic process" 0.967659857874777
278 0.402510309334578 3 75 "GO:0000041" "transition metal ion transport" 0.709788621889594
-1994 0.00937364527630034 2 14 "GO:0000045;GO:1905037" "autophagosome organization" 0.10291115946978
355 0.668829664855414 -1 12 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.856434518586226
-1675 0.0353938052056029 5 13 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.224795193651897
-463 0.429536620209572 2 24 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.724894706716731
708 0.0410520539695563 3 69 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.241089183022104
1217 0.0110797267995503 2 36 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.112551201581532
-103 0.819165747205104 2 41 "GO:0000096" "sulfur amino acid metabolic process" 0.931787756548478
-278 0.615323354942495 2 27 "GO:0000097" "sulfur amino acid biosynthetic process" 0.840122338792789
-293 0.118048553762376 2 240 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.414983812374672
-347 0.628954216531948 2 16 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.84567253217184
-271 0.379526347803176 3 87 "GO:0000165" "MAPK cascade" 0.691026865792496
-1611 0.00503484575531409 4 25 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.0686356434312506
25 0.972519247334487 -1 16 "GO:0000186" "obsolete activation of MAPKK activity" 0.987533052773846
488 0.181824359942895 -1 62 "GO:0000187" "obsolete activation of MAPK activity" 0.508373954314301
-608 0.00331233610905941 6 196 "GO:0000209" "protein polyubiquitination" 0.0505417439566854
338 0.159616396394927 3 145 "GO:0000226" "microtubule cytoskeleton organization" 0.477068014731373
1513 0.00248288251132419 2 33 "GO:0000272" "polysaccharide catabolic process" 0.0438420395120399
282 0.483383566229616 2 51 "GO:0000278" "mitotic cell cycle" 0.758819906175489
752 0.0366946155702119 2 64 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 0.226097268302641
816 0.36896411174393 2 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.681034321149574
-1650 0.0464399040147452 4 12 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.257056654752083
-2271 0.00612593675902691 2 12 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.0782395126844651
-2779 8.13560945554383e-07 2 26 "GO:0000387" "spliceosomal snRNP assembly" 9.77857805545855e-05
-2821 3.13318552148957e-18 3 79 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 1.64868222140781e-15
-2021 0.01114304827272 2 13 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 0.112759076944332
-2808 0.000151792082415481 9 15 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.00578789809905986
-2790 0.000167833322894568 3 15 "GO:0000469" "cleavage involved in rRNA processing" 0.00613290934077234
452 0.585545128849007 2 12 "GO:0000578" "embryonic axis specification" 0.823321633893474
1731 0.0296718675678016 2 13 "GO:0000722;GO:0006312" "mitotic recombination" 0.201202792708469
597 0.0969356615094575 5 64 "GO:0000723;GO:0032200" "telomere organization" 0.377660171916857
83 0.817454027717304 2 64 "GO:0000724;GO:0000725" "recombinational repair" 0.931279287952921
-412 0.482497168995975 2 24 "GO:0000731" "DNA synthesis involved in DNA repair" 0.758819906175489
90 0.717934027302946 2 133 "GO:0000902" "cell morphogenesis" 0.879901145117245
-179 0.552060401223433 2 92 "GO:0000904" "cell morphogenesis involved in differentiation" 0.805585643715392
328 0.297351076037359 2 84 "GO:0000910" "cytokinesis" 0.632441941030147
730 0.0425119463383906 3 64 "GO:0001101;GO:0043200" "response to acid chemical" 0.245132815988648
339 0.224743845682599 3 107 "GO:0001501" "skeletal system development" 0.558885688082153
569 0.00780853101896807 2 183 "GO:0001503" "ossification" 0.0938093384059589
-115 0.678986948970775 3 107 "GO:0001505" "regulation of neurotransmitter levels" 0.862232242332599
889 0.0287944709851763 4 50 "GO:0001508" "action potential" 0.196774683537659
-2346 1.09343094192578e-05 3 29 "GO:0001510" "RNA methylation" 0.000799115780057424
461 0.0351358740852662 3 175 "GO:0001525" "angiogenesis" 0.22383168212672
819 0.124580243730846 2 29 "GO:0001539;GO:0060285;GO:0060294;GO:0030317;GO:0097722" "cilium movement involved in cell motility" 0.423920751706797
466 0.468160358680542 2 20 "GO:0001541" "ovarian follicle development" 0.753127355521688
-154 0.514387387966761 4 149 "GO:0001558" "regulation of cell growth" 0.779240023880293
76 0.841316870029901 3 57 "GO:0001568" "blood vessel development" 0.937202488923267
1466 0.0769001182801116 5 12 "GO:0001569" "branching involved in blood vessel morphogenesis" 0.334973859594327
-689 0.2124453675119 3 27 "GO:0001570" "vasculogenesis" 0.544249037900496
-271 0.546495053826436 3 41 "GO:0001649" "osteoblast differentiation" 0.802138711554322
169 0.606635950790211 5 77 "GO:0001654" "eye development" 0.836858749279209
296 0.585314236295559 3 28 "GO:0001656" "metanephros development" 0.823321633893474
395 0.416060819203961 2 35 "GO:0001657;GO:0072164;GO:0072163" "mesonephric epithelium development" 0.71874984591308
682 0.244850940559804 2 24 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.579385912685684
-332 0.396049187956994 2 54 "GO:0001659" "temperature homeostasis" 0.705010428629805
-275 0.638771257717424 3 24 "GO:0001662;GO:0002209;GO:0042596" "fear response" 0.847620451983214
213 0.402097680629246 3 129 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.70953655113048
1011 0.000141008104836338 4 118 "GO:0001667" "ameboidal-type cell migration" 0.00553719886305082
-212 0.675799487020547 6 32 "GO:0001676" "long-chain fatty acid metabolic process" 0.860613964351916
226 0.482148243714854 2 80 "GO:0001701;GO:0043009" "chordate embryonic development" 0.758819906175489
2064 0.00304150085485806 2 17 "GO:0001702" "gastrulation with mouth forming second" 0.0493962268464911
248 0.699924579002177 2 20 "GO:0001704" "formation of primary germ layer" 0.873163379494892
830 0.316341485284085 4 12 "GO:0001707" "mesoderm formation" 0.646191341445984
-237 0.673856568525587 2 26 "GO:0001708" "cell fate specification" 0.859387606297052
-594 0.29190610554902 3 26 "GO:0001709" "cell fate determination" 0.626942827509773
1019 0.000199264170855155 4 111 "GO:0001736;GO:0007164" "establishment of planar polarity" 0.00699018711359884
-850 0.267974591674157 6 14 "GO:0001745" "compound eye morphogenesis" 0.597492500588735
-617 0.324529597520073 2 21 "GO:0001754;GO:0046530" "photoreceptor cell differentiation" 0.65136976149627
1117 0.0820067079556216 2 20 "GO:0001755" "neural crest cell migration" 0.34576866767827
774 0.08859058299892 2 40 "GO:0001756;GO:0035282" "segmentation" 0.362491172426374
323 0.385187413648781 2 60 "GO:0001764" "neuron migration" 0.696035772877708
-511 0.337847620244387 3 29 "GO:0001776;GO:0002260" "leukocyte homeostasis" 0.660152585790981
1113 0.120874607645622 5 16 "GO:0001778" "plasma membrane repair" 0.420804003411478
-1046 0.132966147636493 4 17 "GO:0001816" "cytokine production" 0.436350620759005
-119 0.547507156438859 3 216 "GO:0001817" "regulation of cytokine production" 0.802502132919576
-188 0.525430380865495 2 95 "GO:0001818" "negative regulation of cytokine production" 0.785454070025628
-148 0.569190529475837 3 123 "GO:0001819" "positive regulation of cytokine production" 0.815081251372859
458 0.0961089653748627 2 110 "GO:0001822" "kidney development" 0.376593864823304
384 0.581722807138936 2 17 "GO:0001824" "blastocyst development" 0.822785511862271
1142 0.186987716190061 3 11 "GO:0001833" "inner cell mass cell proliferation" 0.516769623210137
