"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-289 0.62892775331103 2 23 "GO:0000002" "mitochondrial genome maintenance" 0.951869980520606
385 0.415386508355704 2 37 "GO:0000018" "regulation of DNA recombination" 0.900835428114936
1616 0.0751217960424502 2 10 "GO:0000027" "ribosomal large subunit assembly" 0.620055236956585
-893 0.302109921721344 4 11 "GO:0000038" "very long-chain fatty acid metabolic process" 0.847389343335667
143 0.666842786708331 3 75 "GO:0000041" "transition metal ion transport" 0.953596796640721
-2055 0.00740300823899576 3 14 "GO:0000045;GO:1905037" "autophagosome organization" 0.381908130917605
-59 0.943585085187409 -1 12 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.997033968278819
-300 0.706423769861772 2 13 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.956705432841852
377 0.266503732216058 2 72 "GO:0000075;GO:0007093" "cell cycle checkpoint signaling" 0.832638375006411
-625 0.286809601482757 2 24 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.840770803554937
-510 0.140973008360902 2 69 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.719291093927906
597 0.212876185851255 2 36 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.767776285325265
-474 0.291163874008964 2 41 "GO:0000096" "sulfur amino acid metabolic process" 0.841815552217126
-232 0.67494703192363 2 27 "GO:0000097" "sulfur amino acid biosynthetic process" 0.95435924437123
332 0.0767144178585811 2 240 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.620055236956585
-947 0.186978318452493 2 16 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.755420040810887
-402 0.192916180369935 2 87 "GO:0000165" "MAPK cascade" 0.763251835418495
489 0.394827080136141 3 25 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.892632643996868
-1479 0.0393851394970482 -1 16 "GO:0000186" "obsolete activation of MAPKK activity" 0.557822148913504
267 0.464728957583432 -1 62 "GO:0000187" "obsolete activation of MAPK activity" 0.917635795412403
374 0.0706283427566621 6 196 "GO:0000209" "protein polyubiquitination" 0.620055236956585
-333 0.165875660804022 4 145 "GO:0000226" "microtubule cytoskeleton organization" 0.73561361081324
