"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"evm.TU.chromosome_14.829",785.695671843309,-2.71963146042812,0.146134859239369,-18.6104224179212,2.64523797088826e-77,2.93594962388888e-73
"evm.TU.chromosome_13.1471",538.284469024305,2.03422124038037,0.117338656308202,17.3363263598084,2.50227405641115e-67,1.38863698760537e-63
"evm.TU.chromosome_1.676",119.409041005546,2.29752883282799,0.153425932736107,14.9748402493322,1.07225170887585e-50,3.96697390560434e-47
"evm.TU.chromosome_11.1412",46.1945720553928,-2.58170750901208,0.172680624052875,-14.9507654560107,1.53969160279313e-50,4.27225927485023e-47
"evm.TU.chromosome_14.4764",93.2305240027275,2.24578522965847,0.155434924436179,14.4483952869973,2.56594608580616e-47,5.69588712127251e-44
"evm.TU.chromosome_1.1627",100.439012281376,1.74503730525953,0.122029309044025,14.3001490291972,2.18341488881589e-46,4.03895364182793e-43
"evm.TU.chromosome_1.422",210.246919089859,-2.2043914428498,0.154669041503306,-14.252312042696,4.33681702617964e-46,6.87633316765255e-43
"evm.TU.chromosome_11.2852",144.210569981624,2.9518409275279,0.210047717030982,14.0531921472515,7.36384754202451e-45,1.02164179836162e-41
"evm.TU.chromosome_12.1447",103.771295774651,1.83332119319769,0.130672319388411,14.0299123929095,1.02277842208778e-44,1.26131307852802e-41
"evm.TU.chromosome_11.655",221.24749993023,1.83802096335496,0.132128139545316,13.9108971766349,5.43928498604836e-44,6.03706240601508e-41
"evm.TU.chromosome_10.1663",25.6749131037693,3.0662281742169,0.225987771662238,13.5681154412182,6.18929694599251e-42,6.24500061850644e-39
"evm.TU.chromosome_14.1313",32.8819035382329,1.97848875435542,0.147194372653395,13.4413341943055,3.4613891800541e-41,3.2014965424517e-38
"evm.TU.chromosome_2.2047",57.1080108631872,3.75307990564439,0.28023266377541,13.3927282247592,6.66854271231344e-41,5.69339658184361e-38
"evm.TU.chromosome_12.1836",38.7620799007747,-4.36154352398282,0.329939345169736,-13.2192282849414,6.79575943537639e-40,5.38758099808875e-37
"evm.TU.chromosome_10.3117",71.3262095315987,1.34128361149365,0.103229303147814,12.9932448499926,1.33638560470325e-38,9.88836255106758e-36
"evm.TU.chromosome_12.221",124.903407482051,-0.938960618923366,0.0734340592422981,-12.7864458074588,1.95198648859385e-37,1.35406862730645e-34
