"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"evm.TU.chromosome_14.829",785.695671843309,2.91911142607096,0.246959733867243,11.8201918197732,3.06982786508496e-32,2.2115039940072e-28
"evm.TU.chromosome_1.676",119.409041005546,-2.45855369817095,0.257597082334432,-9.544183015936,1.37184586013843e-21,4.94138878821863e-18
"evm.TU.chromosome_13.1471",538.284469024305,-1.78471306268107,0.19064650585679,-9.36137305354922,7.87071201870175e-21,1.89002031275758e-17
"evm.TU.chromosome_12.1836",38.7620799007747,4.68866883958733,0.518765861055738,9.0381214177152,1.59387274542632e-19,2.87056481451279e-16
"evm.TU.chromosome_11.1412",46.1945720553928,2.45843359385844,0.275431753155179,8.9257450010615,4.42709323646599e-19,6.3785559351002e-16
"evm.TU.chromosome_11.2852",144.210569981624,-3.02702633854337,0.342529360959458,-8.83727552599982,9.8081044446925e-19,1.17762640699275e-15
"evm.TU.chromosome_14.1313",32.8819035382329,-2.24728125633956,0.260235365523353,-8.63557207845333,5.84338640474795e-18,6.01367937997203e-15
"evm.TU.chromosome_14.4764",93.2305240027275,-2.29652218036852,0.266984300094153,-8.60171245859265,7.85353546943406e-18,7.07210869022537e-15
"evm.TU.chromosome_10.526",65.4232860446311,-3.99589082315412,0.480984837963607,-8.30772720419195,9.75524755705892e-17,7.80853371122805e-14
"evm.TU.chromosome_10.1663",25.6749131037693,-3.01033518235645,0.363417418361045,-8.28340918806971,1.19698258247378e-16,8.62306252414114e-14
"evm.TU.chromosome_1.422",210.246919089859,2.16004681077657,0.26387755073381,8.18579225390625,2.70518043776171e-16,1.77164726123957e-13
"evm.TU.chromosome_12.3227",676.994673179568,3.200935674593,0.40360273321746,7.93090683275514,2.17551387819134e-15,1.30603349820753e-12
"evm.TU.chromosome_12.1447",103.771295774651,-1.77030390968627,0.223899800771277,-7.90667925379136,2.64345557874485e-15,1.4648810760983e-12
"evm.TU.chromosome_2.2047",57.1080108631872,-3.53698525162885,0.447887210410406,-7.89704454473673,2.85594326369308e-15,1.46958680511749e-12
"evm.TU.chromosome_11.655",221.24749993023,-1.68772703435586,0.218426440216086,-7.72675246039913,1.10324882371691e-14,5.29853635070443e-12
"evm.TU.chromosome_1.1627",100.439012281376,-1.58591150367709,0.208111334368179,-7.620495579887,2.52703619708764e-14,1.13779804773871e-11
"evm.TU.chromosome_10.1267",73.9038646626186,1.46977107473245,0.199477232437173,7.3681144297777,1.73058217978356e-13,7.3335964842122e-11
"evm.TU.chromosome_14.60",49.645372939647,2.74652071067268,0.373979770003424,7.34403550932054,2.07248101160358e-13,8.29452955977342e-11
"evm.TU.chromosome_1.75",59.9370826634591,-1.76411420804661,0.24265136438512,-7.27015985472362,3.59062339907622e-13,1.36141320878658e-10
"evm.TU.chromosome_1.592",86.3861706945713,-2.38932733009663,0.334037859726816,-7.15286384618402,8.49858902272055e-13,3.06119176598394e-10
"evm.TU.chromosome_10.2488_evm.TU.chromosome_10.2489",46.2073360783869,-2.05672101189494,0.289004415582435,-7.11657296913612,1.10643611523623e-12,3.62307535189172e-10
"evm.TU.chromosome_10.3117",71.3262095315987,-1.23450589750117,0.173419240404016,-7.11862129383763,1.09011978890471e-12,3.62307535189172e-10
"evm.TU.chromosome_13.2105",38.9003793049493,-3.79800160668333,0.535368412033244,-7.09418322283737,1.30117650329744e-12,4.07551109989337e-10
"evm.TU.chromosome_12.221",124.903407482051,0.893017273283568,0.126849980759462,7.03994803891175,1.9231153454582e-12,5.77255122861704e-10
"evm.TU.chromosome_12.3663",31.2069412483041,1.93918439240624,0.278812170671594,6.95516407241189,3.52151949814116e-12,1.01476105858436e-09
"evm.TU.chromosome_11.1996",57.3412690357261,-1.9330733443895,0.28656595477503,-6.74564899346494,1.52344511181467e-11,4.22111484058187e-09
"evm.TU.chromosome_1.1099",42.6903275109507,-2.49389202256518,0.374790797774309,-6.65409086182247,2.8505653943687e-11,6.84515770034404e-09
"evm.TU.chromosome_11.2472",256.965136241768,-1.47897774481918,0.222120923502886,-6.65843506093636,2.76758521009814e-11,6.84515770034404e-09
"evm.TU.chromosome_12.3566",67.4408689969181,-2.53740221971551,0.380464483258812,-6.66922230948279,2.57162463491214e-11,6.84515770034404e-09
"evm.TU.chromosome_13.2916",33.4966356663918,-5.35883443077568,0.80491529944659,-6.65763768493416,2.78263693666952e-11,6.84515770034404e-09
"evm.TU.chromosome_11.85",14.7864853489401,5.18130081062415,0.783058423179929,6.61674870897034,3.67184877183622e-11,8.53290275880908e-09
"evm.TU.chromosome_2.393",16.3357613521635,-4.18944841952009,0.638937854851532,-6.55689499019208,5.49396713052674e-11,1.23682935025983e-08
"evm.TU.chromosome_1.653",47.4473885318341,-2.24425658242266,0.343669392304717,-6.5302777398133,6.56478399261193e-11,1.43311223887201e-08
"evm.TU.chromosome_11.95",27.967301064185,-2.55566654358559,0.392330850849955,-6.5140595954892,7.31464542841477e-11,1.51618087533833e-08
"evm.TU.chromosome_13.1617",359.931441429078,2.14809255358308,0.329815918411951,6.51300447815269,7.36623134881196e-11,1.51618087533833e-08
"evm.TU.chromosome_1.96",48.6033821597454,-2.05448764966088,0.316668861833739,-6.48781076157578,8.7092572430611e-11,1.74281914386145e-08
"evm.TU.chromosome_10.2561",17.1539799125082,2.62308682049519,0.40735090293009,6.43937892766958,1.19963363476881e-10,2.33571910942554e-08
"evm.TU.chromosome_12.210",45.7968427953029,-2.2394368324201,0.349398819227429,-6.40940011580983,1.46093323645688e-10,2.76962185143036e-08
"evm.TU.chromosome_1.1193",23.219538081373,-3.17818335983238,0.496703863710604,-6.3985476901466,1.56861752126302e-10,2.89751810850739e-08
"evm.TU.chromosome_14.5055",59.3144812696858,-1.50140649571888,0.234954733415459,-6.3901947149284,1.65674653328365e-10,2.98380050644385e-08
"evm.TU.chromosome_10.2013_evm.TU.chromosome_10.2014_evm.TU.chromosome_10.2015_evm.TU.chromosome_10.2016",36.4805562316536,-3.06807242349301,0.48067135165057,-6.382890124318,1.73776596266678e-10,3.05338195001255e-08
"evm.TU.chromosome_11.1193",94.3162068925944,-2.2800335627945,0.357428934130381,-6.37898431010288,1.78266297288016e-10,3.05769144205445e-08
"evm.TU.chromosome_10.3002",123.344045337561,1.60718191586218,0.254345824354442,6.31888461287458,2.63457892759802e-10,4.41383874288747e-08
"evm.TU.chromosome_2.502",55.3218684777685,3.685769166459,0.583625262590384,6.31530093488405,2.69636262193459e-10,4.41468098373109e-08
"evm.TU.chromosome_2.1994",29.4595490748627,-2.05757979437563,0.326102465906765,-6.30961127096754,2.79737187533232e-10,4.47828155330979e-08
"evm.TU.chromosome_13.1986",79.337632969309,2.21015308839228,0.350530182457013,6.30517199089787,2.87874044261289e-10,4.50835785838766e-08
"evm.TU.chromosome_13.223",376.85055227163,-2.82013538450919,0.453843625675046,-6.21389224166038,5.16879811144349e-10,7.92255778613594e-08
"evm.TU.chromosome_13.1661",118.531094418293,-1.331017654938,0.215064080501961,-6.18893518541728,6.05719806549542e-10,9.09084476329771e-08
"evm.TU.chromosome_10.1588",312.147186490888,-1.3157289650169,0.214590348421385,-6.13135201417931,8.71353647307077e-10,1.28106768881636e-07
"evm.TU.chromosome_1.1827",31.7782396250875,-1.98763298668901,0.328029447577074,-6.05931266650075,1.36704434966775e-09,1.93101715588361e-07
"evm.TU.chromosome_13.51",17.6265742751942,3.01734416188341,0.497877863182675,6.06041036368858,1.35774699415256e-09,1.93101715588361e-07
"evm.TU.chromosome_10.967_evm.TU.chromosome_10.970",227.442240718223,-1.1692627964788,0.194046778712322,-6.02567486169018,1.68405431004783e-09,2.33306293261242e-07
