gene,mutated_p_updown
evm.TU.chromosome_2.502,-243.6593932
evm.TU.chromosome_5.1573,199.6485753
evm.TU.chromosome_4.1224,188.4758926
evm.TU.chromosome_9.2848,186.4037699
evm.TU.chromosome_12.2419,-184.2648654
evm.TU.chromosome_13.1603,184.3084322
evm.TU.chromosome_7.1702,-175.8065459
evm.TU.chromosome_14.5320,171.7131151
evm.TU.chromosome_7.1258,167.9538603
evm.TU.chromosome_14.6590,167.1700196
evm.TU.chromosome_10.2221,164.3883081
evm.TU.chromosome_13.1509,157.7646553
evm.TU.chromosome_11.1996,155.9244745
evm.TU.chromosome_1.592,151.8751318
evm.TU.chromosome_4.1003,147.3250372
evm.TU.chromosome_6.876,136.4398812
evm.TU.chromosome_11.2501,136.0301192
evm.TU.chromosome_13.2916,135.9521371
evm.TU.chromosome_8.74,-132.9159595
evm.TU.chromosome_6.991,-132.0209608
evm.TU.chromosome_5.1461,131.1899729
evm.TU.chromosome_10.526,128.7322284
evm.TU.chromosome_9.2863,128.3103214
evm.TU.chromosome_13.69,126.2712222
evm.TU.chromosome_6.1242,125.9844235
evm.TU.chromosome_6.1946,118.8745302
evm.TU.chromosome_4.1317,115.7362453
evm.TU.chromosome_14.7108,-113.4982792
evm.TU.chromosome_1.189,112.8766251
evm.TU.chromosome_12.929,112.1794373
evm.TU.chromosome_5.1142,109.688483
evm.TU.chromosome_10.3011,-109.4340172
evm.TU.chromosome_14.7143,108.1835581
evm.TU.chromosome_10.2013_evm.TU.chromosome_10.2014_evm.TU.chromosome_10.2015_evm.TU.chromosome_10.2016,107.4161213
evm.TU.chromosome_4.219,106.1007834
evm.TU.chromosome_12.3131,105.2013323
evm.TU.chromosome_1.947,102.9756724
evm.TU.chromosome_1.1800,102.539019
evm.TU.chromosome_12.1699,102.3930736
evm.TU.chromosome_11.1933,102.2938872
evm.TU.chromosome_10.3049,100.2783204
evm.TU.chromosome_12.1570,99.74593097
evm.TU.chromosome_9.204,99.58375701
evm.TU.chromosome_12.2433,-98.2014088
evm.TU.chromosome_13.429,-98.20187666
evm.TU.chromosome_13.2681,97.85062287
evm.TU.chromosome_2.2047,97.55396347
