GO:0043679;GO:0044306	GO:0016324	GO:0001527	GO:0045121;GO:0098857	GO:0005874;GO:0099513;GO:0099512;GO:0099081	GO:0042734	GO:0120111;GO:0032838;GO:0032839	GO:0031902	GO:0005657	GO:0098858	GO:0030425	GO:0090575	GO:0005856	GO:0048786	GO:0031225	GO:0140513	GO:0070603;GO:1904949	GO:0005911;GO:0070161	GO:0000228	GO:0060170	GO:0000943	GO:0005876	GO:0036064	GO:0012505	GO:0098793	GO:0005623	GO:0042470;GO:0048770	GO:0098798	GO:0048471	GO:0031519;GO:0000152	GO:0055037	GO:0005768;GO:0005769	GO:0030426;GO:0030427	GO:0030136;GO:0030135	GO:0043204	GO:0043195	GO:0042383	GO:0030667	GO:0030176;GO:0031227	GO:0005615	GO:0043235	GO:0043232;GO:0043228	GO:0034704	GO:0005796	GO:0031901	GO:0043209	GO:0030672;GO:0099501;GO:0030658	GO:0032154	GO:0005739	GO:0031965	GO:0000123;GO:0031248;GO:1902493	GO:0016234	GO:0070013;GO:0043233;GO:0031974	GO:0098552;GO:0009897	GO:0005764;GO:0000323;GO:0005773	GO:0005794	GO:0031594	GO:0005811	GO:0005635;GO:0031967;GO:0031975	GO:0031234	GO:0098802	GO:0018995;GO:0033646;GO:0033643	GO:0098797;GO:0098796	GO:0045335	GO:0030141;GO:0099503	GO:0032993;GO:0000786;GO:0044815	GO:0005930	GO:0015629	GO:0005777;GO:0042579	GO:0097730	GO:1902494;GO:1990234;GO:0140535	GO:0000932;GO:0036464;GO:0035770	GO:0042025;GO:0033648;GO:0033647	GO:0005925;GO:0030055	GO:0005887;GO:0031226	GO:0098590	GO:0044391;GO:0015934	GO:0016459	GO:0016605	GO:0043197;GO:0044309;GO:0098794	GO:0005788	GO:0098687;GO:0000781	GO:0005912	GO:0030684	GO:0099568	GO:0005681	GO:0005938	GO:0030139	GO:0005783	GO:0061695	GO:0005581	GO:0030286	GO:0097525;GO:0030532;GO:0120114	GO:0000428;GO:0030880	GO:0099055;GO:0098936;GO:0099699;GO:0099240;GO:0099056;GO:0098889;GO:0005882	GO:0005901;GO:0044853	GO:0030027	GO:0005929	GO:0005770	GO:0000776	GO:0031982;GO:0031410;GO:0097708	GO:0098800	GO:0016607	GO:0031256;GO:0030673;GO:0032589	GO:0045177	GO:0009986	GO:0005829	GO:0000785	GO:0015935	GO:0005618	GO:0005643	GO:0016323	GO:0016328	GO:0099080	GO:0097225	GO:0010008	GO:0005730	GO:0019005	GO:0030496;GO:0000922	GO:0071013	GO:0030315	GO:0097060;GO:0045211	GO:0031012;GO:0030312	GO:0042151	GO:0031088	GO:0031461;GO:0000151	GO:0005789	GO:0001650	GO:1990904	GO:0031301;GO:0031300	GO:0005903;GO:0098862	GO:0019898;GO:0019897	GO:0035631;GO:0009898;GO:0098562	GO:0030018	GO:0031463	GO:0031526	GO:0005743;GO:0019866;GO:0031966	GO:0005694	GO:0008076;GO:0034705	GO:0034774;GO:0060205;GO:0031983	GO:0043202;GO:0005775	GO:0005813	GO:0070062;GO:1903561;GO:0065010;GO:0043230	GO:0098791;GO:0031984;GO:0005802	GO:0014069;GO:0099572	GO:0030659;GO:0012506	GO:0005741;GO:0031968;GO:0019867	GO:0030670;GO:0030666	GO:1990204	GO:0005759	GO:0034707;GO:1902710	unknown	GO:0005622	GO:0005576	GO:0031253	GO:0005875	GO:0030662	GO:0044322;GO:0036513;GO:0000836;GO:0000835;GO:0000153	GO:0042641	GO:0005892	GO:0043025;GO:0044297	GO:0005667	GO:1902495;GO:1990351;GO:0034703;GO:0034702	GO:0005765;GO:0098852;GO:0005774	GO:0015630	GO:0031970	GO:0000139	GO:0031514	GO:0060076	GO:0072686;GO:1990023;GO:0051233;GO:0097431	GO:0001726	GO:0016363	GO:0045202	GO:0030120;GO:0030117	GO:0005871	GO:0008021;GO:0070382;GO:0030133	GO:0043005;GO:0120025;GO:0042995	GO:0005923;GO:0070160	GO:0035097;GO:0034708	GO:0005814	GO:0005654	GO:0005604;GO:0062023	GO:1905369;GO:1905368	GO:0030054	GO:0005905	GO:0005819	GO:0016604	GO:0032580	GO:0098588;GO:0031090	GO:0030175	GO:0005815	GO:0005840	GO:0140534	GO:0030424
0	0.742	1.000	0.959	0.979	0.577	1.000	0.988	1.000	0.897	0.577	1.000	0.969	0.742	1.000	1.000	1.000	0.856	1.000	0.990	1.000	1.000	1.000	1.000	0.062	0.980	1.000	1.000	0.928	1.000	0.990	0.969	0.928	0.979	0.691	0.714	0.959	0.990	1.000	1.000	1.000	0.938	1.000	1.000	0.948	0.979	0.825	1.000	0.897	1.000	1.000	1.000	1.000	0.990	0.990	0.887	0.917	1.000	0.990	1.000	1.000	1.000	0.773	0.971	0.959	1.000	1.000	1.000	1.000	0.983	0.990	0.990	1.000	0.959	0.485	0.247	1.000	1.000	1.000	0.918	1.000	0.990	1.000	1.000	1.000	1.000	1.000	0.969	0.845	1.000	1.000	1.000	1.000	1.000	0.979	1.000	0.887	0.990	1.000	1.000	0.835	1.000	1.000	0.876	1.000	0.649	0.763	1.000	1.000	1.000	1.000	0.804	0.981	0.969	1.000	0.938	0.979	1.000	1.000	1.000	0.984	0.454	1.000	1.000	1.000	0.990	0.866	1.000	0.990	1.000	1.000	0.979	1.000	0.948	1.000	1.000	0.928	0.990	0.825	1.000	1.000	1.000	0.979	0.990	0.897	0.742	0.938	1.000	1.000	1.000	1.000	1	0.948	1.000	0.825	1.000	0.983	1.000	1.000	1.000	0.598	1.000	0.825	1.000	1.000	1.000	0.979	0.990	1.000	1.000	1.000	1.000	0.773	1.000	1.000	0.979	0.309	1.000	1.000	1.000	0.887	1.000	1.000	0.412	1.000	1.000	1.000	1.000	0.629	0.804	1.000	0.989	1.000	0.588
0.742	0	1.000	0.848	0.990	0.897	0.973	0.977	1.000	0.839	0.909	1.000	0.877	0.991	0.779	1.000	1.000	0.829	1.000	0.694	1.000	1.000	0.953	0.965	0.848	1.000	0.927	1.000	0.959	1.000	0.875	0.719	0.953	0.880	0.935	0.976	0.785	0.985	1.000	0.935	0.779	0.868	0.960	0.843	0.970	0.990	0.976	0.990	0.959	0.996	1.000	1.000	0.925	0.915	0.930	0.887	0.988	1.000	0.977	0.980	0.949	1.000	0.875	1.000	0.972	1.000	1.000	0.909	1.000	1.000	0.995	1.000	1.000	0.841	0.517	0.000	1.000	0.935	1.000	0.918	1.000	1.000	0.880	1.000	0.959	1.000	0.973	0.834	0.897	1.000	1.000	1.000	1.000	1.000	1.000	0.846	0.986	0.885	0.961	1.000	0.469	1.000	1.000	0.904	0.603	0.853	0.868	1.000	1.000	1.000	1.000	0.726	0.906	0.990	0.958	0.914	0.993	1.000	0.925	1.000	0.875	0.923	0.988	1.000	1.000	1.000	0.974	0.985	1.000	1.000	0.622	0.929	0.989	0.927	1.000	0.324	0.995	1.000	0.917	1.000	0.878	0.990	0.769	0.992	0.957	0.875	0.993	0.922	0.976	1.000	0.906	1	0.969	0.930	0.739	1.000	0.759	1.000	0.943	0.843	0.913	1.000	0.891	0.891	0.984	1.000	0.990	0.981	1.000	0.985	0.988	1.000	0.959	1.000	1.000	0.974	0.663	0.883	1.000	1.000	0.986	0.985	1.000	0.755	0.552	0.995	0.998	1.000	0.738	0.922	0.952	1.000	0.992	0.892
1.000	1.000	0	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.526	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.895	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.895	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.912	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.018	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.912	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1	0.596	0.018	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.596	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
0.959	0.848	1.000	0	0.976	0.948	0.973	0.953	1.000	0.831	0.789	1.000	0.909	1.000	0.852	0.963	1.000	0.888	1.000	0.917	1.000	0.980	0.991	0.983	0.977	0.980	0.963	1.000	0.939	1.000	0.884	0.741	0.811	0.960	0.946	0.964	0.736	0.989	0.963	0.915	0.696	0.899	0.720	0.989	0.857	0.941	0.976	1.000	0.896	0.750	1.000	0.930	0.979	0.883	0.947	0.875	0.952	0.983	0.989	0.880	0.841	1.000	0.629	0.971	0.963	1.000	1.000	0.997	1.000	1.000	0.917	0.996	1.000	0.892	0.568	0.515	1.000	0.984	1.000	0.884	1.000	1.000	0.978	1.000	0.984	1.000	0.982	0.967	0.888	0.983	1.000	0.986	1.000	1.000	0.989	0.000	0.973	0.971	0.938	0.981	0.579	1.000	1.000	0.960	0.871	0.811	0.725	1.000	1.000	1.000	1.000	0.897	0.981	0.976	0.986	0.829	1.000	1.000	0.968	1.000	0.469	0.931	0.947	1.000	1.000	0.992	0.981	0.985	1.000	0.987	0.927	0.964	0.925	0.694	1.000	0.831	0.963	0.996	0.955	0.991	0.990	0.997	0.909	0.966	0.953	0.744	0.927	0.876	1.000	0.983	0.988	1	0.949	0.869	0.912	0.963	1.000	1.000	0.971	0.843	0.720	1.000	0.923	0.974	0.984	0.987	0.957	1.000	1.000	0.993	0.963	1.000	0.909	1.000	0.981	0.954	0.557	0.983	1.000	1.000	0.915	0.945	1.000	0.784	0.931	1.000	1.000	1.000	0.493	0.843	0.965	0.989	0.976	0.784
0.979	0.990	0.000	0.976	0	0.991	0.919	0.988	1.000	0.871	0.872	1.000	0.868	0.573	1.000	0.973	0.940	0.932	0.877	1.000	1.000	0.000	0.832	0.583	0.991	0.980	0.988	1.000	0.938	0.986	0.893	0.946	0.887	0.960	0.929	1.000	0.942	0.996	0.976	0.946	0.998	0.713	1.000	1.000	0.947	0.794	0.976	0.959	0.946	0.984	1.000	0.761	0.988	0.975	0.986	0.953	0.952	1.000	0.944	0.840	1.000	0.992	0.983	0.794	0.968	1.000	0.787	0.943	0.993	0.966	0.829	0.982	1.000	0.909	0.888	0.826	1.000	0.887	1.000	0.976	0.971	0.945	0.935	1.000	0.927	1.000	0.960	0.894	0.984	0.975	1.000	0.216	1.000	0.982	0.189	0.962	0.925	0.859	0.938	0.698	0.851	1.000	0.996	0.697	0.974	0.979	0.800	0.967	1.000	1.000	1.000	0.994	0.906	0.000	0.986	0.967	0.988	1.000	0.891	1.000	0.984	0.989	0.872	1.000	1.000	0.969	0.984	0.985	0.991	0.992	0.878	0.951	0.946	0.911	0.945	1.000	0.975	0.941	0.977	1.000	1.000	0.842	0.930	0.966	0.758	0.936	0.978	0.953	1.000	1.000	1.000	1	0.919	0.886	0.848	0.216	0.845	1.000	0.871	1.000	0.864	0.984	0.993	0.989	0.548	1.000	0.981	0.806	1.000	0.844	0.914	0.954	0.976	0.968	0.111	0.980	0.655	0.950	1.000	0.861	0.932	0.923	0.985	0.911	0.914	0.747	0.994	0.992	0.891	0.824	0.831	0.989	0.984	0.906
0.577	0.897	1.000	0.948	0.991	0	0.892	1.000	1.000	0.983	0.526	1.000	0.974	0.618	1.000	1.000	1.000	0.897	1.000	0.991	1.000	1.000	1.000	0.930	0.509	1.000	1.000	1.000	0.940	1.000	0.991	0.983	0.877	0.991	0.750	0.571	1.000	1.000	1.000	0.991	0.767	0.957	1.000	1.000	1.000	0.990	0.802	1.000	0.983	1.000	1.000	0.986	0.991	0.966	0.888	0.957	1.000	1.000	0.991	0.960	0.862	1.000	0.690	0.926	0.888	1.000	1.000	0.991	0.957	1.000	1.000	0.983	1.000	0.991	0.483	0.000	1.000	1.000	1.000	0.845	1.000	0.991	1.000	1.000	0.922	1.000	0.922	0.957	0.888	1.000	1.000	1.000	1.000	1.000	0.863	0.966	0.897	1.000	1.000	1.000	0.741	1.000	0.991	0.784	1.000	0.905	0.853	1.000	1.000	1.000	1.000	0.974	1.000	0.974	1.000	1.000	0.983	1.000	1.000	1.000	1.000	0.000	0.991	1.000	1.000	1.000	0.862	1.000	0.991	1.000	1.000	0.974	1.000	1.000	1.000	1.000	0.974	0.991	0.802	1.000	1.000	1.000	0.931	0.983	0.724	0.776	0.991	0.957	1.000	0.991	0.976	1	0.922	1.000	0.776	1.000	0.983	1.000	1.000	0.922	0.698	1.000	0.724	0.957	1.000	1.000	0.914	1.000	1.000	1.000	1.000	0.989	0.638	1.000	1.000	0.888	0.422	1.000	1.000	1.000	0.957	0.991	1.000	0.207	1.000	1.000	0.991	1.000	0.595	0.961	1.000	1.000	1.000	0.638
1.000	0.973	1.000	0.973	0.919	0.892	0	1.000	1.000	0.973	0.865	1.000	0.459	1.000	1.000	0.959	1.000	0.946	1.000	1.000	1.000	0.980	0.959	1.000	0.824	1.000	0.986	0.986	0.905	1.000	1.000	0.919	0.878	0.973	0.824	0.824	0.973	1.000	1.000	0.797	0.892	0.392	1.000	1.000	0.986	0.973	0.892	0.986	0.892	0.986	1.000	0.958	0.946	0.946	0.959	0.946	1.000	1.000	0.919	1.000	0.892	1.000	0.838	1.000	0.919	0.986	0.959	0.527	0.986	1.000	0.541	0.986	1.000	0.946	0.905	0.284	1.000	1.000	1.000	0.865	1.000	0.986	1.000	1.000	0.000	0.986	0.932	1.000	0.905	1.000	1.000	0.986	1.000	1.000	0.905	1.000	1.000	0.959	1.000	1.000	0.730	0.986	0.973	0.959	1.000	0.946	0.770	1.000	1.000	1.000	1.000	1.000	1.000	0.905	1.000	0.959	1.000	1.000	0.973	1.000	1.000	0.392	0.932	1.000	1.000	0.568	0.865	1.000	0.986	0.973	1.000	0.986	0.946	0.959	0.568	1.000	0.959	0.986	0.946	1.000	1.000	1.000	0.905	0.946	0.405	0.811	0.973	1.000	1.000	0.959	1.000	1	0.959	1.000	0.959	0.946	0.966	1.000	0.986	1.000	0.378	1.000	0.892	0.973	0.903	0.973	0.973	1.000	1.000	0.986	1.000	0.986	0.878	0.984	0.944	0.919	0.689	1.000	1.000	0.986	0.946	0.973	0.985	0.311	0.966	0.986	0.959	0.986	0.716	1.000	0.959	0.986	1.000	0.838
0.988	0.977	1.000	0.953	0.988	1.000	1.000	0	1.000	1.000	0.977	1.000	0.988	1.000	1.000	1.000	1.000	0.965	1.000	1.000	1.000	1.000	1.000	0.965	1.000	1.000	0.927	1.000	0.872	1.000	0.907	0.547	1.000	0.919	1.000	1.000	1.000	0.965	1.000	0.977	1.000	0.953	1.000	1.000	0.756	1.000	0.953	1.000	0.988	1.000	1.000	1.000	0.977	1.000	0.686	0.837	1.000	1.000	0.930	1.000	1.000	0.988	0.721	0.985	0.930	1.000	1.000	1.000	1.000	1.000	0.977	1.000	1.000	0.988	0.895	0.953	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.985	1.000	1.000	1.000	0.977	0.953	0.988	1.000	1.000	1.000	1.000	1.000	1.000	0.988	1.000	0.709	1.000	0.430	1.000	1.000	0.977	0.977	0.930	0.674	1.000	1.000	1.000	1.000	1.000	1.000	0.988	1.000	0.000	0.977	1.000	0.942	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.930	1.000	0.988	1.000	0.988	0.919	1.000	1.000	1.000	0.986	0.988	1.000	1.000	1.000	1.000	0.977	0.849	0.953	1.000	0.000	0.988	0.988	1.000	1.000	1.000	1	1.000	0.965	0.965	1.000	0.966	1.000	0.986	1.000	0.977	0.988	1.000	0.465	0.984	1.000	0.907	1.000	1.000	1.000	1.000	1.000	0.977	1.000	1.000	0.965	0.953	1.000	1.000	1.000	0.942	1.000	1.000	0.942	1.000	0.988	1.000	1.000	0.000	1.000	0.942	1.000	1.000	0.988
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	0.849	1.000	1.000	0.836	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.973	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.671	1.000	1.000	1.000	1.000	1.000	1.000	0.534	1.000	0.986	0.986	0.986	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.973	1.000	1.000	1.000	1.000	0.959	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.973	1.000	1.000	0.836	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.981	0.986	1.000	0.863	1.000	1.000	1.000	0.918	0.945	1.000	1.000	1.000	1.000	1.000	0.986	1.000	1.000	0.712	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.986	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.822	1.000	1.000	1.000	0.795	0.986	1.000	1.000	1.000	1.000	1.000	1.000	0.986	1.000	1	0.986	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.959	1.000	1.000	1.000	1.000	0.863	1.000	1.000	1.000	0.712	1.000	1.000	0.986	1.000	1.000	0.781	1.000	1.000	1.000	0.795	1.000	1.000	1.000
0.897	0.839	1.000	0.831	0.871	0.983	0.973	1.000	1.000	0	0.903	0.986	0.798	1.000	1.000	0.984	1.000	0.734	1.000	0.898	1.000	1.000	0.972	0.991	0.927	1.000	0.976	1.000	0.839	1.000	1.000	0.952	0.802	0.984	0.911	0.976	0.950	1.000	1.000	0.919	0.984	0.734	1.000	1.000	0.960	0.892	0.976	0.960	0.960	0.984	1.000	0.972	0.984	0.903	0.968	0.871	0.917	1.000	0.992	1.000	0.992	1.000	0.935	0.971	0.952	1.000	0.988	0.935	1.000	0.966	0.952	0.976	1.000	0.823	0.806	0.452	1.000	0.871	1.000	0.887	1.000	0.982	0.989	0.985	0.984	1.000	0.935	0.984	0.911	0.983	1.000	0.946	1.000	0.982	0.989	0.992	0.815	0.944	0.992	1.000	0.726	1.000	0.992	0.944	0.897	0.702	0.669	1.000	1.000	1.000	1.000	0.847	1.000	0.847	0.986	0.952	0.952	1.000	0.976	1.000	1.000	0.879	0.960	1.000	1.000	1.000	0.984	0.985	0.984	1.000	0.829	0.984	0.968	0.968	1.000	0.930	0.935	0.992	1.000	1.000	1.000	0.944	0.823	0.952	0.895	0.887	0.927	0.992	1.000	0.984	0.988	1	0.976	0.823	0.766	0.960	0.983	1.000	0.957	1.000	0.879	0.992	0.984	0.976	0.984	1.000	0.984	0.991	1.000	0.984	0.889	0.989	0.815	1.000	1.000	0.992	0.000	1.000	1.000	1.000	0.952	0.984	1.000	0.548	0.983	0.968	0.984	0.975	0.726	0.000	0.839	0.989	1.000	0.823
0.577	0.909	1.000	0.789	0.872	0.526	0.865	0.977	1.000	0.903	0	0.986	0.935	0.409	1.000	0.978	0.960	0.922	1.000	0.926	1.000	0.980	0.972	0.504	0.673	0.980	0.988	1.000	0.860	1.000	0.929	0.793	0.604	0.936	0.351	0.690	0.727	0.978	0.951	0.982	0.782	0.889	0.800	1.000	0.917	0.990	0.873	1.000	0.935	0.964	0.971	0.901	0.982	0.943	0.928	0.822	0.607	1.000	0.966	0.840	0.759	1.000	0.717	0.897	0.870	0.993	1.000	0.987	0.964	0.881	0.877	0.957	1.000	0.974	0.586	0.508	0.977	0.984	0.669	0.739	1.000	0.972	0.957	0.985	0.911	1.000	0.963	0.901	0.864	0.975	1.000	0.986	1.000	0.982	0.379	0.815	0.877	0.970	0.953	1.000	0.686	1.000	0.978	0.591	0.931	0.855	0.715	0.989	0.961	1.000	1.000	0.936	0.604	0.858	1.000	0.865	0.982	1.000	0.996	1.000	0.734	0.628	0.995	1.000	1.000	0.927	0.955	1.000	0.977	0.979	0.939	0.951	0.978	0.855	0.854	0.901	0.968	0.992	0.692	0.991	1.000	0.977	0.933	0.811	0.473	0.846	0.920	0.884	0.976	0.983	0.800	1	0.964	0.982	0.766	0.957	0.862	0.985	0.986	0.608	0.538	0.990	0.764	0.960	0.968	0.987	0.975	0.981	0.529	0.985	0.963	0.966	0.705	1.000	1.000	0.843	0.000	0.967	0.964	0.972	0.927	1.000	0.970	0.633	0.845	0.989	0.902	0.992	0.762	0.824	0.982	1.000	0.992	0.528
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.986	0.986	0	0.958	1.000	1.000	0.000	0.920	1.000	0.986	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.958	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.986	1.000	1.000	0.861	1.000	1.000	1.000	1.000	1.000	1.000	0.986	1.000	0.814	1.000	1.000	1.000	1.000	0.931	0.986	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.861	1.000	0.986	1.000	1.000	0.625	0.986	1.000	1.000	1.000	1.000	0.986	1.000	0.972	1.000	1.000	0.958	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.861	1.000	1.000	0.986	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.958	1.000	1.000	1.000	0.875	0.972	1.000	1.000	1.000	1.000	1.000	0.986	1.000	1.000	0.972	1.000	1.000	1.000	1.000	1.000	0.986	1.000	1.000	1.000	0.986	1.000	0.986	0.986	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.972	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1	0.986	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	0.968	1.000	1.000	1.000	1.000	0.986	1.000	0.972	0.986	1.000	1.000	1.000	0.972	1.000	0.931	1.000	0.583	1.000	0.970	0.986	1.000	0.972	0.847	1.000	0.986	1.000	0.986	1.000	1.000	1.000
0.969	0.877	1.000	0.909	0.868	0.974	0.459	0.988	1.000	0.798	0.935	0.958	0	1.000	1.000	0.968	0.960	0.747	0.986	0.954	1.000	0.820	0.944	1.000	0.995	0.941	0.939	0.994	0.888	1.000	0.902	0.970	0.896	0.952	0.964	1.000	0.537	1.000	1.000	0.977	0.988	0.000	0.920	1.000	1.000	0.824	0.992	0.938	0.941	0.976	0.957	0.761	0.991	0.972	0.933	0.941	0.786	0.983	0.966	0.880	0.990	0.992	0.960	0.926	0.977	0.876	0.887	0.000	1.000	0.898	0.832	0.982	1.000	0.703	0.809	0.781	1.000	0.935	0.992	0.918	1.000	0.972	0.859	0.955	0.585	0.989	0.899	0.947	0.946	0.983	1.000	1.000	0.988	0.982	0.821	0.915	0.555	0.927	0.977	0.792	0.870	1.000	0.978	0.864	0.940	0.941	0.670	0.978	1.000	1.000	0.980	0.860	0.604	0.902	0.986	0.990	0.972	1.000	0.976	1.000	0.547	0.826	0.988	1.000	1.000	0.837	0.972	0.941	0.985	0.992	0.841	0.951	0.946	0.540	0.599	1.000	0.972	0.976	0.977	0.982	0.990	0.962	0.926	0.974	0.762	0.973	0.942	0.977	1.000	0.989	1.000	1	0.960	0.986	0.910	0.926	0.966	1.000	0.857	1.000	0.887	0.969	0.978	0.983	0.000	0.960	0.986	0.889	1.000	0.889	0.420	0.862	0.910	1.000	0.870	0.954	0.724	0.683	0.988	0.972	0.902	0.985	0.985	0.732	0.914	0.951	0.940	1.000	0.920	0.608	0.963	0.978	1.000	0.918
0.742	0.991	1.000	1.000	0.573	0.618	1.000	1.000	1.000	1.000	0.409	1.000	1.000	0	1.000	0.991	1.000	0.927	1.000	1.000	1.000	1.000	1.000	0.509	0.773	1.000	1.000	1.000	0.991	1.000	0.991	0.991	1.000	1.000	1.000	0.714	1.000	1.000	1.000	1.000	0.945	0.991	0.980	1.000	1.000	1.000	0.873	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.973	0.964	1.000	0.991	1.000	1.000	1.000	0.991	0.971	0.991	1.000	1.000	1.000	1.000	1.000	0.955	1.000	1.000	0.991	0.373	0.145	1.000	1.000	1.000	0.982	1.000	1.000	1.000	1.000	0.991	1.000	0.936	0.982	0.991	0.991	1.000	1.000	1.000	1.000	0.421	1.000	1.000	1.000	1.000	1.000	0.936	1.000	1.000	0.500	1.000	1.000	0.964	1.000	1.000	1.000	1.000	0.991	1.000	0.573	1.000	1.000	0.991	1.000	1.000	1.000	1.000	0.573	1.000	1.000	1.000	1.000	0.991	0.985	0.991	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.991	1.000	1.000	1.000	1.000	1.000	0.982	0.991	0.473	0.864	1.000	1.000	1.000	1.000	1.000	1	0.964	1.000	0.500	1.000	1.000	1.000	1.000	1.000	0.509	1.000	0.991	1.000	1.000	1.000	0.909	1.000	1.000	1.000	1.000	0.989	0.736	1.000	1.000	0.991	0.391	0.936	1.000	1.000	1.000	1.000	1.000	0.518	1.000	1.000	1.000	1.000	0.782	1.000	1.000	0.989	1.000	0.809
