delta.rank	pval	level	nseqs	term	name	p.adj
969	1.4380978652645e-13	3	1532	GO:0006351;GO:0097659;GO:0032774	RNA biosynthetic process	5.05059970280892e-10
1353	3.53146716446653e-12	2	658	GO:0006396	RNA processing	6.20125634080323e-9
1933	4.07071424778555e-11	2	284	GO:0034470	ncRNA processing	4.76544947940762e-8
1878	6.7701368877228e-11	2	294	GO:0051276	chromosome organization	5.94418018742062e-8
2279	8.9381538136608e-11	2	196	GO:0006260	DNA replication	6.27815923871535e-8
1183	7.02179883300189e-10	2	677	GO:0006974	cellular response to DNA damage stimulus	4.11009291691711e-7
-878	1.28093590635606e-9	2	1234	GO:0007155;GO:0022610	biological adhesion	6.42663843303212e-7
923	2.38612521911183e-9	4	1068	GO:0006259	DNA metabolic process	1.00810193068271e-6
-1056	2.58340471985888e-9	2	799	GO:0006952	defense response	1.00810193068271e-6
2102	3.54662373938469e-9	8	191	GO:0006364;GO:0016072	rRNA metabolic process	1.2455742572719e-6
2410	7.28310787095748e-9	2	139	GO:1903046	meiotic cell cycle process	2.32529771298206e-6
1651	1.22191935034632e-8	6	290	GO:1901987	regulation of cell cycle phase transition	3.26216494184825e-6
1294	1.30605187364104e-8	3	475	GO:0010564	regulation of cell cycle process	3.26216494184825e-6
1027	1.38301950702317e-8	2	765	GO:0022402	cell cycle process	3.26216494184825e-6
1263	1.39329368245227e-8	3	498	GO:0006281	DNA repair	3.26216494184825e-6
1893	1.86908022693401e-8	2	214	GO:1901990	regulation of mitotic cell cycle phase transition	4.10263109812015e-6
-830	2.97942060368355e-8	1	1145	GO:0002376	immune system process	6.15513244713919e-6
-736	3.38128990796951e-8	2	1475	GO:0009605	response to external stimulus	6.59727230932718e-6
-880	4.01994608207926e-8	2	990	GO:0043207;GO:0009607;GO:0044419	response to biotic stimulus	7.43055296855914e-6
-1069	4.55110790793628e-8	3	651	GO:0098542;GO:0051707	response to other organism	7.99174548633611e-6
2683	5.2900005054214e-8	6	99	GO:0009451	RNA modification	8.84689608335236e-6
-1199	8.55364120989497e-8	2	492	GO:0048729;GO:0002009	tissue morphogenesis	1.36547217859778e-5
-1068	9.16035180551368e-8	2	622	GO:0006955	immune response	1.39874589308539e-5
-1338	9.75413697586803e-8	2	389	GO:0045087	innate immune response	1.42735537746869e-5
-1217	1.90462728801352e-7	3	450	GO:0035295	tube development	2.67562041420139e-5
1138	2.56338011856609e-7	2	506	GO:0007017	microtubule-based process	3.46253499092466e-5
-1346	3.36896523461847e-7	3	351	GO:0060429	epithelium development	4.37715642611351e-5
-849	3.48976024860986e-7	2	910	GO:0048646	anatomical structure formation involved in morphogenesis	4.37715642611351e-5
1618	3.8583392180705e-7	6	239	GO:0010948;GO:0045786	negative regulation of cell cycle	4.67258183926331e-5
3986	5.23864718911289e-7	4	38	GO:0034502	protein localization to chromosome	6.13270964272149e-5
1122	5.70630847733241e-7	2	490	GO:0034660	ncRNA metabolic process	6.46469528141659e-5
2387	8.94881771852246e-7	3	102	GO:1901991	negative regulation of mitotic cell cycle phase transition	9.8213274460784e-5
-674	9.48103646809242e-7	3	1380	GO:0070887;GO:0071310	cellular response to chemical stimulus	1.00901212351335e-4
3264	1.23600932474513e-6	2	53	GO:0051321	meiotic cell cycle	1.27672492603085e-4
1330	1.40577535789962e-6	7	321	GO:0006397	mRNA processing	1.4105951591267e-4
-858	1.44897555484719e-6	2	791	GO:0022603	regulation of anatomical structure morphogenesis	1.41355615239537e-4
-1477	1.49869474595914e-6	4	258	GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	1.42254485075905e-4
1732	1.57993691085017e-6	2	186	GO:1901988;GO:0045930	negative regulation of cell cycle phase transition	1.46019432392258e-4
-958	1.62748731447412e-6	2	623	GO:0009888	tissue development	1.46557319190593e-4
