delta.rank	pval	level	nseqs	term	name	p.adj
-3154	3.01624288678335e-19	3	196	GO:0006412;GO:0043043	peptide biosynthetic process	1.05930450183831e-15
-2234	9.50642023404277e-15	2	293	GO:0043604	amide biosynthetic process	1.66932739309791e-11
-2171	4.73425181629084e-14	2	294	GO:0006518	peptide metabolic process	5.54223079293781e-11
-7501	2.0580911328553e-13	2	23	GO:0002181	cytoplasmic translation	1.80700401464695e-10
1567	1.22700656465835e-12	2	507	GO:0007017	microtubule-based process	8.6184941101602495e-10
2277	2.20014027548652e-12	2	231	GO:0000226	microtubule cytoskeleton organization	1.28781544125144e-9
1238	7.9015329351058e-12	2	766	GO:0022402	cell cycle process	3.96431195258451e-9
1350	1.42876713200948e-10	2	559	GO:1903047	mitotic cell cycle process	6.27228770952162e-8
-1332	1.51278268941636e-9	2	508	GO:0043603	cellular amide metabolic process	5.90321422803362e-7
1301	1.11190369081315e-8	3	475	GO:0010564	regulation of cell cycle process	3.90500576213578e-6
1828	1.6019540814719e-8	5	232	GO:0016570	histone modification	5.1146024855721e-6
1632	6.14947965867246e-8	3	268	GO:0007018	microtubule-based movement	1.79974771343814e-5
1065	3.03168037381968e-7	2	573	GO:0007010	cytoskeleton organization	8.19020113296517e-5
1427	7.27072942982519e-7	2	294	GO:0051276	chromosome organization	1.82391441125329e-4
1636	1.17665874481565e-6	4	214	GO:1901990	regulation of mitotic cell cycle phase transition	2.68681607142409e-4
-4339	1.22406199153717e-6	2	30	GO:0006613;GO:0045047;GO:0006614	cotranslational protein targeting to membrane	2.68681607142409e-4
2418	1.58068267489875e-6	2	95	GO:0007051	spindle organization	3.26550444367318e-4
680	1.69770102527504e-6	2	1283	GO:0033554	cellular response to stress	3.31240333375886e-4
3195	2.60376206031552e-6	2	52	GO:0007062	sister chromatid cohesion	4.65680778245153e-4
976	2.65194065059882e-6	2	574	GO:0070925	organelle assembly	4.65680778245153e-4
1261	4.80568475986055e-6	4	321	GO:0006397	mRNA processing	8.03693565553822e-4
679	6.14232132536685e-6	3	1138	GO:0035556	intracellular signal transduction	9.80537840667653e-4
1306	6.58889057129008e-6	2	290	GO:1901987	regulation of cell cycle phase transition	0.00100609494288569
589	7.15453069658213e-6	4	1532	GO:0006351;GO:0097659;GO:0032774	RNA biosynthetic process	0.00104608602497395
3765	7.44651213677354e-6	8	34	GO:0031060	regulation of histone methylation	0.00104608602497395
854	8.71473562000592e-6	3	677	GO:0006974	cellular response to DNA damage stimulus	0.00115067655803498
-758	8.84631750197739e-6	2	868	GO:1901566	organonitrogen compound biosynthetic process	0.00115067655803498
-1927	1.1550383496493e-5	2	125	GO:0090103;GO:0090177;GO:0042249;GO:0043932;GO:0033690;GO:0033688	regulation of osteoblast proliferation	0.00144874810141726
-3411	1.78163943009915e-5	2	38	GO:0006413	translational initiation	0.00215762678569249
1491	1.94642596583247e-5	2	199	GO:0006325;GO:0006338	chromatin organization	0.00223058840518666
2313	1.96891345560326e-5	2	82	GO:0031056	regulation of histone modification	0.00223058840518666
1227	2.47193258895164e-5	3	288	GO:0051640	organelle localization	0.00271294601637442
4823	2.92944419535609e-5	3	18	GO:0043486	histone exchange	0.00311763879214866
-2278	3.28670504684788e-5	3	80	GO:0007158	neuron cell-cell adhesion	0.00339497297780287
5237	3.44290886636192e-5	3	15	GO:0007099;GO:0098534	centriole assembly	0.0034547131253323
2077	3.7024759480282e-5	2	95	GO:0034728;GO:0006334	nucleosome organization	0.00351535493158056
-1419	3.70353452359e-5	2	205	GO:0045669;GO:0045667	regulation of osteoblast differentiation	0.00351535493158056
676	4.38911659453558e-5	2	926	GO:0051726	regulation of cell cycle	0.00405646775789709
2307	4.63648073393596e-5	4	75	GO:1902850;GO:0007052	microtubule cytoskeleton organization involved in mitosis	0.00408826791669717
