delta.rank	pval	level	nseqs	term	name	p.adj
-2347	9.60003165823286e-8	2	79	GO:0098800	inner mitochondrial membrane protein complex	5.10721684217988e-5
-3172	1.21578618430497e-5	3	29	GO:0005747;GO:0045271;GO:0030964	respiratory chain complex I	0.0023175054949793
-2780	1.48815903990807e-5	3	37	GO:0022625	cytosolic large ribosomal subunit	0.0023175054949793
-1927	1.7424853345709e-5	3	76	GO:1990204	oxidoreductase complex	0.0023175054949793
-2391	4.91743878042767e-5	2	44	GO:0098803	respiratory chain complex	0.00523215486237504
-2180	7.96977474132132e-5	2	50	GO:0015935	small ribosomal subunit	0.00706653360397157
-2917	2.50907406300664e-4	3	24	GO:0022627	cytosolic small ribosomal subunit	0.0190689628788505
-1240	3.60197554856487e-4	3	127	GO:0044391	ribosomal subunit	0.0239531373979564
1339	5.51551660166606e-4	2	102	GO:0031514	motile cilium	0.032602831467626
-1028	6.13980990408661e-4	2	171	GO:0098798	mitochondrial protein-containing complex	0.0326637886897408
-428	6.92068944993612e-4	2	1036	GO:0098796	membrane protein complex	0.0333986989712102
-2002	7.77037639628667e-4	5	43	GO:0005798	Golgi-associated vesicle	0.0333986989712102
483	8.16133621476942e-4	2	774	GO:0099080	supramolecular complex	0.0333986989712102
3333	0.00139312702217783	3	14	GO:0016442;GO:0031332	RNAi effector complex	0.0519092052099237
-628	0.00146360541005424	2	402	GO:1902495;GO:1990351;GO:0034702	transporter complex	0.0519092052099237
687	0.00200128702797903	2	315	GO:0005874	microtubule	0.0665391539178271
909	0.002240498572956	4	174	GO:0005635;GO:0031967;GO:0031975	organelle envelope	0.0665391539178271
3594	0.00225132475661821	3	11	GO:0005584	collagen type I trimer	0.0665391539178271
2710	0.00247419364334718	2	19	GO:0030992	intraciliary transport particle B	0.069277422013721
2109	0.00263970215258891	2	31	GO:0005583	fibrillar collagen trimer	0.070216077258865
