delta.rank	pval	level	nseqs	term	name	p.adj
1281	3.20619464336613e-16	2	230	GO:0000922	spindle pole	1.30171502520665e-13
1141	1.97503675304481e-13	2	235	GO:0030496	midbody	4.00932460868096e-11
769	6.81543314064806e-12	2	465	GO:0005815	microtubule organizing center	9.22355285034371e-10
-1608	4.89344122786309e-11	2	93	GO:0098798	mitochondrial protein-containing complex	4.96684284628104e-9
-1171	4.06694970117756e-10	2	160	GO:0005743;GO:0019866	organelle inner membrane	2.91057516202515e-8
507	4.30134260397806e-10	2	942	GO:0120025;GO:0042995	cell projection	2.91057516202515e-8
-631	9.20220753327205e-10	2	556	GO:0005739	mitochondrion	5.33728036929779e-8
-1661	2.20795160162926e-9	2	72	GO:0044391	ribosomal subunit	1.12053543782685e-7
-2184	2.76464486197257e-9	3	41	GO:1905368	peptidase complex	1.24716201551207e-7
-909	5.64725205629649e-9	2	233	GO:0031966	mitochondrial membrane	2.29278433485638e-7
-2178	7.27692794766405e-9	3	39	GO:0098800	inner mitochondrial membrane protein complex	2.51440912176449e-7
-2402	7.4317510988113e-9	2	32	GO:0000502;GO:1905369	endopeptidase complex	2.51440912176449e-7
-3468	3.25197782189221e-8	2	14	GO:0005839	proteasome core complex	1.01561768899095e-6
751	5.2248660691671e-8	3	300	GO:0098797	plasma membrane protein complex	1.51521116005846e-6
985	1.21052737389101e-6	3	136	GO:0034703	cation channel complex	3.27649409199833e-5
1502	5.16245832989521e-6	2	51	GO:0097431	mitotic spindle pole	1.30997380121091e-4
-662	6.64051598899579e-6	2	263	GO:1990904	ribonucleoprotein complex	1.58591146560723e-4
451	8.10746806175898e-6	3	579	GO:0043005	neuron projection	1.82868446281897e-4
-1668	1.59753183130338e-5	3	37	GO:1990204	oxidoreductase complex	3.41367328162722e-4
-2139	1.94665435298694e-5	3	22	GO:0005747;GO:0045271;GO:0030964;GO:0098803	respiratory chain complex	3.95170833656349e-4
-2348	2.219005091174e-5	2	18	GO:0022625	cytosolic large ribosomal subunit	4.12462232543487e-4
-1557	2.23501702363466e-5	3	41	GO:0015934	large ribosomal subunit	4.12462232543487e-4
-1781	2.44477718151473e-5	2	31	GO:0015935	small ribosomal subunit	4.31556319867383e-4
908	3.76805115171691e-5	5	115	GO:0005819	spindle	6.37428653165444e-4
1649	4.30000967090259e-5	2	34	GO:0044322;GO:0036513;GO:0000836;GO:0000835;GO:0000153	endoplasmic reticulum quality control compartment	6.98321570554581e-4
-621	4.80252146190391e-5	2	243	GO:0005764;GO:0000323;GO:0005773	vacuole	7.49932197512687e-4
364	5.05024410989133e-5	2	754	GO:0030054	cell junction	7.59407077265141e-4
-1251	1.97063665760711e-4	2	49	GO:0005840	ribosome	0.00285742315353031
-1766	2.31374445937468e-4	2	24	GO:0001750	photoreceptor outer segment	0.00323924224312455
