delta.rank	pval	level	nseqs	term	name	p.adj
862	2.04391781745557e-15	2	1445	GO:0005654	nucleoplasm	1.08736427888636e-12
1221	1.67743328605143e-13	4	579	GO:0005730	nucleolus	4.4619725408968e-11
974	6.78099653885807e-13	2	885	GO:0140513	nuclear protein-containing complex	1.2024967195575e-10
1759	3.99145063501392e-11	2	218	GO:0005694	chromosome	5.30862934456851e-9
-687	9.80502516962316e-10	3	1336	GO:0031410;GO:0097708	intracellular vesicle	1.0432546780479e-7
1027	2.82154575755736e-8	2	460	GO:1990904	ribonucleoprotein complex	2.50177057170086e-6
-610	4.69929545741425e-8	2	1357	GO:0030054	cell junction	3.18316315213904e-6
2116	4.786711506976e-8	2	102	GO:0098687	chromosomal region	3.18316315213904e-6
-705	1.54125962991163e-7	5	902	GO:0030659;GO:0012506	vesicle membrane	8.90341543770496e-6
2518	1.67357433039567e-7	2	66	GO:0030684	preribosome	8.90341543770496e-6
-786	2.22122340444568e-6	3	575	GO:0070161	anchoring junction	1.07426441015009e-4
-1218	2.90629738815958e-6	2	228	GO:0005925;GO:0030055	cell-substrate junction	1.28845850875075e-4
513	3.59154446669138e-6	2	1382	GO:1902494	catalytic complex	1.46977050483063e-4
-894	4.13952492919333e-6	5	416	GO:0030424	axon	1.57301947309347e-4
2500	6.05282669624017e-6	3	50	GO:0070603;GO:1904949	ATPase complex	2.14673586826651e-4
-771	6.7939807601652e-6	2	539	GO:0098797	plasma membrane protein complex	2.25899860275493e-4
827	1.10218214573841e-5	2	444	GO:0016604	nuclear body	3.44918177372255e-4
-931	1.64463644995615e-5	2	334	GO:0045121;GO:0098857	membrane microdomain	4.86081439653707e-4
-602	3.81762591444839e-5	7	755	GO:0005768	endosome	0.00106893525604555
2411	4.22807577502003e-5	3	44	GO:0000775	chromosome, centromeric region	0.00112466815615533
2138	4.96431415870597e-5	3	55	GO:0000781	chromosome, telomeric region	0.00125762625353885
866	1.00676570766335e-4	2	314	GO:0005874	microtubule	0.00243454252944046
1164	1.05781640131952e-4	2	171	GO:0098798	mitochondrial protein-containing complex	0.0024467753282695
-382	1.11019088002834e-4	3	1792	GO:0098588	bounding membrane of organelle	0.00246092311739615
-488	1.44081019123931e-4	4	998	GO:0043005	neuron projection	0.00303618233545069
3396	1.48384850980673e-4	2	19	GO:0030686	90S preribosome	0.00303618233545069
-477	1.5624684731702e-4	2	1036	GO:0098796	membrane protein complex	0.00307864158417239
-775	2.3414667082098e-4	2	352	GO:0030496	midbody	0.00444878674559862
740	2.45508412265452e-4	3	384	GO:0005813	centrosome	0.00450380949397312
-2061	2.97886503331532e-4	4	47	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	0.00528252065907917
-720	3.68214999324478e-4	2	383	GO:0010008	endosome membrane	0.0063190445045362
3434	4.315135758375e-4	2	16	GO:0005839	proteasome core complex	0.00717391319829844
-618	4.46822553974297e-4	2	510	GO:0009986	cell surface	0.00720332117316139
3411	4.70989930953175e-4	2	16	GO:0005732	sno(s)RNA-containing ribonucleoprotein complex	0.00736960715491439
-374	5.16226354020173e-4	2	1474	GO:0098590	plasma membrane region	0.00784664058110663
1863	5.83573008668784e-4	3	52	GO:0000776	kinetochore	0.00862391223921648
-527	6.19284058292312e-4	2	676	GO:0031012;GO:0030312	external encapsulating structure	0.00890430051382459
1606	7.07720787506856e-4	5	68	GO:0000228	nuclear chromosome	0.00990809102509598
915	7.42689957691174e-4	3	210	GO:0016607	nuclear speck	0.0101310527561976
1312	8.00951800758646e-4	2	100	GO:0016605	PML body	0.01065265895009
-3366	8.33335164003174e-4	3	15	GO:0008180	COP9 signalosome	0.0108130318841387
-833	8.77303906914716e-4	2	247	GO:0030667	secretory granule membrane	0.0111125161542531
-732	0.00100326954194356	2	314	GO:0005938	cell cortex	0.0118261165179988
3205	0.00101687268789487	2	16	GO:0030687	preribosome, large subunit precursor	0.0118261165179988
1569	0.00102213694535917	4	67	GO:0000123;GO:0031248;GO:1902493	acetyltransferase complex	0.0118261165179988
