delta.rank	pval	level	nseqs	term	name	p.adj
-1160	1.02380021730268e-15	2	1201	GO:0016491	oxidoreductase activity	9.02991791660964e-13
3597	1.14174758720362e-14	3	108	GO:0042393	histone binding	5.03510685956796e-12
-1179	2.59016199958614e-14	2	1035	GO:0008233;GO:0004175	peptidase activity	7.61507627878325e-12
1045	5.89711983945798e-14	2	1304	GO:0003723	RNA binding	1.30031492460048e-11
1381	1.03784832379607e-13	2	705	GO:0004842;GO:0019787	ubiquitin-like protein transferase activity	1.83076444317627e-11
-1592	5.96279424306582e-13	3	491	GO:0022804	active transmembrane transporter activity	8.76530753730675e-11
-1779	2.49646589274187e-12	4	369	GO:0008237;GO:0004222	metallopeptidase activity	3.14554702485476e-10
1279	3.52972068480209e-12	2	719	GO:0019900	kinase binding	3.8915170549943e-10
-2459	1.74394180702745e-11	4	176	GO:0004553;GO:0016798	hydrolase activity, acting on glycosyl bonds	1.7090629708869e-9
2927	2.04327311104722e-11	3	123	GO:0140030	modification-dependent protein binding	1.80216688394365e-9
-1849	5.68797897765423e-10	4	266	GO:0015291	secondary active transmembrane transporter activity	4.56072496208276e-8
-808	8.35736434605736e-10	2	1472	GO:0022857;GO:0005215	transporter activity	6.14266279435216e-8
-1768	1.45633350438388e-9	2	277	GO:0004252;GO:0008236;GO:0017171	serine hydrolase activity	9.88066269897371e-8
-1752	1.80628762933656e-9	2	279	GO:0016614;GO:0016616	oxidoreductase activity, acting on CH-OH group of donors	1.13796120648203e-7
-2794	3.92784869543249e-9	2	104	GO:0008238	exopeptidase activity	2.3095750329143e-7
-1693	4.81992337560187e-9	4	283	GO:0022853	active ion transmembrane transporter activity	2.65698276080053e-7
1070	8.72911981615044e-9	2	703	GO:0003700;GO:0140110	transcription regulator activity	4.52887275167335e-7
1383	1.2481882236712e-8	3	404	GO:0000976;GO:0001067;GO:1990837;GO:0003690	double-stranded DNA binding	6.11612229598888e-7
1078	3.16364712742642e-8	2	637	GO:0043565	sequence-specific DNA binding	1.46859829810005e-6
-6423	1.02153607834278e-7	2	16	GO:0004298	threonine-type endopeptidase activity	4.50497410549166e-6
4371	1.31116986323772e-7	3	34	GO:0035064;GO:0140034	methylated histone binding	5.50691342559842e-6
1093	3.87032189501901e-7	3	518	GO:0019904	protein domain specific binding	1.55164723245762e-5
-5173	5.01832001403667e-7	4	22	GO:0019829	ATPase-coupled cation transmembrane transporter activity	1.92441663146971e-5
-716	1.24889718765012e-6	3	1145	GO:0015075;GO:0015318	ion transmembrane transporter activity	4.58969716461419e-5
1095	1.82716293803314e-6	2	454	GO:0031625;GO:0044389	ubiquitin-like protein ligase binding	6.44623084538092e-5
1081	3.32583913632168e-6	3	442	GO:0019901	protein kinase binding	1.1282269685522e-4
-953	5.20622114747824e-6	2	550	GO:0030246	carbohydrate binding	1.70069890817622e-4
1791	5.99359723625726e-6	2	150	GO:0004386	helicase activity	1.88798312942104e-4
1820	7.09683688791036e-6	3	143	GO:0008022	protein C-terminus binding	2.15841728797825e-4
-3751	8.12293380870118e-6	2	33	GO:0070003	threonine-type peptidase activity	2.38814253975815e-4
-1678	9.91962000116967e-6	2	163	GO:0015293	symporter activity	2.82229188420376e-4
1608	1.29056417277165e-5	2	173	GO:0019902	phosphatase binding	3.53883561600362e-4
-3608	1.32405414204217e-5	4	34	GO:0004364	glutathione transferase activity	3.53883561600362e-4
1838	1.4002294132868e-5	6	131	GO:0035198;GO:0061980	regulatory RNA binding	3.63235983093811e-4
2382	1.54666939738387e-5	2	77	GO:0031593	polyubiquitin modification-dependent protein binding	3.89760688140735e-4
-1010	1.76511088700464e-5	2	432	GO:0008509	anion transmembrane transporter activity	4.32452167316137e-4
-5342	1.81906510079782e-5	1	15	GO:0044183	protein folding chaperone	4.33625788892886e-4
-3502	2.35707640616199e-5	2	34	GO:0033764;GO:0016229	steroid dehydrogenase activity	5.47089839535493e-4
1005	2.50515429932101e-5	2	420	GO:0003682	chromatin binding	5.6655028000029e-4
-2289	2.91803897579502e-5	3	78	GO:0051536;GO:0051540	iron-sulfur cluster binding	6.43427594162802e-4
-2934	3.14685164095151e-5	2	47	GO:0008484	sulfuric ester hydrolase activity	6.76956865199813e-4
