delta.rank	pval	level	nseqs	term	name	p.adj
-2596	5.66838038125872e-16	2	78	GO:0003735	structural constituent of ribosome	3.54840611866796e-13
810	1.78432407457375e-6	1	285	GO:0140657	ATP-dependent activity	4.13569879753252e-4
-2494	1.98196427996766e-6	5	29	GO:0019843	rRNA binding	4.13569879753252e-4
1160	1.07170206644112e-5	5	116	GO:0008017;GO:0015631	tubulin binding	0.00167721373398035
-458	7.4898095065041e-5	2	636	GO:0008233;GO:0004175	peptidase activity	0.00937724150214313
604	1.16034169574045e-4	3	336	GO:0046873	metal ion transmembrane transporter activity	0.0110975545745205
-791	1.2409406073745e-4	4	191	GO:0004252;GO:0008236;GO:0017171	serine-type peptidase activity	0.0110975545745205
815	2.32596471098113e-4	4	165	GO:0005262;GO:0015085	calcium ion transmembrane transporter activity	0.0182006738634273
386	8.22990645957885e-4	3	639	GO:0015075;GO:0015318	ion transmembrane transporter activity	0.0522535565288981
344	8.34721350301887e-4	2	821	GO:0022857;GO:0005215	transporter activity	0.0522535565288981
1158	9.69070373268434e-4	5	65	GO:0043225;GO:0016404;GO:0015662;GO:0140358	P-type transmembrane transporter activity	0.05514891396964
801	0.00124052037941432	4	131	GO:0015291	secondary active transmembrane transporter activity	0.0619993621536498
2872	0.00128752669009177	2	10	GO:0000030	mannosyltransferase activity	0.0619993621536498
1957	0.00149119229912263	4	21	GO:0097604;GO:0097603	temperature-gated cation channel activity	0.063550831104051
577	0.00152278349290857	2	246	GO:0022804	active transmembrane transporter activity	0.063550831104051
-2137	0.00179969434974839	4	17	GO:0015453	oxidoreduction-driven active transmembrane transporter activity	0.0704130414339058
1746	0.00198857657216553	3	25	GO:0000049	tRNA binding	0.0732264078926836
2548	0.00274984798347917	3	11	GO:0008574	plus-end-directed microtubule motor activity	0.093169047447691
-780	0.00295284288379071	2	117	GO:0052689	carboxylic ester hydrolase activity	0.093169047447691
740	0.00297664688331281	2	130	GO:0022853	active ion transmembrane transporter activity	0.093169047447691
