goDivision	input	nSig
CC	cold_results_modified_pvalues.csv	110
CC	cold_results_modified_pvalues.csv	110
CC	cold_sym_results_modified_pvalues.csv	6
CC	heat_results_modified_pvalues.csv	80
CC	heat_sym_results_modified_pvalues.csv	16
CC	sym_control_results_modified_pvalues.csv	13
MF	cold_results_modified_pvalues.csv	148
MF	cold_sym_results_modified_pvalues.csv	5
MF	heat_results_modified_pvalues.csv	129
MF	heat_sym_results_modified_pvalues.csv	24
MF	sym_control_results_modified_pvalues.csv	20
BP	cold_results_modified_pvalues.csv	344
BP	cold_sym_results_modified_pvalues.csv	13
BP	heat_results_modified_pvalues.csv	347
BP	heat_sym_results_modified_pvalues.csv	4
BP	sym_control_results_modified_pvalues.csv	11
