delta.rank	pval	level	nseqs	term	name	p.adj	goDivision
-3154	3.01624288678335e-19	3	196	GO:0006412;GO:0043043	peptide biosynthetic process	1.05930450183831e-15	BP
-2234	9.50642023404277e-15	2	293	GO:0043604	amide biosynthetic process	1.66932739309791e-11	BP
-2171	4.73425181629084e-14	2	294	GO:0006518	peptide metabolic process	5.54223079293781e-11	BP
-7501	2.0580911328553e-13	2	23	GO:0002181	cytoplasmic translation	1.80700401464695e-10	BP
1567	1.22700656465835e-12	2	507	GO:0007017	microtubule-based process	8.6184941101602495e-10	BP
2277	2.20014027548652e-12	2	231	GO:0000226	microtubule cytoskeleton organization	1.28781544125144e-9	BP
1238	7.9015329351058e-12	2	766	GO:0022402	cell cycle process	3.96431195258451e-9	BP
1350	1.42876713200948e-10	2	559	GO:1903047	mitotic cell cycle process	6.27228770952162e-8	BP
-1332	1.51278268941636e-9	2	508	GO:0043603	cellular amide metabolic process	5.90321422803362e-7	BP
1301	1.11190369081315e-8	3	475	GO:0010564	regulation of cell cycle process	3.90500576213578e-6	BP
1828	1.6019540814719e-8	5	232	GO:0016570	histone modification	5.1146024855721e-6	BP
1632	6.14947965867246e-8	3	268	GO:0007018	microtubule-based movement	1.79974771343814e-5	BP
1065	3.03168037381968e-7	2	573	GO:0007010	cytoskeleton organization	8.19020113296517e-5	BP
1427	7.27072942982519e-7	2	294	GO:0051276	chromosome organization	1.82391441125329e-4	BP
1636	1.17665874481565e-6	4	214	GO:1901990	regulation of mitotic cell cycle phase transition	2.68681607142409e-4	BP
-4339	1.22406199153717e-6	2	30	GO:0006613;GO:0045047;GO:0006614	cotranslational protein targeting to membrane	2.68681607142409e-4	BP
2418	1.58068267489875e-6	2	95	GO:0007051	spindle organization	3.26550444367318e-4	BP
680	1.69770102527504e-6	2	1283	GO:0033554	cellular response to stress	3.31240333375886e-4	BP
3195	2.60376206031552e-6	2	52	GO:0007062	sister chromatid cohesion	4.65680778245153e-4	BP
976	2.65194065059882e-6	2	574	GO:0070925	organelle assembly	4.65680778245153e-4	BP
1261	4.80568475986055e-6	4	321	GO:0006397	mRNA processing	8.03693565553822e-4	BP
679	6.14232132536685e-6	3	1138	GO:0035556	intracellular signal transduction	9.80537840667653e-4	BP
1306	6.58889057129008e-6	2	290	GO:1901987	regulation of cell cycle phase transition	0.00100609494288569	BP
589	7.15453069658213e-6	4	1532	GO:0006351;GO:0097659;GO:0032774	RNA biosynthetic process	0.00104608602497395	BP
3765	7.44651213677354e-6	8	34	GO:0031060	regulation of histone methylation	0.00104608602497395	BP
854	8.71473562000592e-6	3	677	GO:0006974	cellular response to DNA damage stimulus	0.00115067655803498	BP
-758	8.84631750197739e-6	2	868	GO:1901566	organonitrogen compound biosynthetic process	0.00115067655803498	BP
-1927	1.1550383496493e-5	2	125	GO:0090103;GO:0090177;GO:0042249;GO:0043932;GO:0033690;GO:0033688	regulation of osteoblast proliferation	0.00144874810141726	BP
-3411	1.78163943009915e-5	2	38	GO:0006413	translational initiation	0.00215762678569249	BP
1491	1.94642596583247e-5	2	199	GO:0006325;GO:0006338	chromatin organization	0.00223058840518666	BP
2313	1.96891345560326e-5	2	82	GO:0031056	regulation of histone modification	0.00223058840518666	BP
1227	2.47193258895164e-5	3	288	GO:0051640	organelle localization	0.00271294601637442	BP
4823	2.92944419535609e-5	3	18	GO:0043486	histone exchange	0.00311763879214866	BP
-2278	3.28670504684788e-5	3	80	GO:0007158	neuron cell-cell adhesion	0.00339497297780287	BP
5237	3.44290886636192e-5	3	15	GO:0007099;GO:0098534	centriole assembly	0.0034547131253323	BP
2077	3.7024759480282e-5	2	95	GO:0034728;GO:0006334	nucleosome organization	0.00351535493158056	BP
-1419	3.70353452359e-5	2	205	GO:0045669;GO:0045667	regulation of osteoblast differentiation	0.00351535493158056	BP
676	4.38911659453558e-5	2	926	GO:0051726	regulation of cell cycle	0.00405646775789709	BP
2307	4.63648073393596e-5	4	75	GO:1902850;GO:0007052	microtubule cytoskeleton organization involved in mitosis	0.00408826791669717	BP
1748	4.65634159077126e-5	2	131	GO:0065004;GO:0071824	protein-DNA complex subunit organization	0.00408826791669717	BP
733	5.70590150646071e-5	2	755	GO:0033043	regulation of organelle organization	0.00487953030550186	BP
-3537	5.83542918083935e-5	2	31	GO:0065002;GO:0071806	intracellular protein transmembrane transport	0.00487953030550186	BP
-865	6.03888059220637e-5	3	532	GO:0034645	cellular macromolecule biosynthetic process	0.00493222061391367	BP
2339	8.36528202414588e-5	2	68	GO:0000086;GO:0044839	cell cycle G2/M phase transition	0.00667701601563644	BP
-2109	9.94869954700124e-5	2	82	GO:1903035	negative regulation of response to wounding	0.00773997229759534	BP
-3012	1.01377769273743e-4	2	40	GO:0006612	protein targeting to membrane	0.00773997229759534	BP
-1571	1.12804871948143e-4	4	146	GO:0060071;GO:0035567	non-canonical Wnt signaling pathway	0.0084291640485506	BP
-4411	1.32429823341517e-4	2	18	GO:0000470	maturation of LSU-rRNA	0.00968944874115433	BP
2206	1.35395339019621e-4	5	72	GO:0050684	regulation of mRNA processing	0.00970425368646753	BP
-1600	1.38475454433572e-4	3	137	GO:0001736;GO:0007164	establishment of tissue polarity	0.0097265159194141	BP
-2691	1.4281368735552e-4	6	48	GO:0033108	mitochondrial respiratory chain complex assembly	0.00983454254887424	BP
2881	1.67268526798256e-4	8	41	GO:2000134;GO:1902807	negative regulation of cell cycle G1/S phase transition	0.0111891441983093	BP
586	1.68856674974485e-4	1	1051	GO:0022414	reproductive process	0.0111891441983093	BP
-4308	1.89903308581012e-4	2	18	GO:0044743	protein transmembrane import into intracellular organelle	0.0123507485136392	BP
-4871	1.97531781725408e-4	2	14	GO:0006825	copper ion transport	0.0126133021349024	BP
5224	2.18901663992318e-4	6	12	GO:0032876;GO:0032875	regulation of DNA endoreduplication	0.0137282614989468	BP
3684	2.288372927408e-4	3	24	GO:0006270	DNA replication initiation	0.0140995889843103	BP
-4248	2.33192908937665e-4	3	18	GO:0000027	ribosomal large subunit assembly	0.0141202326929152	BP
488	2.47356719418504e-4	2	1481	GO:0051641	cellular localization	0.0147240135355557	BP
670	2.52934302560957e-4	6	747	GO:0045892;GO:1903507;GO:1902679;GO:0051253;GO:0045934	negative regulation of nucleobase-containing compound metabolic process	0.0148050878432347	BP
-2728	2.61303635351508e-4	5	43	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	0.0150442355304016	BP
2471	2.77334239121611e-4	4	52	GO:0030071;GO:0010965;GO:1902099;GO:1905818;GO:0033045;GO:0051983	regulation of chromosome segregation	0.0155463961405271	BP
741	2.78878974047041e-4	3	597	GO:0048468	cell development	0.0155463961405271	BP
1167	3.11547930976578e-4	2	232	GO:0044772;GO:0044770	cell cycle phase transition	0.0168375584120043	BP
-2002	3.12852385287476e-4	3	78	GO:0006026	aminoglycan catabolic process	0.0168375584120043	BP
1148	3.19588614317991e-4	2	239	GO:0045786;GO:0010948	negative regulation of cell cycle	0.0168375584120043	BP
-1346	3.21217657632201e-4	2	173	GO:1901136	carbohydrate derivative catabolic process	0.0168375584120043	BP
-4680	3.48569955334025e-4	6	14	GO:0015986;GO:0015985;GO:1902600	ATP synthesis coupled proton transport	0.0180026129872514	BP
4500	3.71637935198478e-4	3	15	GO:0050931;GO:0030318	pigment cell differentiation	0.0189158322958993	BP
-2458	3.92312571425762e-4	3	50	GO:0030195;GO:0050819;GO:0061045;GO:1900047	negative regulation of wound healing	0.0196828821549611	BP
1352	3.99500473114343e-4	2	166	GO:0090068	positive regulation of cell cycle process	0.0197612065010926	BP
1803	4.24241668805213e-4	2	92	GO:0010389;GO:1902749	regulation of cell cycle G2/M phase transition	0.0206935658450543	BP
1441	4.54604247509792e-4	3	143	GO:0140694	non-membrane-bounded organelle assembly	0.0218708235240327	BP
1055	4.64231009808378e-4	4	268	GO:0008380	RNA splicing	0.0220321527898246	BP
1698	4.75617910969422e-4	7	102	GO:1901991	negative regulation of mitotic cell cycle phase transition	0.0220591164862156	BP
2375	4.77361290703982e-4	3	52	GO:0001708	cell fate specification	0.0220591164862156	BP
2489	4.99211648278361e-4	3	47	GO:0031023	microtubule organizing center organization	0.0227692377760208	BP
-1255	5.07416519257576e-4	2	186	GO:0032092	positive regulation of protein binding	0.0228467540465719	BP
3690	5.55811711556628e-4	2	21	GO:1903432	regulation of TORC1 signaling	0.0247089965947706	BP
4491	5.99095234768363e-4	2	14	GO:0007064	mitotic sister chromatid cohesion	0.0263002808063311	BP
-2554	6.32567650760342e-4	6	43	GO:0050482;GO:1903963	arachidonic acid secretion	0.0274268838206212	BP
2602	6.75246696890001e-4	4	41	GO:0001578	microtubule bundle formation	0.0289203219448498	BP
570	7.26337266449405e-4	2	889	GO:0010558;GO:0031327;GO:0009890	negative regulation of biosynthetic process	0.0304882954457957	BP
