"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-43 0.959265845965412 6 34 "GO:0000002" "mitochondrial genome maintenance" 0.990818232804533
1303 0.377068094253614 1 11 "GO:0000003" "reproduction" 0.689460017576434
-467 0.751538728017428 2 11 "GO:0000012" "single strand break repair" 0.909746307080449
-2122 0.000976638012108599 2 58 "GO:0000018" "regulation of DNA recombination" 0.019269397182727
-1094 0.458270389802233 3 11 "GO:0000019" "regulation of mitotic recombination" 0.752606658940541
-777 0.500538635002333 4 18 "GO:0000027" "ribosomal large subunit assembly" 0.78225768052859
-1227 0.287521851203955 2 18 "GO:0000038" "very long-chain fatty acid metabolic process" 0.606317360673962
-10 0.984067523146729 2 96 "GO:0000041" "transition metal ion transport" 0.997060114403898
581 0.522541960046102 6 29 "GO:0000045;GO:1905037" "autophagosome organization" 0.796859471854933
-356 0.801343243024147 4 12 "GO:0000054;GO:0033750" "ribosome localization" 0.927287469357761
-2672 0.0289971836764469 -1 16 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.170869310522956
-4064 0.000427625083396441 2 18 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.0108827484991906
-3900 0.00286622756698532 5 14 "GO:0000076" "DNA replication checkpoint signaling" 0.0407538105880666
709 0.378692589380678 2 37 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.689460017576434
575 0.0833941758719579 4 220 "GO:0000082;GO:0044843;GO:0035278;GO:0035195;GO:0040033;GO:0035194;GO:0016441;GO:0010586;GO:0021915;GO:0072089" "cell cycle G1/S phase transition" 0.315264096514872
-1416 0.0172059665090994 3 68 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.128842973091593
-171 0.774147810027872 2 68 "GO:0000096" "sulfur amino acid metabolic process" 0.917376070221048
694 0.358817155690747 2 42 "GO:0000097" "sulfur amino acid biosynthetic process" 0.673525307742332
-1134 0.442290362607895 2 11 "GO:0000098" "sulfur amino acid catabolic process" 0.74144331908302
-1184 0.31843528642562 2 17 "GO:0000101" "sulfur amino acid transport" 0.639476365755718
-1375 0.330466964855794 2 12 "GO:0000105" "histidine biosynthetic process" 0.651463272071836
-623 0.0123132286329611 3 395 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.103454686504688
-161 0.874405769128065 2 23 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.960226725766375
-3184 0.00228418931869288 2 22 "GO:0000154" "rRNA modification" 0.0343958741559285
827 0.0252343993360652 3 177 "GO:0000165" "MAPK cascade" 0.16054929432656
-295 0.692567712372397 2 43 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.883992470712848
1394 0.344898259947896 -1 11 "GO:0000185" "obsolete activation of MAPKKK activity" 0.661903108708749
31 0.974252440149402 -1 26 "GO:0000186" "obsolete activation of MAPKK activity" 0.994491249524642
52 0.916411215066013 -1 97 "GO:0000187" "obsolete activation of MAPK activity" 0.976527890956878
-58 0.827703517166371 2 341 "GO:0000209" "protein polyubiquitination" 0.940322347093921
-514 0.739701489013101 2 10 "GO:0000212" "meiotic spindle organization" 0.905483314539564
-664 0.0410020319438937 2 230 "GO:0000226" "microtubule cytoskeleton organization" 0.208853124235025
-1077 0.427474843720989 2 13 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.732337390803958
22 0.986329674068691 7 15 "GO:0000245" "spliceosomal complex assembly" 0.99721599913165
1492 0.291093818050981 6 12 "GO:0000266" "mitochondrial fission" 0.610341187459729
1299 0.0608300336245796 2 50 "GO:0000272" "polysaccharide catabolic process" 0.266710459537483
-990 0.056797444028596 3 89 "GO:0000278" "mitotic cell cycle" 0.256062417751514
324 0.499233036997573 2 105 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 0.78225768052859
2042 0.186908196347802 5 10 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.493921433840091
502 0.681388429082152 2 16 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.881165332320539
10 0.992895467816997 2 21 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.99748777862118
-355 0.447581882522403 2 110 "GO:0000302" "response to reactive oxygen species" 0.744385388313081
-2257 0.0239009679280666 3 24 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.156022675396598
-979 0.211934837969511 3 39 "GO:0000387" "spliceosomal snRNP assembly" 0.525275335884914
-1628 0.00018719361870747 3 127 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 0.00620211310283618
1399 0.130555267396526 6 28 "GO:0000422;GO:0061726" "mitochondrion disassembly" 0.410231980776279
-2637 0.073868018121888 2 11 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.293466605932207
-3088 0.0228880357131495 2 13 "GO:0000460" "maturation of 5.8S rRNA" 0.15269043428901
-2494 0.00702343750922268 2 28 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.0719134476162975
-3556 0.000212624194406724 2 26 "GO:0000469" "cleavage involved in rRNA processing" 0.0066958383665299
-1461 0.205414191736072 3 18 "GO:0000470" "maturation of LSU-rRNA" 0.518233125559806
-3523 0.00299781323992254 6 17 "GO:0000479;GO:0000478" "endonucleolytic cleavage involved in rRNA processing" 0.0419792166239229
-106 0.921194212738392 2 21 "GO:0000578" "embryonic axis specification" 0.976583654370323
-3369 0.0130763820671939 2 13 "GO:0000712" "resolution of meiotic recombination intermediates" 0.107376124537295
-2215 0.0300117164682067 6 23 "GO:0000722;GO:0006312" "mitotic recombination" 0.175426569503275
-1236 0.00825664942157865 5 110 "GO:0000723;GO:0032200" "telomere organization" 0.0798825145140061
-2306 1.8564181518844e-06 3 103 "GO:0000724;GO:0000725" "recombinational repair" 0.000155231917843286
-1174 0.352936531144049 2 15 "GO:0000729" "DNA double-strand break processing" 0.666856385351454
-1682 0.0227298958320339 4 44 "GO:0000731" "DNA synthesis involved in DNA repair" 0.152606205155185
-1582 0.226576281008188 2 14 "GO:0000732" "strand displacement" 0.53984796397609
735 0.019846797119253 2 244 "GO:0000902" "cell morphogenesis" 0.141097067778981
1062 0.00398078124864307 3 178 "GO:0000904" "cell morphogenesis involved in differentiation" 0.050471132654276
-3 0.99385683787529 2 136 "GO:0000910" "cytokinesis" 0.997549361136902
-1761 0.178313094370557 2 14 "GO:0000915;GO:0000912;GO:0044837" "actomyosin contractile ring assembly" 0.482461931763788
-326 0.803255751322632 3 14 "GO:0000959" "mitochondrial RNA metabolic process" 0.928888442095846
1291 0.00461861082073804 2 116 "GO:0001101;GO:0043200" "response to acid chemical" 0.0553134377366934
-307 0.735936770003274 2 29 "GO:0001171;GO:0032199" "reverse transcription" 0.904961095429042
-1348 0.286074406067208 -1 15 "GO:0001302" "obsolete replicative cell aging" 0.605601756544927
408 0.223796870616566 2 215 "GO:0001501" "skeletal system development" 0.537602332151423
0 0.999381901244622 2 272 "GO:0001503" "ossification" 0.999605946746714
593 0.103966626501009 3 182 "GO:0001505" "regulation of neurotransmitter levels" 0.359966746013058
-72 0.880011009412076 2 106 "GO:0001508" "action potential" 0.961007047591794
-2044 0.00685636703320735 2 42 "GO:0001510" "RNA methylation" 0.0706145484475783
1377 0.232527975325169 3 18 "GO:0001516;GO:0006693;GO:0046457;GO:0006692" "prostanoid metabolic process" 0.544425499561329
-3043 0.0312509778003081 2 12 "GO:0001522" "pseudouridine synthesis" 0.179629188272802
989 0.000529486800135405 3 299 "GO:0001525" "angiogenesis" 0.0123149512720235
-2251 0.000524677889605266 2 57 "GO:0001539;GO:0060285" "cilium or flagellum-dependent cell motility" 0.012284458321958
-20 0.981776932528821 2 30 "GO:0001541" "ovarian follicle development" 0.996244029772095
715 0.0220019698513421 2 249 "GO:0001558" "regulation of cell growth" 0.150081365347314
-3141 0.0261810334432031 2 12 "GO:0001561" "fatty acid alpha-oxidation" 0.162739450358459
598 0.195549654922346 2 113 "GO:0001568" "blood vessel development" 0.507215943934475
