"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1522 0.0700673201688564 3 34 "GO:0000002" "mitochondrial genome maintenance" 0.307211521139855
1423 0.33490699811767 1 11 "GO:0000003" "reproduction" 0.64804042831364
-1003 0.496696692610015 4 11 "GO:0000012" "single strand break repair" 0.765968187853825
-1876 0.00356385656459707 6 58 "GO:0000018" "regulation of DNA recombination" 0.0544185402385431
-885 0.548870844069295 2 11 "GO:0000019" "regulation of mitotic recombination" 0.798173849924759
5347 3.59957891597326e-06 3 18 "GO:0000027" "ribosomal large subunit assembly" 0.000341668139267516
-1483 0.198848017404785 2 18 "GO:0000038" "very long-chain fatty acid metabolic process" 0.506420766588546
253 0.613466542509963 2 96 "GO:0000041" "transition metal ion transport" 0.837347258956467
1997 0.0281046418256532 2 29 "GO:0000045;GO:1905037" "autophagosome organization" 0.189814427099412
3671 0.00937975246755008 2 12 "GO:0000054;GO:0033750" "ribosomal subunit export from nucleus" 0.102622089302292
2091 0.0875240107765119 -1 16 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.346977364654709
1791 0.120800503374493 2 18 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.400125188854713
-4284 0.00105968592471016 7 14 "GO:0000076" "DNA replication checkpoint signaling" 0.0246464699839873
-120 0.881515468595758 2 37 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.960614709468504
-1300 9.04174787129734e-05 4 220 "GO:0000082;GO:0044843;GO:0035278;GO:0035195;GO:0040033;GO:0035194;GO:0016441;GO:0010586;GO:0021915;GO:0072089" "cell cycle G1/S phase transition" 0.0042911646654049
-2292 0.00011577529906851 2 68 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.00514687152314693
-32 0.956980894364333 3 68 "GO:0000096" "sulfur amino acid metabolic process" 0.987923839214444
-144 0.848999046604369 2 42 "GO:0000097" "sulfur amino acid biosynthetic process" 0.946364673060491
91 0.950709522711587 2 11 "GO:0000098" "sulfur amino acid catabolic process" 0.98754565032922
-1442 0.224783305479903 3 17 "GO:0000101" "sulfur amino acid transport" 0.536700412003492
413 0.769876589478818 3 12 "GO:0000105" "histidine biosynthetic process" 0.907955671463935
250 0.31547757493719 2 395 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.630560261526369
-309 0.762085924955508 2 23 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.906323849628756
1589 0.127995267054298 2 22 "GO:0000154" "rRNA modification" 0.41014541778713
-49 0.893522009411177 5 177 "GO:0000165" "MAPK cascade" 0.965766934970791
2511 0.000780147645892877 6 43 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.0206005904689909
917 0.534239334565088 -1 11 "GO:0000185" "obsolete activation of MAPKKK activity" 0.788596878380622
-1109 0.248275546882415 -1 26 "GO:0000186" "obsolete activation of MAPKK activity" 0.564902382899806
338 0.497004915015491 -1 97 "GO:0000187" "obsolete activation of MAPK activity" 0.765968187853825
566 0.0344412903476587 4 341 "GO:0000209" "protein polyubiquitination" 0.211711762457602
-2403 0.120545755387658 3 10 "GO:0000212" "meiotic spindle organization" 0.400011400239371
-1584 1.02896057801591e-06 3 231 "GO:0000226" "microtubule cytoskeleton organization" 0.00011657127580619
5765 2.18130917406783e-05 2 13 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.00156754450137596
2897 0.0219252250892823 3 15 "GO:0000245" "spliceosomal complex assembly" 0.162054177454769
-834 0.554953380834226 2 12 "GO:0000266" "mitochondrial fission" 0.802919631233727
-2583 0.000193510554294613 2 50 "GO:0000272" "polysaccharide catabolic process" 0.0073137412232975
-1729 0.000888028260488286 3 89 "GO:0000278" "mitotic cell cycle" 0.0220231222129436
-1577 0.000995545379306677 4 105 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 0.0234654722961413
-391 0.800500925005509 3 10 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.924485119572295
-172 0.888447325178998 2 16 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.962890850710693
1401 0.189775398124046 2 21 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.495660535498884
-362 0.439413026047723 4 110 "GO:0000302" "response to reactive oxygen species" 0.733837471060613
3143 0.00166496890437273 2 24 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.0332236976827104
4748 1.42852790929864e-09 4 39 "GO:0000387" "spliceosomal snRNP assembly" 3.13561876091051e-07
2856 5.69587075781358e-11 3 127 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 1.81853619104012e-08
1450 0.117198729726513 3 28 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 0.394632731351403
811 0.582534731709698 2 11 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.817100690918632
3238 0.0170996789253395 9 13 "GO:0000460" "maturation of 5.8S rRNA" 0.143327141732201
2000 0.0307387976887915 3 28 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.199178334839549
481 0.616841161466853 7 26 "GO:0000469" "cleavage involved in rRNA processing" 0.837617247909974
4124 0.000352718347466466 9 18 "GO:0000470" "maturation of LSU-rRNA" 0.0115770732364694
538 0.650830484981972 9 17 "GO:0000479;GO:0000478" "endonucleolytic cleavage involved in rRNA processing" 0.860316062302402
1607 0.132594125435567 4 21 "GO:0000578" "embryonic axis specification" 0.418016668339059
-592 0.662844964755405 2 13 "GO:0000712" "resolution of meiotic recombination intermediates" 0.865244875586044
-2883 0.00475346978641166 2 23 "GO:0000722;GO:0006312" "mitotic recombination" 0.0667200184502277
-390 0.404284239633772 5 110 "GO:0000723;GO:0032200" "telomere organization" 0.707799725620044
-507 0.294585473305751 7 103 "GO:0000724;GO:0000725" "recombinational repair" 0.610622132481964
-25 0.984018287175832 5 15 "GO:0000729" "DNA double-strand break processing" 0.994209500736916
-756 0.306100632495595 4 44 "GO:0000731" "DNA synthesis involved in DNA repair" 0.620248845299335
