"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
160 0.848853350220418 2 34 "GO:0000002" "mitochondrial genome maintenance" 0.977400836640277
-1225 0.406497238401753 1 11 "GO:0000003" "reproduction" 0.762616613924656
1369 0.353497275430245 4 11 "GO:0000012" "single strand break repair" 0.721029549000113
1955 0.00238696778712518 4 58 "GO:0000018" "regulation of DNA recombination" 0.0490235723297288
1367 0.354249236122469 2 11 "GO:0000019" "regulation of mitotic recombination" 0.721029549000113
3016 0.00897078422360277 2 18 "GO:0000027" "ribosomal large subunit assembly" 0.111326481248385
-3328 0.00392709709773341 3 18 "GO:0000038" "very long-chain fatty acid metabolic process" 0.066391533607646
-2 0.996512073595582 7 96 "GO:0000041" "transition metal ion transport" 0.999357624919384
228 0.802348574296245 2 29 "GO:0000045;GO:1905037" "autophagosome organization" 0.959430777299425
-721 0.609995883032021 2 12 "GO:0000054;GO:0033750" "ribosomal subunit export from nucleus" 0.885499670607601
3274 0.00748054868049458 -1 16 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.0983958313329474
2907 0.0117625108244653 2 18 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.128207543302058
2058 0.11578993889079 6 14 "GO:0000076" "DNA replication checkpoint signaling" 0.449500903406508
824 0.306507506391467 2 37 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.685639721303715
896 0.00697123105798228 4 220 "GO:0000082;GO:0044843;GO:0035278;GO:0035195;GO:0040033;GO:0035194;GO:0016441;GO:0010586;GO:0021915;GO:0072089" "cell cycle G1/S phase transition" 0.0945288165082385
840 0.157867585636345 5 68 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.51326957715438
-968 0.10366636539732 2 68 "GO:0000096" "sulfur amino acid metabolic process" 0.428221323051877
-863 0.25338915701124 3 42 "GO:0000097" "sulfur amino acid biosynthetic process" 0.624501342597381
-1206 0.41378366606504 3 11 "GO:0000098" "sulfur amino acid catabolic process" 0.769586375748531
