"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1449 0.215746095713375 3 17 "GO:0000030" "mannosyltransferase activity" 0.743312720387487
1039 0.153710063019077 2 44 "GO:0000049" "tRNA binding" 0.661328173574761
1045 0.386379097205757 7 16 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 0.877699327432646
925 0.415939892856386 2 18 "GO:0000099" "sulfur amino acid transmembrane transporter activity" 0.89019857966676
844 0.470571684047782 2 17 "GO:0000146" "microfilament motor activity" 0.915324933734282
-188 0.707714421534908 3 93 "GO:0000149" "SNARE binding" 0.933927952361916
399 0.691790347701092 5 23 "GO:0000175" "3'-5'-exoribonuclease activity" 0.933927952361916
885 0.224367661072141 2 44 "GO:0000217" "DNA secondary structure binding" 0.745635433289093
-221 0.51881355949962 2 200 "GO:0000287" "magnesium ion binding" 0.918320477077824
2861 0.017715574847789 5 16 "GO:0000339" "RNA cap binding" 0.339676891646737
820 0.470927379540059 2 18 "GO:0000400" "four-way junction DNA binding" 0.915324933734282
1475 0.23654267569764 2 15 "GO:0000403" "Y-form DNA binding" 0.761425693304082
235 0.333248593235459 3 405 "GO:0000976;GO:0001067;GO:1990837;GO:0003690" "double-stranded DNA binding" 0.835014941004758
29 0.928659923506501 4 223 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 0.986473657562887
-227 0.581306587436175 2 138 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 0.918320477077824
1191 0.339104487819557 2 15 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.83787509936235
182 0.585449959210867 3 211 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.918320477077824
335 0.68168198279 3 35 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "basal transcription machinery binding" 0.933927952361916
740 0.298598978051671 2 46 "GO:0001046" "core promoter sequence-specific DNA binding" 0.801866983347298
3291 0.030969650455978 -1 10 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.427461508097039
-526 0.717659503735176 2 11 "GO:0001221" "transcription coregulator binding" 0.933927952361916
-379 0.725539652332874 2 20 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 0.933927952361916
-601 0.360587243644185 4 54 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.8595620240383
325 0.690737475584466 2 35 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 0.933927952361916
-382 0.53692483519218 3 61 "GO:0001530" "lipopolysaccharide binding" 0.918320477077824
-632 0.166759941127115 4 112 "GO:0001540" "amyloid-beta binding" 0.671608530018792
385 0.428571889135829 6 99 "GO:0001594" "trace-amine receptor activity" 0.895107989718514
577 0.64328894625834 7 15 "GO:0001601" "peptide YY receptor activity" 0.931441697812443
-72 0.941605924931532 7 24 "GO:0001602" "pancreatic polypeptide receptor activity" 0.988686221178109
-13 0.97413854223795 2 155 "GO:0001609" "G protein-coupled adenosine receptor activity" 0.989704097497356
-1016 0.334781650105789 2 21 "GO:0001618;GO:0140272" "virus receptor activity" 0.835175710717938
1406 0.229453199122271 6 17 "GO:0001640;GO:0098988" "G protein-coupled glutamate receptor activity" 0.752333537642539
9 0.971842197421039 3 335 "GO:0001664" "G protein-coupled receptor binding" 0.989704097497356
815 0.542293924524331 3 13 "GO:0001671;GO:0140677" "molecular function activator activity" 0.918320477077824
573 0.57749353805278 3 22 "GO:0001733;GO:0050694" "galactose 3-O-sulfotransferase activity" 0.918320477077824
2176 0.0807276637734736 2 15 "GO:0001784" "phosphotyrosine residue binding" 0.558602354703958
-887 0.181096320529874 2 53 "GO:0001786" "phosphatidylserine binding" 0.684478639043569
-646 0.266510334282959 3 69 "GO:0001965" "G-protein alpha-subunit binding" 0.784288142852724
923 0.490191954340584 2 13 "GO:0001968" "fibronectin binding" 0.918320477077824
-211 0.609810798799873 2 137 "GO:0002020" "protease binding" 0.918320477077824
-83 0.904920910203492 3 48 "GO:0002039" "p53 binding" 0.9857898542378
1902 0.11481832331356 3 16 "GO:0002162" "dystroglycan binding" 0.628652502777442
537 0.309117045291908 2 84 "GO:0003678" "DNA helicase activity" 0.809336924621653
1784 0.107129759076941 2 19 "GO:0003680" "minor groove of adenine-thymine-rich DNA binding" 0.613561347440662
-56 0.813022396964289 2 420 "GO:0003682" "chromatin binding" 0.964097376242857
1154 0.0643597812210748 2 60 "GO:0003684" "damaged DNA binding" 0.525604879972111
740 0.140281737925382 2 93 "GO:0003697" "single-stranded DNA binding" 0.643295758904614
84 0.652765909022819 2 704 "GO:0003700;GO:0140110" "transcription regulator activity" 0.931441697812443
-233 0.81668739687741 2 23 "GO:0003707" "steroid hormone receptor activity" 0.965574107300101
-219 0.542187583134005 2 183 "GO:0003712" "transcription coregulator activity" 0.918320477077824
-592 0.203304964815589 3 108 "GO:0003713" "transcription coactivator activity" 0.72014047778052
538 0.388324496767747 3 60 "GO:0003714" "transcription corepressor activity" 0.878210784997828
