,A4.counts.txt,A5.counts.txt,A6.counts.txt,C4.counts.txt,C5.counts.txt,C9.counts.txt,D4.counts.txt,D5.counts.txt,D6.counts.txt,E10.counts.txt,E11.counts.txt,E3.counts.txt,F7.counts.txt,F8.counts.txt,F9.counts.txt,H1.counts.txt,H11.counts.txt,H15.counts.txt,I1.counts.txt,I2.counts.txt,I3.counts.txt,J13.counts.txt,J14.counts.txt,J15.counts.txt,K1.counts.txt,K2.counts.txt,K3.counts.txt,L6.counts.txt,L7.counts.txt,L8.counts.txt,M1.counts.txt,M2.counts.txt,M3.counts.txt,N4.counts.txt,N5.counts.txt,N6.counts.txt,O1.counts.txt,O2.counts.txt,P1.counts.txt,P2.counts.txt,P3.counts.txt,Q1.counts.txt,Q11.counts.txt,Q4.counts.txt,R7.counts.txt,R8.counts.txt,R9.counts.txt
evm.TU.chromosome_1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1003_evm.TU.chromosome_1.1005,0,15,3,1,2,1,2,3,2,0,0,3,0,3,11,3,0,3,6,4,3,1,3,0,0,2,1,2,2,3,3,0,3,2,8,3,2,2,3,4,5,0,5,0,3,1,0
evm.TU.chromosome_1.1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1008,0,0,0,0,0,0,1,0,1,1,2,0,0,1,2,1,0,3,1,2,3,0,2,0,0,0,0,0,0,0,1,0,1,0,4,0,2,1,0,0,0,0,2,0,0,1,1
