Tank.ID,Symbiotic.status,Coral.ID,,Genotype
cold_1,Sym,C4,0.09550095,C
heat_1,Sym,C5,0.07156565,C
control_3,Sym,C9,0.10110722,C
control_2,Sym,D4,0.0814348,D
cold_2,Sym,D5,0.13159315,D
heat_2,Sym,D6,0.07941149,D
cold_3,Apo,E10,0.1158371,E
control_3,Apo,E11,0.08670974,E
heat_3,Apo,E3,0.0957973,E
control_3,Sym,F7,0.07980265,F
cold_3,Sym,F8,0.11079286,F
heat_3,Sym,F9,0.10296546,F
control_1,Apo,H1,0.0940323,X
cold_3,Apo,H11,0.09485621,X
heat_3,Apo,H15,0.12375534,X
control_1,Sym,I1,0.12483439,I
cold_1,Sym,I2,0.12188022,I
heat_1,Sym,I3,0.08808522,I
control_3,Sym,J13,0.11635389,J
cold_3,Sym,J14,0.14367725,J
heat_3,Sym,J15,0.06973381,J
control_1,Apo,K1,0.05653386,X
cold_1,Apo,K2,0.09773928,X
heat_1,Apo,K3,0.07218629,X
control_2,Sym,L6,0.09387959,Y
cold_2,Sym,L7,0.11485547,Y
heat_2,Sym,L8,0.07921364,Y
control_1,Sym,M1,0.11243517,Y
cold_1,Sym,M2,0.08631755,Y
heat_1,Sym,M3,0.07146659,Y
control_2,Apo,N4,0.11063041,Z
cold_2,Apo,N5,0.17563195,Z
heat_2,Apo,N6,0.06758977,Z
control_3,Apo,O1,0.10299229,Z
cold_3,Apo,O2,0.10384705,Z
control_1,Apo,P1,0.10485341,Z
cold_1,Apo,P2,0.11479815,Z
heat_1,Apo,P3,0.09012561,Z
control_2,Apo,Q1,0.08935118,Q
heat_3,Apo,Q11,0.09427447,Q
cold_2,Apo,Q4,0.15549067,Q
control_3,Sym,R7,0.08534722,R
cold_3,Sym,R8,0.11320965,R
heat_3,Sym,R9,0.05936636,R
