,Mapped_Sym,Brown,White,Control,Heat,Cold,Behavior
C4,4.045423647,1,0,0,0,1,1
C5,8.520855502,1,0,0,1,0,4
C9,4.541032355,1,0,1,0,0,4
D4,5.384938999,1,0,1,0,0,5
D5,5.279857871,1,0,0,0,1,1
D6,4.285272778,1,0,0,1,0,4
E10,2.945571216,0,1,0,0,1,1
E11,7.154642268,0,1,1,0,0,5
E3,3.206516384,0,1,0,1,0,5
F7,7.706426911,1,0,1,0,0,5
F8,2.975665364,1,0,0,0,1,1
F9,3.590037535,1,0,0,1,0,5
H1,5.84468704,0,1,1,0,0,5
I1,4.588816137,1,0,1,0,0,5
I2,7.145937608,1,0,0,0,1,3
I3,3.287020871,1,0,0,1,0,3
J13,4.577396589,1,0,1,0,0,5
J14,4.62042446,1,0,0,0,1,2
J15,9.829688617,1,0,0,1,0,5
K2,0.869359296,0,1,0,0,1,1
K3,1.363080304,0,1,0,1,0,5
L6,6.730202623,1,0,1,0,0,5
M2,6.193484346,1,0,0,0,1,1
M3,13.62599456,1,0,0,1,0,5
N4,1.170059367,0,1,1,0,0,5
O2,0.567323433,0,1,0,0,1,1
Q1,0.8938035,0,1,1,0,0,5
Q11,6.576387394,0,1,0,1,0,4
Q4,4.049817803,0,1,0,0,1,2
R7,4.869939206,1,0,1,0,0,5
R8,4.766334253,1,0,0,0,1,2
