coral,genotype,sym,treatment,temperature,behaviour
AT2,T,B,Control,18,4
AR1,R,B,Control,18,5
AO2,O,B,Control,18,5
AM3,M,B,Control,18,5
AJ4,J,B,Control,18,5
AF1,F,B,Control,18,5
AP2,P,W,Control,18,5
AH2,H,W,Control,18,5
AA4,A,W,Control,18,5
AD2,D,W,Control,18,5
AE4,E,W,Control,18,5
AT3,T,B,Control,18,5
AS4,S,B,Control,18,5
AQ5,Q,B,Control,18,5
AN5,N,B,Control,18,5
AJ7,J,B,Control,18,5
AF2,F,B,Control,18,5
AB1,B,B,Control,18,5
AK5,K,W,Control,18,5
AC3,C,W,Control,18,4
AD3,D,W,Control,18,3
AE6,E,W,Control,18,4
AS1,S,B,Control,18,5
AR5,R,B,Control,18,5
AN3,N,B,Control,18,5
AL3,L,B,Control,18,5
AI1,I,B,Control,18,5
AB6,B,B,Control,18,5
AP3,P,W,Control,18,4
AC4,C,W,Control,18,5
AD4,D,W,Control,18,4
AG2,G,W,Control,18,5
AT6,T,B,Heat,19,5
AS3,S,B,Heat,19,5
AO3,O,B,Heat,19,5
AM2,M,B,Heat,19,5
AJ5,J,B,Heat,19,5
AF4,F,B,Heat,19,5
AB3,B,B,Heat,19,5
AH4,H,W,Heat,19,5
AA2,A,W,Heat,19,5
AD1,D,W,Heat,19,5
AE5,E,W,Heat,19,5
AS6,S,B,Heat,19,5
AQ3,Q,B,Heat,19,5
AL2,L,B,Heat,19,5
AJ3,J,B,Heat,19,5
AI3,I,B,Heat,19,5
AB4,B,B,Heat,19,5
AK2,K,W,Heat,19,5
AC1,C,W,Heat,19,5
AD5,D,W,Heat,19,5
AG1,G,W,Heat,19,5
AT1,T,B,Heat,19,5
AR4,R,B,Heat,19,5
AN1,N,B,Heat,19,5
AQ1,Q,B,Heat,19,5
AI2,I,B,Heat,19,5
AF3,F,B,Heat,19,5
AP4,P,W,Heat,19,5
AC6,C,W,Heat,19,5
AE3,E,W,Heat,19,5
AH1,H,W,Heat,19,5
AJ6,J,B,Cold,17,5
AF5,F,B,Cold,17,4
AB2,B,B,Cold,17,5
AH3,H,W,Cold,17,4
AA3,A,W,Cold,17,5
AD6,D,W,Cold,17,5
AE1,E,W,Cold,17,4
AM1,M,B,Cold,17,5
AO5,O,B,Cold,17,5
AR2,R,B,Cold,17,5
AT5,T,B,Cold,17,5
AJ1,J,B,Cold,17,5
AI5,I,B,Cold,17,5
AB5,B,B,Cold,17,5
AK3,K,W,Cold,17,5
AC2,C,W,Cold,17,5
AD8,D,W,Cold,17,4
AG4,G,W,Cold,17,4
AL1,L,B,Cold,17,5
AQ6,Q,B,Cold,17,5
AS5,S,B,Cold,17,5
AT4,T,B,Cold,17,5
AJ2,J,B,Cold,17,5
AI4,I,B,Cold,17,5
AF8,F,B,Cold,17,5
AP1,P,W,Cold,17,5
AC5,C,W,Cold,17,5
AE2,E,W,Cold,17,4
AG3,G,W,Cold,17,5
AN2,N,B,Cold,17,5
AR3,R,B,Cold,17,5
AS2,S,B,Cold,17,4
AT2,T,B,Control,18,3
AR1,R,B,Control,18,5
AO2,O,B,Control,18,4
AM3,M,B,Control,18,5
AJ4,J,B,Control,18,4
AF1,F,B,Control,18,5
AP2,P,W,Control,18,5
AH2,H,W,Control,18,5
AA4,A,W,Control,18,3
AD2,D,W,Control,18,5
AE4,E,W,Control,18,4
AT3,T,B,Control,18,5
AS4,S,B,Control,18,5
AQ5,Q,B,Control,18,5
AN5,N,B,Control,18,5
AJ7,J,B,Control,18,5
AF2,F,B,Control,18,4
AB1,B,B,Control,18,5
AK5,K,W,Control,18,5
AC3,C,W,Control,18,5
AD3,D,W,Control,18,4
AE6,E,W,Control,18,5
AS1,S,B,Control,18,5
AR5,R,B,Control,18,5
