Treatment,Genotype,Sym State,Day,Temperature,Red,Green,Blue
Control,AT2,B,1,18,41.3,31.3,22.7
Control,AR1,B,1,18,40.5,26.6,14.8
Control,AO2,B,1,18,25.8,15.1,7.7
Control,AM3,B,1,18,37.7,20.8,11.1
Control,AJ4,B,1,18,38.8,26.6,14.5
Control,AF1,B,1,18,61,42.2,23.5
Control,AP2,W,1,18,120.8,91.2,59.9
Control,AH2,W,1,18,121.3,89.5,66.3
Control,AA4,W,1,18,105.8,87.8,55.6
Control,AD2,W,1,18,52.4,29.9,24
Control,AE4,W,1,18,60.3,43.1,34.3
Control,AT3,B,1,18,18,11.4,5.5
Control,AS4,B,1,18,55.2,38.2,21
Control,AQ5,B,1,18,70.6,62.1,31.3
Control,AN5,B,1,18,65.3,43.2,20.8
Control,AJ7,B,1,18,48.6,34.5,17.9
Control,AF2,B,1,18,60.4,40.9,20.4
Control,AB1,B,1,18,48.9,31.1,15
Control,AK5,W,1,18,101,82.1,56.2
Control,AC3,W,1,18,114.5,94.8,64.3
Control,AD3,W,1,18,42.8,22.3,17.1
Control,AE6,W,1,18,116.6,84.7,67.3
Control,AS1,B,1,18,25.5,15.4,6.4
Control,AR5,B,1,18,48.3,30.5,16
Control,AN3,B,1,18,47.3,32.1,20.6
Control,AL3,B,1,18,50.3,35.1,19.5
Control,AI1,B,1,18,52.6,34.1,19
Control,AB6,B,1,18,33.1,20.8,8.4
Control,AP3,W,1,18,48.9,43,26.9
Control,AC4,W,1,18,98.7,77.4,42
Control,AD4,W,1,18,76.5,52.1,43.3
Control,AG2,W,1,18,127.7,108,76.7
Heat,AT6,B,1,19,27.7,17.9,9.3
Heat,AS3,B,1,19,54.7,37.2,20.1
Heat,AO3,B,1,19,39.8,24,14.2
Heat,AM2,B,1,19,67.4,48.7,31
Heat,AJ5,B,1,19,33.5,21.8,10.7
Heat,AF4,B,1,19,81.6,57,27
Heat,AB3,B,1,19,37.6,22,7.9
Heat,AH4,W,1,19,123.4,90.9,62.4
Heat,AA2,W,1,19,75.6,64.8,45.7
Heat,AD1,W,1,19,87.4,54.8,44.5
Heat,AE5,W,1,19,62.5,45.9,32.4
Heat,AS6,B,1,19,47.9,35.9,22.2
Heat,AQ3,B,1,19,35.6,24.7,12.5
Heat,AL2,B,1,19,43.7,31.5,19.3
Heat,AJ3,B,1,19,46.8,31,16.4
Heat,AI3,B,1,19,55.7,41.9,25.9
Heat,AB4,B,1,19,30.9,17.9,6.9
Heat,AK2,W,1,19,136.4,115.5,79.7
Heat,AC1,W,1,19,128.7,105.1,69.1
Heat,AD5,W,1,19,67.2,39.6,34.1
Heat,AG1,W,1,19,75.6,62.2,46.6
Heat,AT1,B,1,19,34.1,23.6,15.3
Heat,AR4,B,1,19,35.9,23.3,13.2
Heat,AN1,B,1,19,41.2,31.5,22.8
Heat,AQ1,B,1,19,47.2,33.2,20.1
Heat,AI2,B,1,19,87.3,66.1,46.8
Heat,AF3,B,1,19,93.1,64.8,44.5
Heat,AP4,W,1,19,103.7,74.2,54.6
Heat,AC6,W,1,19,147.5,118.6,87.7
Heat,AE3,W,1,19,76.1,49.5,34.8
Heat,AH1,W,1,19,79.1,57.1,38.5
Cold,AJ6,B,1,17,46.8,32.3,18.8
Cold,AF5,B,1,17,56.2,35.9,18.8
Cold,AB2,B,1,17,46.5,32.5,17.5
Cold,AH3,W,1,17,85,55.5,36.7
Cold,AA3,W,1,17,88,75.3,54.2
Cold,AD6,W,1,17,117.5,89.9,74.9
Cold,AE1,W,1,17,144.5,113.1,91
Cold,AM1,B,1,17,29.5,18.5,11.6
Cold,AO5,B,1,17,41.5,24.9,13.2
Cold,AR2,B,1,17,37.6,25,13.7
Cold,AT5,B,1,17,34.5,22.1,13.9
Cold,AJ1,B,1,17,44,30.7,17.9
Cold,AI5,B,1,17,51.6,35.9,21.3
Cold,AB5,B,1,17,55.6,39,19.6
