"Treatment","Sym.State","temperature","Genotype","Red_intensity"
"Control","B","18","T",41.3
"Control","B","18","R",40.5
"Control","B","18","O",25.8
"Control","B","18","M",37.7
"Control","B","18","J",38.8
"Control","B","18","F",61
"Control","W","18","P",120.8
"Control","W","18","H",121.3
"Control","W","18","A",105.8
"Control","W","18","D",52.4
"Control","W","18","E",60.3
"Control","B","18","T",18
"Control","B","18","S",55.2
"Control","B","18","Q",70.6
"Control","B","18","N",65.3
"Control","B","18","J",48.6
"Control","B","18","F",60.4
"Control","B","18","B",48.9
"Control","W","18","K",101
"Control","W","18","C",114.5
"Control","W","18","D",42.8
"Control","W","18","E",116.6
"Control","B","18","S",25.5
"Control","B","18","R",48.3
"Control","B","18","N",47.3
"Control","B","18","L",50.3
"Control","B","18","I",52.6
"Control","B","18","B",33.1
"Control","W","18","P",48.9
"Control","W","18","C",98.7
"Control","W","18","D",76.5
"Control","W","18","G",127.7
"Heat","B","20","T",27.7
"Heat","B","20","S",54.7
"Heat","B","20","O",39.8
"Heat","B","20","M",67.4
"Heat","B","20","J",33.5
"Heat","B","20","F",81.6
"Heat","B","20","B",37.6
"Heat","W","20","H",123.4
"Heat","W","20","A",75.6
"Heat","W","20","D",87.4
"Heat","W","20","E",62.5
"Heat","B","20","S",47.9
"Heat","B","20","Q",35.6
"Heat","B","20","L",43.7
"Heat","B","20","J",46.8
"Heat","B","20","I",55.7
"Heat","B","20","B",30.9
"Heat","W","20","K",136.4
"Heat","W","20","C",128.7
"Heat","W","20","D",67.2
"Heat","W","20","G",75.6
"Heat","B","20","T",34.1
"Heat","B","20","R",35.9
"Heat","B","20","N",41.2
"Heat","B","20","Q",47.2
"Heat","B","20","I",87.3
"Heat","B","20","F",93.1
"Heat","W","20","P",103.7
"Heat","W","20","C",147.5
"Heat","W","20","E",76.1
"Heat","W","20","H",79.1
"Cold","B","16","J",46.8
"Cold","B","16","F",56.2
"Cold","B","16","B",46.5
"Cold","W","16","H",85
"Cold","W","16","A",88
"Cold","W","16","D",117.5
"Cold","W","16","E",144.5
"Cold","B","16","M",29.5
"Cold","B","16","O",41.5
"Cold","B","16","R",37.6
"Cold","B","16","T",34.5
"Cold","B","16","J",44
"Cold","B","16","I",51.6
"Cold","B","16","B",55.6
"Cold","W","16","K",125.1
"Cold","W","16","C",134.2
"Cold","W","16","D",73.2
"Cold","W","16","G",110.2
"Cold","B","16","L",63.1
"Cold","B","16","Q",48.7
"Cold","B","16","S",34.5
"Cold","B","16","T",68
"Cold","B","16","J",56.4
"Cold","B","16","I",64.1
"Cold","B","16","F",53.9
"Cold","W","16","P",76.8
"Cold","W","16","C",103.5
"Cold","W","16","E",103.4
"Cold","W","16","G",109.2
"Cold","B","16","N",51
"Cold","B","16","R",52.7
"Cold","B","16","S",64
"Control","B","18","T",30.5
"Control","B","18","R",39
"Control","B","18","O",23.6
"Control","B","18","M",39.6
"Control","B","18","J",42.8
"Control","B","18","F",52.1
"Control","W","18","P",96.1
"Control","W","18","H",119.7
"Control","W","18","A",94.1
"Control","W","18","D",82.1
"Control","W","18","E",86.7
"Control","B","18","T",30.8
"Control","B","18","S",54.5
"Control","B","18","Q",55.7
"Control","B","18","N",53.1
"Control","B","18","J",55.1
"Control","B","18","F",52.3
"Control","B","18","B",50.8
"Control","W","18","K",125.8
"Control","W","18","C",126.6
"Control","W","18","D",54.7
"Control","W","18","E",111.7
"Control","B","18","S",37.2
"Control","B","18","R",49.5
"Control","B","18","N",49
"Control","B","18","L",49.7
"Control","B","18","I",45.6
"Control","B","18","B",34.3
"Control","W","18","P",64.4
"Control","W","18","C",102.8
"Control","W","18","D",83.6
"Control","W","18","G",108.2
"Heat","B","21","T",30.2
"Heat","B","21","S",44.8
"Heat","B","21","O",48.1
"Heat","B","21","M",55.4
"Heat","B","21","J",34.5
"Heat","B","21","F",55.1
"Heat","B","21","B",42.9
"Heat","W","21","H",113.9
"Heat","W","21","A",83.9
"Heat","W","21","D",101.6
"Heat","W","21","E",70.6
"Heat","B","21","S",45.7
"Heat","B","21","Q",43.6
"Heat","B","21","L",39.1
"Heat","B","21","J",48.1
"Heat","B","21","I",41.7
"Heat","B","21","B",33.5
"Heat","W","21","K",121.1
"Heat","W","21","C",132.4
"Heat","W","21","D",109
"Heat","W","21","G",94.9
"Heat","B","21","T",42
"Heat","B","21","R",37.9
"Heat","B","21","N",43.8
"Heat","B","21","Q",39.2
"Heat","B","21","I",56.6
"Heat","B","21","F",54.3
"Heat","W","21","P",115.7
"Heat","W","21","C",151.1
"Heat","W","21","E",93.6
"Heat","W","21","H",88.2
"Cold","B","15","J",49
"Cold","B","15","F",57
"Cold","B","15","B",46
"Cold","W","15","H",67.4
"Cold","W","15","A",78.5
"Cold","W","15","D",115.1
"Cold","W","15","E",127.9
"Cold","B","15","M",42.2
"Cold","B","15","O",49.9
"Cold","B","15","R",45.5
"Cold","B","15","T",46.6
"Cold","B","15","J",57.6
"Cold","B","15","I",55.5
"Cold","B","15","B",50.8
"Cold","W","15","K",130.3
"Cold","W","15","C",136.9
"Cold","W","15","D",97.3
"Cold","W","15","G",106.4
"Cold","B","15","L",66
"Cold","B","15","Q",64.2
"Cold","B","15","S",51
"Cold","B","15","T",52.1
"Cold","B","15","J",57.7
"Cold","B","15","I",78.7
"Cold","B","15","F",62.5
"Cold","W","15","P",107.8
"Cold","W","15","C",112.7
"Cold","W","15","E",99.8
"Cold","W","15","G",120.8
"Cold","B","15","N",62.1
"Cold","B","15","R",56.2
"Cold","B","15","S",66.5
"Control","B","18","T",33.7
"Control","B","18","R",35.6
"Control","B","18","O",22.9
"Control","B","18","M",46.5
"Control","B","18","J",28
"Control","B","18","F",39.4
"Control","W","18","P",88.7
"Control","W","18","H",113.3
"Control","W","18","A",96
"Control","W","18","D",100.7
"Control","W","18","E",92
"Control","B","18","T",23.4
"Control","B","18","S",45.2
"Control","B","18","Q",61.5
"Control","B","18","N",43
"Control","B","18","J",30.1
"Control","B","18","F",41.9
"Control","B","18","B",29.8
"Control","W","18","K",135.9
"Control","W","18","C",107.8
"Control","W","18","D",61.8
"Control","W","18","E",89.9
"Control","B","18","S",31.3
"Control","B","18","R",32
"Control","B","18","N",42.5
"Control","B","18","L",36.6
"Control","B","18","I",49.2
"Control","B","18","B",16.8
"Control","W","18","P",45.5
"Control","W","18","C",98.2
"Control","W","18","D",86.9
"Control","W","18","G",102.9
"Heat","B","22","T",16.6
"Heat","B","22","O",38.4
"Heat","B","22","M",49.6
"Heat","B","22","J",19.8
"Heat","B","22","F",45.8
"Heat","B","22","B",29.4
"Heat","W","22","H",90.5
"Heat","W","22","A",79.7
"Heat","W","22","D",74.1
"Heat","W","22","E",44.1
"Heat","B","22","Q",31.2
"Heat","B","22","L",32.9
"Heat","B","22","J",29
"Heat","B","22","I",39
"Heat","B","22","B",52.6
"Heat","W","22","K",79.3
"Heat","W","22","C",90.1
"Heat","W","22","D",72.7
"Heat","B","22","T",23.1
"Heat","B","22","R",65.3
"Heat","B","22","N",36.8
"Heat","B","22","Q",32.3
"Heat","B","22","I",57.9
"Heat","B","22","F",61.1
"Heat","W","22","P",41.3
"Heat","W","22","C",111.2
"Heat","W","22","E",72
"Heat","W","22","H",53.4
"Cold","B","22","J",35.8
"Cold","B","22","F",81.3
"Cold","B","22","B",44.3
"Cold","W","14","H",53.8
"Cold","W","14","A",69.1
"Cold","W","14","D",112.3
"Cold","W","14","E",121.2
"Cold","B","14","M",36.1
"Cold","B","14","O",51.4
"Cold","B","14","R",39.3
"Cold","B","14","T",31.1
"Cold","B","14","J",35.2
"Cold","B","14","I",50.2
"Cold","B","14","B",74.7
"Cold","W","14","K",110.7
"Cold","W","14","C",90.5
"Cold","W","14","D",71.5
"Cold","W","14","G",90.8
"Cold","B","14","L",53.7
"Cold","B","14","Q",53.2
"Cold","B","14","S",32.2
"Cold","B","14","T",31.8
"Cold","B","14","J",54.2
"Cold","B","14","I",79.4
"Cold","B","14","F",68.9
"Cold","W","14","P",94.7
"Cold","W","14","C",97.7
"Cold","W","14","E",81.9
"Cold","W","14","G",96.2
"Cold","B","14","N",51.2
"Cold","B","14","R",40.4
"Cold","B","14","S",69.2
"","","14","",NA
"","","14","",NA
"","","14","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","23","",NA
"","","23","",NA
"","","23","",NA
"","","23","",NA
"","","23","",NA
"","","23","",NA
"","","23","",NA
"","","23","",NA
"","","23","",NA
"","","23","",NA
"","","23","",NA
"","","23","",NA
"","","23","",NA
"","","23","",NA
"","","23","",NA
"","","23","",NA
"","","23","",NA
"","","23","",NA
"","","23","",NA
"","","23","",NA
"","","23","",NA
"","","23","",NA
"","","23","",NA
"","","23","",NA
"","","23","",NA
"","","23","",NA
"","","23","",NA
"","","23","",NA
"","","23","",NA
"","","23","",NA
"","","23","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","13","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","24","",NA
"","","24","",NA
"","","24","",NA
"","","24","",NA
"","","24","",NA
"","","24","",NA
"","","24","",NA
"","","24","",NA
"","","24","",NA
"","","24","",NA
"","","24","",NA
"","","24","",NA
"","","24","",NA
"","","24","",NA
"","","24","",NA
"","","24","",NA
"","","24","",NA
"","","24","",NA
"","","24","",NA
"","","24","",NA
"","","24","",NA
"","","24","",NA
"","","24","",NA
"","","24","",NA
"","","24","",NA
"","","24","",NA
"","","24","",NA
"","","24","",NA
"","","24","",NA
"","","24","",NA
"","","24","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","12","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","25","",NA
"","","25","",NA
"","","25","",NA
"","","25","",NA
"","","25","",NA
"","","25","",NA
"","","25","",NA
"","","25","",NA
"","","25","",NA
"","","25","",NA
"","","25","",NA
"","","25","",NA
"","","25","",NA
"","","25","",NA
"","","25","",NA
"","","25","",NA
"","","25","",NA
"","","25","",NA
"","","25","",NA
"","","25","",NA
"","","25","",NA
"","","25","",NA
"","","25","",NA
"","","25","",NA
"","","25","",NA
"","","25","",NA
"","","25","",NA
"","","25","",NA
"","","25","",NA
"","","25","",NA
"","","25","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","11","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","26","",NA
"","","26","",NA
"","","26","",NA
"","","26","",NA
"","","26","",NA
"","","26","",NA
"","","26","",NA
"","","26","",NA
"","","26","",NA
"","","26","",NA
"","","26","",NA
"","","26","",NA
"","","26","",NA
"","","26","",NA
"","","26","",NA
"","","26","",NA
"","","26","",NA
"","","26","",NA
"","","26","",NA
"","","26","",NA
"","","26","",NA
"","","26","",NA
"","","26","",NA
"","","26","",NA
"","","26","",NA
"","","26","",NA
"","","26","",NA
"","","26","",NA
"","","26","",NA
"","","26","",NA
"","","26","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","10","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","27","",NA
"","","27","",NA
"","","27","",NA
"","","27","",NA
"","","27","",NA
"","","27","",NA
"","","27","",NA
"","","27","",NA
"","","27","",NA
"","","27","",NA
"","","27","",NA
"","","27","",NA
"","","27","",NA
"","","27","",NA
"","","27","",NA
"","","27","",NA
"","","27","",NA
"","","27","",NA
"","","27","",NA
"","","27","",NA
"","","27","",NA
"","","27","",NA
"","","27","",NA
"","","27","",NA
"","","27","",NA
"","","27","",NA
"","","27","",NA
"","","27","",NA
"","","27","",NA
"","","27","",NA
"","","27","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","9","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","18","",NA
"","","28","",NA
"","","28","",NA
"","","28","",NA
"","","28","",NA
"","","28","",NA
"","","28","",NA
"","","28","",NA
"","","28","",NA
"","","28","",NA
"","","28","",NA
"","","28","",NA
"","","28","",NA
"","","28","",NA
"","","28","",NA
"","","28","",NA
"","","28","",NA
"","","28","",NA
"","","28","",NA
"","","28","",NA
"","","28","",NA
"","","28","",NA
"","","28","",NA
"","","28","",NA
"","","28","",NA
"","","28","",NA
"","","28","",NA
"","","28","",NA
