"Treatment","Sym.State","Genotype","Red_intensity"
"Control","B","T",41.3
"Control","B","R",40.5
"Control","B","O",25.8
"Control","B","M",37.7
"Control","B","J",38.8
"Control","B","F",61
"Control","W","P",120.8
"Control","W","H",121.3
"Control","W","A",105.8
"Control","W","D",52.4
"Control","W","E",60.3
"Control","B","T",18
"Control","B","S",55.2
"Control","B","Q",70.6
"Control","B","N",65.3
"Control","B","J",48.6
"Control","B","F",60.4
"Control","B","B",48.9
"Control","W","K",101
"Control","W","C",114.5
"Control","W","D",42.8
"Control","W","E",116.6
"Control","B","S",25.5
"Control","B","R",48.3
"Control","B","N",47.3
"Control","B","L",50.3
"Control","B","I",52.6
"Control","B","B",33.1
"Control","W","P",48.9
"Control","W","C",98.7
"Control","W","D",76.5
"Control","W","G",127.7
"Heat","B","T",27.7
"Heat","B","S",54.7
"Heat","B","O",39.8
"Heat","B","M",67.4
"Heat","B","J",33.5
"Heat","B","F",81.6
"Heat","B","B",37.6
"Heat","W","H",123.4
"Heat","W","A",75.6
"Heat","W","D",87.4
"Heat","W","E",62.5
"Heat","B","S",47.9
"Heat","B","Q",35.6
"Heat","B","L",43.7
"Heat","B","J",46.8
"Heat","B","I",55.7
"Heat","B","B",30.9
"Heat","W","K",136.4
"Heat","W","C",128.7
"Heat","W","D",67.2
"Heat","W","G",75.6
"Heat","B","T",34.1
"Heat","B","R",35.9
"Heat","B","N",41.2
"Heat","B","Q",47.2
"Heat","B","I",87.3
"Heat","B","F",93.1
"Heat","W","P",103.7
"Heat","W","C",147.5
"Heat","W","E",76.1
"Heat","W","H",79.1
"Cold","B","J",46.8
"Cold","B","F",56.2
"Cold","B","B",46.5
"Cold","W","H",85
"Cold","W","A",88
"Cold","W","D",117.5
"Cold","W","E",144.5
"Cold","B","M",29.5
"Cold","B","O",41.5
"Cold","B","R",37.6
"Cold","B","T",34.5
"Cold","B","J",44
"Cold","B","I",51.6
"Cold","B","B",55.6
"Cold","W","K",125.1
"Cold","W","C",134.2
"Cold","W","D",73.2
"Cold","W","G",110.2
"Cold","B","L",63.1
"Cold","B","Q",48.7
"Cold","B","S",34.5
"Cold","B","T",68
"Cold","B","J",56.4
"Cold","B","I",64.1
"Cold","B","F",53.9
"Cold","W","P",76.8
"Cold","W","C",103.5
"Cold","W","E",103.4
"Cold","W","G",109.2
"Cold","B","N",51
"Cold","B","R",52.7
"Cold","B","S",64
"Control","B","T",30.5
"Control","B","R",39
"Control","B","O",23.6
"Control","B","M",39.6
"Control","B","J",42.8
"Control","B","F",52.1
"Control","W","P",96.1
"Control","W","H",119.7
"Control","W","A",94.1
"Control","W","D",82.1
"Control","W","E",86.7
"Control","B","T",30.8
"Control","B","S",54.5
"Control","B","Q",55.7
"Control","B","N",53.1
"Control","B","J",55.1
"Control","B","F",52.3
"Control","B","B",50.8
"Control","W","K",125.8
"Control","W","C",126.6
"Control","W","D",54.7
"Control","W","E",111.7
"Control","B","S",37.2
"Control","B","R",49.5
"Control","B","N",49
"Control","B","L",49.7
"Control","B","I",45.6
"Control","B","B",34.3
"Control","W","P",64.4
"Control","W","C",102.8
"Control","W","D",83.6
"Control","W","G",108.2
"Heat","B","T",30.2
"Heat","B","S",44.8
"Heat","B","O",48.1
"Heat","B","M",55.4
"Heat","B","J",34.5
"Heat","B","F",55.1
"Heat","B","B",42.9
"Heat","W","H",113.9
"Heat","W","A",83.9
"Heat","W","D",101.6
"Heat","W","E",70.6
"Heat","B","S",45.7
"Heat","B","Q",43.6
"Heat","B","L",39.1
"Heat","B","J",48.1
"Heat","B","I",41.7
"Heat","B","B",33.5
"Heat","W","K",121.1
"Heat","W","C",132.4
"Heat","W","D",109
"Heat","W","G",94.9
"Heat","B","T",42
"Heat","B","R",37.9
"Heat","B","N",43.8
"Heat","B","Q",39.2
"Heat","B","I",56.6
"Heat","B","F",54.3
"Heat","W","P",115.7
"Heat","W","C",151.1
"Heat","W","E",93.6
"Heat","W","H",88.2
"Cold","B","J",49
"Cold","B","F",57
"Cold","B","B",46
"Cold","W","H",67.4
"Cold","W","A",78.5
"Cold","W","D",115.1
"Cold","W","E",127.9
"Cold","B","M",42.2
"Cold","B","O",49.9
"Cold","B","R",45.5
"Cold","B","T",46.6
"Cold","B","J",57.6
"Cold","B","I",55.5
