coral,genotype,nubbin,Tank,Sym Status,Treatment,Tank,PAM Day 2 A,PAM Day 2 B,PAM Day 2 C,PAM Day 2 Average,PAM Day 5 A,PAM Day 5 B,PAM Day 5 C,PAM Day 5 Average,PAM Day 8 A,PAM Day 8 B,PAM Day 8 C,PAM Day 8 Average,PAM Day 11 A,PAM Day 11 B,PAM Day 11 C,PAM Day 14 A,PAM Day 14 B,PAM Day 14 C
AT2,T,2,control_1,B,Control,1,0.426,0.371,0.343,0.38,0.387,0.425,0.406,0.406,0.599,0.508,0.508,0.538333333,NA,NA,NA,NA,NA,NA
AR1,R,1,control_1,B,Control,1,0.515,0.478,0.554,0.515666667,0.507,0.461,0.447,0.471666667,0.446,0.534,0.494,0.491333333,NA,NA,NA,NA,NA,NA
AO2,O,2,control_1,B,Control,1,0.498,0.453,0.494,0.481666667,0.498,0.444,0.411,0.451,0.521,0.508,0.5,0.509666667,NA,NA,NA,NA,NA,NA
AM3,M,3,control_1,B,Control,1,0.584,0.433,0.482,0.499666667,0.42,0.457,0.409,0.428666667,0.458,0.493,0.464,0.471666667,NA,NA,NA,NA,NA,NA
AJ4,J,4,control_1,B,Control,1,0.416,0.453,0.45,0.439666667,0.486,0.476,0.449,0.470333333,0.477,0.457,0.534,0.489333333,NA,NA,NA,NA,NA,NA
AF1,F,1,control_1,B,Control,1,0.454,0.465,0.476,0.465,0.509,0.504,0.593,0.535333333,0.446,0.515,0.446,0.469,NA,NA,NA,NA,NA,NA
AP2,P,2,control_1,W,Control,1,0.438,0.372,0.364,0.391333333,0.433,0.411,0.34,0.394666667,0.3,0.302,0.361,0.321,NA,NA,NA,NA,NA,NA
AH2,H,2,control_1,W,Control,1,0.364,0.355,0.398,0.372333333,0.367,0.331,0.394,0.364,0.457,0.401,0.498,0.452,NA,NA,NA,NA,NA,NA
AA4,A,4,control_1,W,Control,1,0.442,0.437,0.448,0.442333333,0.306,0.253,0.247,0.268666667,0.374,0.393,0.364,0.377,NA,NA,NA,NA,NA,NA
AD2,D,2,control_1,W,Control,1,0.187,0.229,0.181,0.199,0.342,0.417,0.372,0.377,0.429,0.44,0.419,0.429333333,NA,NA,NA,NA,NA,NA
AE4,E,4,control_1,W,Control,1,0.358,0.381,0.331,0.356666667,0.568,0.546,0.511,0.541666667,0.555,0.565,0.561,0.560333333,NA,NA,NA,NA,NA,NA
