date,day,treatment,sym_state,tank_id,coral_id,fvfm1,fvfm2,fvfm3
11/2/18,2,cold,Sym,cold_1,R2,0.628,0.654,0.517
11/2/18,2,cold,Sym,cold_1,I2,0.686,0.583,0.635
11/2/18,2,cold,Sym,cold_1,H8,0.627,0.656,0.667
11/2/18,2,cold,Sym,cold_1,J3,0.622,0.68,0.684
11/2/18,2,cold,Sym,cold_1,M2,0.682,0.681,0.694
11/2/18,2,cold,Sym,cold_1,F2,0.594,0.68,0.698
11/2/18,2,cold,Sym,cold_1,L3,0.653,0.687,0.646
11/2/18,2,cold,Sym,cold_1,C4,0.603,0.686,0.696
11/2/18,2,cold,Sym,cold_1,D2,0.613,0.639,0.55
11/2/18,2,cold,Sym,cold_1,B2,0.582,0.683,0.689
11/2/18,2,cold,Sym,cold_2,D5,0.651,0.552,0.677
11/2/18,2,cold,Sym,cold_2,L7,0.688,0.677,0.647
11/2/18,2,cold,Sym,cold_2,J8,0.602,0.58,0.614
11/2/18,2,cold,Sym,cold_2,I5,0.527,0.692,0.653
11/2/18,2,cold,Sym,cold_2,F5,0.601,0.659,NA
11/2/18,2,cold,Sym,cold_2,M5,0.58,0.653,0.608
11/2/18,2,cold,Sym,cold_2,R5,0.654,0.572,0.696
11/2/18,2,cold,Sym,cold_2,B5,0.678,0.686,0.671
11/2/18,2,cold,Sym,cold_2,C7,0.556,0.684,0.636
11/2/18,2,cold,Sym,cold_2,H13,0.692,0.563,0.642
11/2/18,2,cold,Sym,cold_3,I8,0.635,0.678,0.691
11/2/18,2,cold,Sym,cold_3,B8,0.609,0.676,0.595
11/2/18,2,cold,Sym,cold_3,D11,0.597,0.529,0.434
11/2/18,2,cold,Sym,cold_3,R8,0.618,0.652,0.532
11/2/18,2,cold,Sym,cold_3,F8,0.637,0.679,0.597
11/2/18,2,cold,Sym,cold_3,J14,0.654,0.629,0.649
11/2/18,2,cold,Sym,cold_3,C10,0.669,0.536,0.58
11/2/18,2,cold,Sym,cold_3,H21,0.678,0.612,0.699
11/2/18,2,cold,Sym,cold_3,L11,0.656,0.597,0.672
11/2/18,2,control,Sym,control_3,H20,0.646,0.683,0.596
11/2/18,2,control,Sym,control_3,J13,0.621,0.63,0.527
11/2/18,2,control,Sym,control_3,F7,0.561,0.616,0.683
11/2/18,2,control,Sym,control_3,I7,0.64,0.552,0.631
11/2/18,2,control,Sym,control_3,B7,0.535,0.616,0.603
11/2/18,2,control,Sym,control_3,D7,0.615,0.595,0.568
11/2/18,2,control,Sym,control_3,M7,0.616,0.599,0.63
11/2/18,2,control,Sym,control_3,R7,0.655,0.648,0.652
11/2/18,2,control,Sym,control_3,C9,0.699,0.649,0.633
11/2/18,2,control,Sym,control_2,B4,0.614,0.641,0.662
11/2/18,2,control,Sym,control_2,J7,0.596,0.625,0.621
11/2/18,2,control,Sym,control_2,M4,0.629,0.651,0.631
11/2/18,2,control,Sym,control_2,D4,0.598,0.62,0.629
11/2/18,2,control,Sym,control_2,R4,0.634,0.624,0.642
11/2/18,2,control,Sym,control_2,I4,0.629,0.654,0.652
11/2/18,2,control,Sym,control_2,H12,0.643,0.678,0.509
11/2/18,2,control,Sym,control_2,F4,0.588,0.613,0.593
11/2/18,2,control,Sym,control_2,C6,0.578,0.658,0.558
11/2/18,2,control,Sym,control_2,L6,0.681,0.665,0.589
11/2/18,2,control,Sym,control_1,C2,0.669,0.608,0.64
11/2/18,2,control,Sym,control_1,M1,0.645,0.606,0.563
11/2/18,2,control,Sym,control_1,J1,0.668,0.613,0.667
11/2/18,2,control,Sym,control_1,R1,0.664,0.671,0.658
11/2/18,2,control,Sym,control_1,L2,0.644,0.672,0.532
11/2/18,2,control,Sym,control_1,H4,0.654,0.64,0.617
11/2/18,2,control,Sym,control_1,I1,0.638,0.643,0.639
11/2/18,2,control,Sym,control_1,F1,0.623,0.647,0.695
11/2/18,2,control,Sym,control_1,D1,0.615,0.534,0.576
11/2/18,2,control,Sym,control_1,B1,0.67,0.624,0.634
11/2/18,2,heat,Sym,heat_1,B3,0.534,0.572,0.653
11/2/18,2,heat,Sym,heat_1,M3,0.565,0.638,0.617
11/2/18,2,heat,Sym,heat_1,J6,0.554,0.663,0.582
11/2/18,2,heat,Sym,heat_1,F3,0.616,0.625,0.592
11/2/18,2,heat,Sym,heat_1,I3,0.66,0.699,0.62
11/2/18,2,heat,Sym,heat_1,R3,0.644,0.645,0.691
11/2/18,2,heat,Sym,heat_1,H9,0.661,0.644,0.604
11/2/18,2,heat,Sym,heat_1,L4,0.648,0.531,0.599
11/2/18,2,heat,Sym,heat_1,D3,0.594,0.527,0.54
11/2/18,2,heat,Sym,heat_1,C5,0.665,0.646,0.615
11/2/18,2,heat,Sym,heat_2,D6,0.63,0.55,0.597
11/2/18,2,heat,Sym,heat_2,B6,0.658,0.646,0.603
11/2/18,2,heat,Sym,heat_2,L8,0.502,0.62,0.499
11/2/18,2,heat,Sym,heat_2,M6,0.646,0.553,0.636
11/2/18,2,heat,Sym,heat_2,C8,0.567,0.689,0.542
11/2/18,2,heat,Sym,heat_2,J11,0.611,0.652,0.653
11/2/18,2,heat,Sym,heat_2,H19,0.558,0.586,0.621
11/2/18,2,heat,Sym,heat_2,R11,0.625,0.645,0.623
11/2/18,2,heat,Sym,heat_2,F6,0.627,0.616,0.605
11/2/18,2,heat,Sym,heat_2,I6,0.621,0.637,0.58
11/2/18,2,heat,Sym,heat_3,L10,0.67,0.668,0.67
11/2/18,2,heat,Sym,heat_3,B9,0.689,0.605,0.602
11/2/18,2,heat,Sym,heat_3,D9,0.485,0.551,0.556
11/2/18,2,heat,Sym,heat_3,F9,0.515,0.607,0.647
11/2/18,2,heat,Sym,heat_3,R9,0.597,0.571,0.564
11/2/18,2,heat,Sym,heat_3,I9,0.635,0.611,0.544
11/2/18,2,heat,Sym,heat_3,H18,0.543,0.614,0.652
11/2/18,2,heat,Sym,heat_3,C11,0.358,NA,NA
11/2/18,2,heat,Sym,heat_3,J15,0.571,0.634,0.664
11/5/18,5,cold,Sym,cold_1,C4,0.606,0.687,0.65
11/5/18,5,cold,Sym,cold_1,D2,0.502,0.573,0.491
11/5/18,5,cold,Sym,cold_1,B2,0.612,0.631,0.644
11/5/18,5,cold,Sym,cold_1,R2,0.648,0.615,0.651
11/5/18,5,cold,Sym,cold_1,I2,0.588,0.608,0.562
11/5/18,5,cold,Sym,cold_1,H8,0.515,0.593,0.606
11/5/18,5,cold,Sym,cold_1,J3,0.669,0.671,0.627
11/5/18,5,cold,Sym,cold_1,M2,0.616,0.668,0.668
11/5/18,5,cold,Sym,cold_1,F2,0.664,0.632,0.639
11/5/18,5,cold,Sym,cold_1,L3,0.554,0.584,0.569
11/5/18,5,cold,Apo,cold_1,E4,0.322,0.416,0.301
11/5/18,5,cold,Apo,cold_1,K2,0.32,0.373,0.34
11/5/18,5,cold,Apo,cold_1,A2,0.515,0.498,0.496
11/5/18,5,cold,Apo,cold_1,H2,0.389,0.476,0.487
11/5/18,5,cold,Apo,cold_1,P2,0.519,0.606,0.609
11/5/18,5,cold,Apo,cold_1,N2,0.589,0.541,0.565
11/5/18,5,cold,Sym,cold_2,B5,0.606,0.613,0.626
11/5/18,5,cold,Sym,cold_2,C7,0.558,0.551,0.532
11/5/18,5,cold,Sym,cold_2,H13,0.627,0.659,0.648
11/5/18,5,cold,Sym,cold_2,D5,0.6,0.588,0.566
11/5/18,5,cold,Sym,cold_2,L7,0.61,0.581,0.658
11/5/18,5,cold,Sym,cold_2,J8,0.554,0.622,0.577
11/5/18,5,cold,Sym,cold_2,I5,0.553,0.637,0.573
11/5/18,5,cold,Sym,cold_2,F5,0.478,0.541,0.488
11/5/18,5,cold,Sym,cold_2,M5,0.381,0.352,0.454
11/5/18,5,cold,Sym,cold_2,R5,0.673,0.642,0.639
11/5/18,5,cold,Apo,cold_2,Q4,0.308,0.407,0.477
11/5/18,5,cold,Apo,cold_2,K5,0.551,0.548,0.637
11/5/18,5,cold,Apo,cold_2,A5,0.492,0.583,0.584
11/5/18,5,cold,Apo,cold_2,E9,0.537,0.589,0.513
11/5/18,5,cold,Apo,cold_2,N5,0.392,0.51,0.512
11/5/18,5,cold,Apo,cold_2,H6,0.588,0.553,0.568
11/5/18,5,cold,Sym,cold_3,C10,0.443,0.452,0.386
11/5/18,5,cold,Sym,cold_3,H21,0.596,0.634,0.522
11/5/18,5,cold,Sym,cold_3,L11,0.397,0.337,0.474
11/5/18,5,cold,Sym,cold_3,I8,0.554,0.462,0.614
11/5/18,5,cold,Sym,cold_3,B8,0.604,0.647,0.636
11/5/18,5,cold,Sym,cold_3,D11,0.324,0.4,0.483
11/5/18,5,cold,Sym,cold_3,R8,0.588,0.581,0.559
11/5/18,5,cold,Sym,cold_3,F8,0.578,0.646,0.568
11/5/18,5,cold,Sym,cold_3,J14,0.637,0.562,0.617
11/5/18,5,cold,Apo,cold_3,A8,0.246,0.331,0.311
11/5/18,5,cold,Apo,cold_3,H11,0.316,0.442,0.26
11/5/18,5,cold,Apo,cold_3,Q10,0.658,0.549,0.665
11/5/18,5,cold,Apo,cold_3,N8,0.669,0.5,0.684
11/5/18,5,cold,Apo,cold_3,E10,0.556,0.694,0.55
11/5/18,5,cold,Apo,cold_3,O2,0.401,0.432,0.414
11/5/18,5,control,Sym,control_3,M7,0.639,0.634,0.619
11/5/18,5,control,Sym,control_3,R7,0.657,0.632,0.633
11/5/18,5,control,Sym,control_3,C9,0.583,0.509,0.578
11/5/18,5,control,Sym,control_3,H20,0.622,0.567,0.562
11/5/18,5,control,Sym,control_3,J13,0.653,0.651,0.657
11/5/18,5,control,Sym,control_3,F7,0.61,0.583,0.575
11/5/18,5,control,Sym,control_3,I8,0.627,0.581,0.6
11/5/18,5,control,Sym,control_3,B7,0.538,0.526,0.575
11/5/18,5,control,Sym,control_3,D7,0.521,0.605,0.573
11/5/18,5,control,Apo,control_3,K7,0.287,0.522,0.564
11/5/18,5,control,Apo,control_3,H10,0.522,0.399,0.498
11/5/18,5,control,Apo,control_3,A7,0.498,0.526,0.574
11/5/18,5,control,Apo,control_3,O1,0.302,0.598,0.594
11/5/18,5,control,Apo,control_3,N7,0.29,0.31,0.304
11/5/18,5,control,Apo,control_3,E11,0.44,0.5,0.469
11/5/18,5,control,Sym,control_2,F4,0.649,0.601,0.613
11/5/18,5,control,Sym,control_2,C6,0.603,0.52,0.595
11/5/18,5,control,Sym,control_2,L6,0.484,0.46,0.59
11/5/18,5,control,Sym,control_2,B4,0.587,0.629,0.615
11/5/18,5,control,Sym,control_2,J7,0.631,0.679,0.614
11/5/18,5,control,Sym,control_2,M4,0.492,0.471,0.545
11/5/18,5,control,Sym,control_2,D4,0.588,0.649,0.599
11/5/18,5,control,Sym,control_2,R4,0.661,0.653,0.693
