"Culture_Control.1"	"Culture_Control.1.1"	"Culture_Control.2"	"Culture_Control.2.1"	"Culture_Control.3"	"Culture_Control.3.1"	"Culture_Control.4"	"Culture_Control.4.1"	"Culture_Cool.1"	"Culture_Cool.2"	"Culture_Cool.3"	"Culture_Cool.4"	"Culture_Heat.1"	"Culture_Heat.1.1"	"Culture_Heat.2"	"Culture_Heat.2.1"	"Culture_Heat.3"	"Culture_Heat.3.1"	"Culture_Heat.4"	"Culture_Heat.4.1"	"OC4_F_B.host"	"OC4_F_B.sym"	"OC5_H_B.host"	"OC5_H_B.sym"	"OC9_C_B.host"	"OC9_C_B.sym"	"OD4_C_B.host"	"OD4_C_B.sym"	"OD5_F_B.host"	"OD5_F_B.sym"	"OD6_H_B.host"	"OD6_H_B.sym"	"OE10_F_W.host"	"OE11_C_W.host"	"OE3_H_W.host"	"OF7_C_B.host"	"OF7_C_B.sym"	"OF8_F_B.host"	"OF8_F_B.sym"	"OF9_H_B.host"	"OF9_H_B.sym"	"OH1_C_W.host"	"OH11_F_W.host"	"OH15_H_W.host"	"OI1_C_B.host"	"OI1_C_B.sym"	"OI2_F_B.host"	"OI2_F_B.sym"	"OI3_H_B.host"	"OI3_H_B.sym"	"OJ13_C_B.host"	"OJ13_C_B.sym"	"OJ14_F_B.host"	"OJ14_F_B.sym"	"OJ15_H_B.host"	"OJ15_H_B.sym"	"OL6_C_B.host"	"OL6_C_B.sym"	"OL7_F_B.host"	"OL7_F_B.sym"	"OL8_H_B.host"	"OL8_H_B.sym"	"ON4_C_W.host"	"ON5_F_W.host"	"ON6_H_W.host"	"OQ1_C_W.host"	"OQ11_H_W.host"	"OQ4_F_W.host"	"OR7_C_B.host"	"OR7_C_B.sym"	"OR8_F_B.host"	"OR8_F_B.sym"	"OR9_H_B.host"	"OR9_H_B.sym"
"ORTHOMCL5602"	767	854	469	768	312	526	324	363	191	326	414	594	762	939	811	748	420	897	495	892	1	7	5	10	5	4	4	8	3	7	2	6	5	2	1	1	4	2	7	12	7	1	7	19	14	19	4	12	6	3	10	15	7	11	5	15	1	10	3	13	1	7	10	19	3	9	8	40	5	6	5	2	8	6
"ORTHOMCL1396"	132	134	57	150	60	88	48	95	58	98	137	161	117	62	140	80	67	118	71	115	9	5	4	4	10	4	16	2	18	7	14	3	7	10	12	6	6	7	0	13	4	6	3	19	39	5	10	5	5	3	5	6	8	6	3	2	15	3	4	2	7	2	8	12	5	3	11	7	6	7	1	15	1	0
"ORTHOMCL7155"	111	121	58	107	53	82	68	59	69	93	132	140	97	67	90	68	38	109	53	107	35	3	33	1	36	5	36	1	83	9	57	2	40	40	46	41	3	62	0	76	3	22	15	60	93	2	65	5	26	1	70	7	71	5	35	10	28	4	40	5	44	2	68	121	18	23	36	85	28	2	49	3	11	1
"ORTHOMCL7010"	126	155	66	155	69	100	46	76	55	72	123	148	138	85	120	86	48	128	74	136	107	0	18	3	43	1	14	1	184	3	40	4	98	47	67	40	1	52	0	51	1	25	37	100	85	2	79	3	21	1	49	4	169	6	36	3	21	2	108	5	21	2	53	378	14	25	37	215	35	4	147	7	13	0
"ORTHOMCL8860"	127	123	62	136	69	105	47	91	60	99	116	146	191	80	126	145	73	140	97	186	10	6	6	2	20	1	5	3	23	4	10	2	21	10	19	8	3	12	2	19	4	20	7	19	30	6	20	1	6	1	18	3	55	4	8	6	8	5	18	4	9	2	25	78	6	13	15	69	7	1	20	4	7	2
"ORTHOMCL5435"	144	155	72	164	71	110	81	101	108	165	202	213	109	53	116	95	41	118	65	125	109	3	29	3	61	0	51	3	174	4	60	2	110	52	94	39	1	81	2	95	3	61	54	97	174	5	118	8	33	1	126	2	210	6	38	6	73	5	133	6	32	0	80	409	27	65	91	311	65	1	103	6	32	0
"ORTHOMCL8210"	25	20	15	28	9	15	9	19	20	34	70	60	28	32	38	27	24	46	25	43	3	1	1	1	2	2	4	0	10	4	2	2	3	3	4	1	4	3	2	13	0	7	4	6	24	1	6	3	5	0	11	1	2	6	1	2	7	2	3	3	3	1	7	15	2	6	21	10	5	1	2	6	0	1
"ORTHOMCL8854"	128	95	117	106	29	72	56	55	38	59	92	83	122	200	149	120	92	140	102	146	13	0	1	4	6	5	6	0	14	3	9	3	9	9	5	3	3	3	0	5	2	5	4	8	7	4	6	4	2	1	10	1	14	3	2	2	1	3	7	2	0	4	1	20	1	11	7	48	3	1	4	2	2	1
"ORTHOMCL798.1"	189	155	219	161	84	145	142	143	51	63	152	118	93	125	94	104	66	89	67	106	6	1	16	2	37	5	29	1	22	3	36	1	25	46	46	14	4	9	2	32	1	32	16	61	49	3	25	3	34	0	90	3	60	0	24	0	39	3	19	5	32	0	54	33	16	47	48	75	35	3	38	4	22	1
"ORTHOMCL3522.1"	171	193	104	171	73	124	80	93	89	141	168	186	195	134	198	172	85	180	113	201	174	2	91	5	100	3	101	3	409	2	123	4	176	45	55	68	1	170	1	117	6	55	92	175	153	2	225	2	79	1	199	6	422	4	82	3	75	2	161	3	76	3	87	732	32	55	97	471	78	3	301	2	23	1
"ORTHOMCL5408"	230	241	113	210	107	153	98	126	66	127	233	217	148	130	137	108	62	140	72	167	0	4	0	0	4	2	1	4	4	8	1	0	2	1	0	1	7	0	0	6	1	8	2	12	14	5	3	4	3	1	16	4	3	9	8	0	5	6	4	7	4	1	4	5	2	1	2	4	1	2	1	3	1	0
