	Culture_Control-1-1.fastq.trim.sam.counts	Culture_Control-1.fastq.trim.sam.counts	Culture_Control-2-1.fastq.trim.sam.counts	Culture_Control-2.fastq.trim.sam.counts	Culture_Control-3-1.fastq.trim.sam.counts	Culture_Control-3.fastq.trim.sam.counts	Culture_Control-4-1.fastq.trim.sam.counts	Culture_Control-4.fastq.trim.sam.counts	Culture_Cool-1.fastq.trim.sam.counts	Culture_Cool-2.fastq.trim.sam.counts	Culture_Cool-3.fastq.trim.sam.counts	Culture_Cool-4.fastq.trim.sam.counts	Culture_Heat-1-1.fastq.trim.sam.counts	Culture_Heat-1.fastq.trim.sam.counts	Culture_Heat-2-1.fastq.trim.sam.counts	Culture_Heat-2.fastq.trim.sam.counts	Culture_Heat-3-1.fastq.trim.sam.counts	Culture_Heat-3.fastq.trim.sam.counts	Culture_Heat-4-1.fastq.trim.sam.counts	Culture_Heat-4.fastq.trim.sam.counts	Oculina_OA4_S45_R1_001.fastq.trim.sam.counts	Oculina_OA5_S33_R1_001.fastq.trim.sam.counts	Oculina_OA6_S20_R1_001.fastq.trim.sam.counts	Oculina_OC4_S29_R1_001.fastq.trim.sam.counts	Oculina_OC5_S18_R1_001.fastq.trim.sam.counts	Oculina_OC9_S36_R1_001.fastq.trim.sam.counts	Oculina_OD4_S40_R1_001.fastq.trim.sam.counts	Oculina_OD5_S5_R1_001.fastq.trim.sam.counts	Oculina_OD6_S26_R1_001.fastq.trim.sam.counts	Oculina_OE10_S46_R1_001.fastq.trim.sam.counts	Oculina_OE11_S3_R1_001.fastq.trim.sam.counts	Oculina_OE3_S30_R1_001.fastq.trim.sam.counts	Oculina_OF7_S32_R1_001.fastq.trim.sam.counts	Oculina_OF8_S44_R1_001.fastq.trim.sam.counts	Oculina_OF9_S9_R1_001.fastq.trim.sam.counts	Oculina_OH11_S43_R1_001.fastq.trim.sam.counts	Oculina_OH15_S12_R1_001.fastq.trim.sam.counts	Oculina_OH1_S34_R1_001.fastq.trim.sam.counts	Oculina_OI1_S15_R1_001.fastq.trim.sam.counts	Oculina_OI2_S35_R1_001.fastq.trim.sam.counts	Oculina_OI3_S4_R1_001.fastq.trim.sam.counts	Oculina_OJ13_S11_R1_001.fastq.trim.sam.counts	Oculina_OJ14_S6_R1_001.fastq.trim.sam.counts	Oculina_OJ15_S24_R1_001.fastq.trim.sam.counts	Oculina_OK1_S38_R1_001.fastq.trim.sam.counts	Oculina_OK2_S1_R1_001.fastq.trim.sam.counts	Oculina_OK3_S31_R1_001.fastq.trim.sam.counts	Oculina_OL6_S16_R1_001.fastq.trim.sam.counts	Oculina_OL7_S2_R1_001.fastq.trim.sam.counts	Oculina_OL8_S19_R1_001.fastq.trim.sam.counts	Oculina_OM1_S10_R1_001.fastq.trim.sam.counts	Oculina_OM2_S28_R1_001.fastq.trim.sam.counts	Oculina_OM3_S23_R1_001.fastq.trim.sam.counts	Oculina_ON4_S27_R1_001.fastq.trim.sam.counts	Oculina_ON5_S13_R1_001.fastq.trim.sam.counts	Oculina_ON6_S17_R1_001.fastq.trim.sam.counts	Oculina_OO1_S7_R1_001.fastq.trim.sam.counts	Oculina_OO2_S22_R1_001.fastq.trim.sam.counts	Oculina_OP1_S42_R1_001.fastq.trim.sam.counts	Oculina_OP2_S47_R1_001.fastq.trim.sam.counts	Oculina_OP3_S37_R1_001.fastq.trim.sam.counts	Oculina_OQ11_S8_R1_001.fastq.trim.sam.counts	Oculina_OQ1_S41_R1_001.fastq.trim.sam.counts	Oculina_OQ4_S14_R1_001.fastq.trim.sam.counts	Oculina_OR7_S39_R1_001.fastq.trim.sam.counts	Oculina_OR8_S21_R1_001.fastq.trim.sam.counts	Oculina_OR9_S25_R1_001.fastq.trim.sam.counts	
BPSG_10023	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_10027	83	92	89	70	63	31	34	53	31	55	87	100	91	129	96	123	114	51	133	65	0	0	0	1	0	2	1	0	4	0	0	2	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	2	0	1	1	2	0	
BPSG_10030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_10050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	3	0	0	1	4	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	25	0	3	4	0	0	
BPSG_10068	2	0	4	0	2	1	0	2	2	0	7	7	1	5	5	4	0	2	5	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	
BPSG_1007	22	23	32	12	23	14	21	11	12	21	39	45	11	28	22	22	29	13	31	18	0	0	1	0	2	1	2	4	0	0	1	1	0	0	0	0	1	0	3	1	1	0	1	1	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	2	1	0	1	1	0	0	
BPSG_10083	10	15	14	8	11	8	16	6	7	14	28	27	12	13	11	15	8	7	10	10	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	2	0	2	0	0	0	1	0	0	2	2	1	0	0	0	
BPSG_10099	2	1	0	1	1	0	0	1	2	2	4	0	2	2	2	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_10104	18	22	26	12	19	9	10	9	37	43	98	91	19	22	21	23	28	13	16	19	0	0	0	0	0	1	0	2	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	
BPSG_10107	0	0	0	1	0	1	1	0	0	0	2	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_10114	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_10118	0	1	1	0	0	0	1	0	1	0	1	1	0	0	1	0	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_10119	1	0	1	0	1	0	0	0	1	0	1	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
