"","group","treatment","name","dist"
"OC4_F_B","cold","cold","OC4_F_B",7.40403567242528
"OC5_H_B","heat","heat","OC5_H_B",9.80065723788843
"OC9_C_B","control","control","OC9_C_B",2.694709815125
"OD4_C_B","control","control","OD4_C_B",5.45159757331639
"OD5_F_B","cold","cold","OD5_F_B",7.3159836329612
"OD6_H_B","heat","heat","OD6_H_B",7.46443666089989
"OF7_C_B","control","control","OF7_C_B",10.008142785347
"OF8_F_B","cold","cold","OF8_F_B",6.07153764787572
"OF9_H_B","heat","heat","OF9_H_B",5.95330272699528
"OI1_C_B","control","control","OI1_C_B",1.28939190546849
"OI2_F_B","cold","cold","OI2_F_B",6.9265648728424
"OI3_H_B","heat","heat","OI3_H_B",5.4983000123885
"OJ13_C_B","control","control","OJ13_C_B",2.70568019397254
"OJ14_F_B","cold","cold","OJ14_F_B",8.08171516799137
"OJ15_H_B","heat","heat","OJ15_H_B",13.3047180499003
"OM1_C_B","control","control","OM1_C_B",3.93595565494825
"OM2_F_B","cold","cold","OM2_F_B",10.2644642716722
"OM3_H_B","heat","heat","OM3_H_B",15.9854759930708
"OR7_C_B","control","control","OR7_C_B",8.04917890138796
"OR8_F_B","cold","cold","OR8_F_B",6.78554827603758
"OR9_H_B","heat","heat","OR9_H_B",5.77723297906366
