"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
628 0.41858189098996 2 5 "GO:0000002" "mitochondrial genome maintenance" 0.974107277260592
-171 0.73344545848024 1 12 "GO:0000003" "reproduction" 0.988846042396363
1283 0.0702637893484999 4 6 "GO:0000012" "single strand break repair" 0.818858270330561
514 0.118131956901912 4 28 "GO:0000018" "regulation of DNA recombination" 0.866061677173592
1168 0.0434960861583887 5 9 "GO:0000019" "regulation of mitotic recombination" 0.812533102137253
502 0.165923996919511 4 23 "GO:0000027" "ribosomal large subunit assembly" 0.915243368076797
-1567 0.0168982986692306 2 7 "GO:0000028" "ribosomal small subunit assembly" 0.760092100925784
102 0.867593540677488 4 8 "GO:0000032;GO:0006057;GO:0031506;GO:0006056" "mannoprotein biosynthetic process" 0.988846042396363
320 0.652080320360664 4 6 "GO:0000038" "very long-chain fatty acid metabolic process" 0.98827512120983
-96 0.84193672171287 2 13 "GO:0000041" "transition metal ion transport" 0.988846042396363
36 0.943232752196013 2 12 "GO:0000045;GO:1905037" "autophagosome organization" 0.995333457862204
1254 0.106213952213315 4 5 "GO:0000070" "mitotic sister chromatid segregation" 0.854285345124867
248 0.349580684305957 3 43 "GO:0000075;GO:0007093" "cell cycle checkpoint" 0.960404897961516
-381 0.623222957985707 7 5 "GO:0000076" "DNA replication checkpoint" 0.98827512120983
59 0.863410687219452 2 26 "GO:0000077;GO:0044773;GO:0044774" "DNA damage checkpoint" 0.988846042396363
-177 0.674633407128654 6 17 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.988846042396363
443 0.376487532146607 4 12 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.970382661058659
216 0.54216965084318 2 24 "GO:0000097;GO:0000096" "sulfur amino acid metabolic process" 0.983190545124997
724 0.16675311154791 4 11 "GO:0000105;GO:0006547" "histidine metabolic process" 0.915243368076797
-55 0.783508810387721 2 75 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.988846042396363
-741 0.296015846412581 2 6 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.95944377123368
-23 0.918068635808987 2 59 "GO:0000154" "rRNA modification" 0.992646193298653
-388 0.37147317280135 2 16 "GO:0000165" "MAPK cascade" 0.968450393843914
73 0.768706138349617 3 49 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.988846042396363
-1931 0.0128639083746368 6 5 "GO:0000187" "activation of MAPK activity" 0.711527681715752
-28 0.887756761188919 9 79 "GO:0000209" "protein polyubiquitination" 0.988846042396363
-330 0.0425986571521522 2 116 "GO:0000226" "microtubule cytoskeleton organization" 0.812533102137253
